Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-10-30,25-068,HOU,,CHA,W (+13),0,30:56,5,7,.714,2,2,1.000,4,6,.667,0,0,0,2,0,0,2,2,16,10.9,+2,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
2,2,2013-11-01,25-070,HOU,,DAL,W (+8),1,29:58,4,9,.444,0,3,.000,6,7,.857,0,3,3,4,3,0,6,1,14,9.2,+14,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
3,3,2013-11-02,25-071,HOU,@,UTA,W (+11),1,36:23,7,13,.538,2,5,.400,4,5,.800,1,2,3,4,1,1,3,3,20,14.9,+21,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
4,4,2013-11-04,25-073,HOU,@,LAC,L (-19),1,30:29,4,8,.500,1,2,.500,5,6,.833,0,2,2,8,1,0,1,5,14,13.8,-27,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
5,5,2013-11-05,25-074,HOU,@,POR,W (+15),1,29:08,4,8,.500,1,2,.500,3,4,.750,0,2,2,4,2,0,3,4,12,8.4,+10,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
6,6,2013-11-07,25-076,HOU,,LAL,L (-1),0,31:06,5,8,.625,1,2,.500,5,8,.625,0,1,1,3,3,2,3,1,16,14.6,+4,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
7,7,2013-11-09,25-078,HOU,,LAC,L (-13),0,26:29,3,7,.429,0,0,,0,0,,1,0,1,7,1,0,5,1,6,3.5,+1,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
8,8,2013-11-11,25-080,HOU,,TOR,W (+6),0,45:52,10,17,.588,3,6,.500,8,9,.889,0,5,5,1,2,1,5,3,31,21.4,+7,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
9,9,2013-11-13,25-082,HOU,@,PHI,L (-6),1,48:37,10,19,.526,9,15,.600,5,6,.833,0,5,5,11,0,0,8,5,34,23.5,-11,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
10,10,2013-11-14,25-083,HOU,@,NYK,W (+3),0,30:23,7,16,.438,1,6,.167,6,6,1.000,0,5,5,3,1,0,2,1,21,14.8,-2,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
11,11,2013-11-16,25-085,HOU,,DEN,W (+11),0,32:23,6,11,.545,0,2,.000,4,6,.667,0,4,4,7,1,1,1,3,16,15.5,0,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
12,12,2013-11-19,25-088,HOU,,BOS,W (+24),0,23:37,4,7,.571,1,3,.333,2,2,1.000,0,0,0,5,1,1,1,2,11,11.1,0,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
13,13,2013-11-20,25-089,HOU,@,DAL,L (-3),0,16:57,0,5,.000,0,3,.000,1,2,.500,0,1,1,4,0,1,0,1,1,0.5,-10,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
14,14,2013-11-23,25-092,HOU,,MIN,W (+11),1,34:26,5,11,.455,2,5,.400,7,8,.875,1,4,5,5,2,1,5,4,19,14.4,+8,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
15,15,2013-11-25,25-094,HOU,@,MEM,W (+7),1,31:30,4,8,.500,0,2,.000,6,7,.857,0,4,4,2,2,0,2,0,14,12.2,-3,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
16,16,2013-11-27,25-096,HOU,,ATL,W (+29),1,4:09,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+1,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
17,,2013-11-29,25-098,HOU,,BRK,W (+19),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
18,,2013-11-30,25-099,HOU,@,SAS,W (+6),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
19,,2013-12-02,25-101,HOU,@,UTA,L (-6),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
20,,2013-12-04,25-103,HOU,,PHO,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
21,,2013-12-06,25-105,HOU,,GSW,W (+22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,linje01,https://www.basketball-reference.com/players/l/linje01/gamelog/2014
