Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2022-10-19,22-250,POR,@,SAC,W (+7),0,10:24,0,2,.000,0,2,.000,0,2,.000,0,2,2,1,1,0,0,0,0,0.1,+5,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
2,2,2022-10-21,22-252,POR,,PHO,W (+2),0,12:48,4,5,.800,1,1,1.000,0,0,,1,0,1,0,1,0,0,1,9,8.4,+4,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
3,3,2022-10-23,22-254,POR,@,LAL,W (+2),0,14:01,3,6,.500,1,3,.333,0,0,,0,3,3,1,0,0,0,0,7,5.6,0,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
4,4,2022-10-24,22-255,POR,,DEN,W (+25),0,18:14,4,6,.667,2,3,.667,1,3,.333,0,4,4,0,0,0,0,0,11,8.8,+7,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
5,5,2022-10-26,22-257,POR,,MIA,L (-21),0,17:38,1,3,.333,0,2,.000,0,0,,1,0,1,0,1,0,1,1,2,0.6,-5,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
6,6,2022-10-28,22-259,POR,,HOU,W (+14),0,15:09,1,3,.333,1,2,.500,0,0,,0,3,3,3,0,0,1,1,3,2.9,-1,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
7,7,2022-11-02,22-264,POR,,MEM,L (-5),0,12:14,1,5,.200,1,3,.333,0,0,,0,1,1,1,0,0,1,0,3,-0.1,-9,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
8,8,2022-11-04,22-266,POR,@,PHO,W (+2),0,23:24,4,7,.571,2,4,.500,2,2,1.000,0,4,4,3,0,1,2,3,12,9.5,+10,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
9,9,2022-11-05,22-267,POR,@,PHO,L (-20),0,14:45,3,5,.600,1,1,1.000,2,2,1.000,0,1,1,2,0,0,1,1,9,7.0,-21,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
10,10,2022-11-07,22-269,POR,@,MIA,W (+3),0,6:46,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,1,6,4.6,-7,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
11,11,2022-11-09,22-271,POR,@,CHO,W (+10),0,15:11,2,2,1.000,1,1,1.000,0,0,,1,5,6,1,0,1,0,0,5,8.0,+3,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
12,12,2022-11-10,22-272,POR,@,NOP,W (+11),0,23:39,6,11,.545,1,3,.333,2,3,.667,1,3,4,0,0,0,1,1,15,9.5,-1,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
13,13,2022-11-12,22-274,POR,@,DAL,L (-5),0,14:31,2,3,.667,0,0,,0,0,,0,1,1,0,1,0,0,0,4,4.0,-5,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
14,14,2022-11-15,22-277,POR,,SAS,W (+7),0,13:45,0,2,.000,0,2,.000,2,2,1.000,0,3,3,0,1,0,3,1,2,-0.9,-10,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
15,15,2022-11-17,22-279,POR,,BRK,L (-2),0,12:45,1,6,.167,0,2,.000,2,2,1.000,0,3,3,1,0,1,0,1,4,2.1,+7,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
16,16,2022-11-19,22-281,POR,,UTA,L (-5),0,9:39,3,3,1.000,2,2,1.000,0,0,,1,2,3,1,1,0,0,0,8,10.1,-2,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
17,17,2022-11-21,22-283,POR,@,MIL,L (-8),0,20:56,3,8,.375,0,3,.000,0,0,,0,2,2,2,1,0,2,1,6,2.2,+9,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
18,18,2022-11-23,22-285,POR,@,CLE,L (-18),0,22:26,2,7,.286,1,4,.250,0,0,,1,1,2,1,0,0,1,3,5,0.4,-11,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
19,19,2022-11-25,22-287,POR,@,NYK,W (+3),0,18:19,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,-0.5,-12,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
20,20,2022-11-27,22-289,POR,@,BRK,L (-14),0,9:46,1,2,.500,0,1,.000,2,3,.667,1,1,2,0,1,0,0,1,4,4.2,+8,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
21,21,2022-11-29,22-291,POR,,LAC,L (-6),0,14:58,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1,-0.1,-4,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
22,,2022-11-30,22-292,POR,@,LAL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
23,,2022-12-03,22-295,POR,@,UTA,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
24,,2022-12-04,22-296,POR,,IND,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
25,,2022-12-08,22-300,POR,,DEN,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
26,,2022-12-10,22-302,POR,,MIN,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
27,,2022-12-12,22-304,POR,,MIN,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
28,,2022-12-14,22-306,POR,@,SAS,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
29,,2022-12-16,22-308,POR,@,DAL,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
30,,2022-12-17,22-309,POR,@,HOU,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
31,,2022-12-19,22-311,POR,@,OKC,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
32,,2022-12-21,22-313,POR,@,OKC,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
33,,2022-12-23,22-315,POR,@,DEN,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
34,,2022-12-26,22-318,POR,,CHO,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
35,,2022-12-30,22-322,POR,@,GSW,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
36,,2023-01-02,22-325,POR,,DET,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
37,,2023-01-04,22-327,POR,@,MIN,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
38,,2023-01-06,22-329,POR,@,IND,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
39,,2023-01-08,22-331,POR,@,TOR,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
40,,2023-01-10,22-333,POR,,ORL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
41,,2023-01-12,22-335,POR,,CLE,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
42,,2023-01-14,22-337,POR,,DAL,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
43,22,2023-01-15,22-338,POR,,DAL,W (+17),0,16:15,3,6,.500,3,5,.600,1,2,.500,1,0,1,1,1,2,0,2,10,9.6,-1,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
44,23,2023-01-17,22-340,POR,@,DEN,L (-9),0,12:02,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.8,0,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
45,24,2023-01-19,22-342,POR,,PHI,L (-10),0,17:01,4,7,.571,1,2,.500,1,3,.333,1,5,6,0,0,0,0,0,10,8.1,+2,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
46,25,2023-01-22,22-345,POR,,LAL,L (-9),0,13:21,4,7,.571,3,5,.600,0,0,,0,0,0,0,0,1,0,3,11,7.2,-12,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
47,26,2023-01-23,22-346,POR,,SAS,W (+20),0,17:39,4,6,.667,2,2,1.000,0,0,,1,1,2,3,0,1,0,0,10,11.2,+16,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
48,27,2023-01-25,22-348,POR,,UTA,W (+10),0,32:01,3,6,.500,2,4,.500,0,0,,1,2,3,1,0,0,0,2,8,6.2,+17,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
49,28,2023-01-28,22-351,POR,,TOR,L (-18),1,29:31,3,6,.500,2,4,.500,0,0,,0,3,3,2,0,1,1,0,8,7.0,-25,2023,littlna01,https://www.basketball-reference.com/players/l/littlna01/gamelog/2023
