Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2009-10-28,24-047,OKC,,SAC,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
2,,2009-10-30,24-049,OKC,@,DET,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
3,,2009-11-01,24-051,OKC,,POR,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
4,,2009-11-03,24-053,OKC,,LAL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
5,1,2009-11-06,24-056,OKC,@,HOU,L (-11),0,5:16,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.0,-3,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
6,2,2009-11-08,24-058,OKC,,ORL,W (+28),0,14:14,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,2,1,0,-2.2,-3,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
7,,2009-11-10,24-060,OKC,@,SAC,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
8,,2009-11-11,24-061,OKC,@,LAC,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
9,,2009-11-14,24-064,OKC,@,SAS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
10,,2009-11-15,24-065,OKC,,LAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
11,,2009-11-17,24-067,OKC,@,MIA,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2010,livinsh01,https://www.basketball-reference.com/players/l/livinsh01/gamelog/2010
