Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1959-10-17,29-255,BOS,,CIN,W (+4),,20:00,3,9,.333,1,2,.500,4,,6,7,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
2,2,1959-10-24,29-262,BOS,@,SYR,W (+12),,,4,,,2,2,1.000,,,5,10,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
3,3,1959-10-31,29-269,BOS,@,NYK,W (+14),,,4,,,1,1,1.000,,,3,9,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
4,4,1959-11-01,29-270,BOS,@,CIN,W (+15),,,2,,,1,4,.250,3,,6,5,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
5,5,1959-11-03,29-272,BOS,@,STL,W (+5),,,3,9,.333,0,2,.000,1,,6,6,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
6,6,1959-11-07,29-276,BOS,,PHW,W (+9),,,0,1,.000,0,0,,7,2,3,0,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
7,7,1959-11-20,29-289,BOS,,SYR,W (+13),,19:00,3,11,.273,0,0,,6,4,4,6,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
8,8,1959-11-21,29-290,BOS,@,NYK,W (+1),,,3,,,0,0,,,,5,6,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
9,9,1959-11-25,29-294,BOS,,PHW,L (-10),,26:00,1,6,.167,1,2,.500,5,1,2,3,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
10,10,1959-11-26,29-295,BOS,@,PHW,L (-13),,,1,6,.167,0,0,,2,1,2,2,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
11,11,1959-11-28,29-297,BOS,,DET,W (+26),,9:00,0,4,.000,1,1,1.000,2,,3,1,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
12,12,1959-11-29,29-298,BOS,,MNL,W (+16),,,1,1,1.000,0,0,,,,1,2,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
13,13,1959-12-03,29-302,BOS,,CIN,W (+3),,,4,8,.500,0,0,,5,0,6,8,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
14,14,1959-12-04,29-303,BOS,,NYK,W (+15),,20:00,1,10,.100,0,1,.000,6,,2,2,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
15,15,1959-12-06,29-305,BOS,@,MNL,W (+17),,,4,10,.400,4,5,.800,,,3,12,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
16,16,1959-12-08,29-307,BOS,@,NYK,W (+16),,,3,,,1,1,1.000,,,4,7,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
17,17,1959-12-09,29-308,BOS,,PHW,W (+21),,20:00,3,7,.429,2,3,.667,5,1,3,8,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
18,18,1959-12-11,29-310,BOS,,STL,W (+23),,21:00,3,8,.375,0,0,,8,,4,6,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
19,19,1959-12-12,29-311,BOS,@,PHW,W (+9),,,0,4,.000,2,2,1.000,3,0,5,2,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
20,20,1959-12-17,29-316,BOS,,NYK,W (+11),,24:00,2,8,.250,2,2,1.000,,0,1,6,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
21,21,1959-12-19,29-318,BOS,,NYK,W (+3),,20:00,1,4,.250,0,0,,1,1,5,2,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
22,22,1959-12-20,29-319,BOS,@,SYR,W (+5),,18:00,3,7,.429,0,1,.000,3,0,3,6,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
23,23,1959-12-22,29-321,BOS,@,DET,W (+32),,,4,,,0,0,,,,5,8,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
24,24,1959-12-25,29-324,BOS,@,NYK,W (+4),,,2,,,2,2,1.000,,,6,6,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
25,25,1959-12-27,29-326,BOS,@,CIN,W (+11),,,3,,,2,4,.500,2,,6,8,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
26,26,1959-12-28,29-327,BOS,,MNL,W (+3),,22:00,4,12,.333,0,1,.000,4,0,4,8,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
27,27,1959-12-30,29-329,BOS,@,STL,W (+14),,,4,11,.364,0,1,.000,8,,4,8,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
28,28,1960-01-01,29-331,BOS,,CIN,L (-13),,,0,,,0,0,,2,,1,0,1960,loscuji01,https://www.basketball-reference.com/players/l/loscuji01/gamelog/1960
