Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2020-12-22,25-227,BRK,,GSW,W (+26),0,6:36,2,6,.333,1,3,.333,0,0,,1,1,2,0,0,0,1,2,5,0.8,-9,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
2,2,2020-12-25,25-230,BRK,@,BOS,W (+28),0,2:30,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7,+4,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
3,3,2020-12-27,25-232,BRK,@,CHO,L (-2),0,12:00,4,4,1.000,3,3,1.000,0,0,,0,0,0,0,1,0,1,2,11,9.0,+3,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
4,4,2020-12-28,25-233,BRK,,MEM,L (-5),1,39:53,7,17,.412,3,10,.300,4,4,1.000,1,5,6,2,2,1,4,1,21,13.8,+3,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
5,5,2020-12-30,25-235,BRK,,ATL,W (+4),1,26:25,1,5,.200,1,4,.250,0,0,,0,1,1,2,0,0,0,2,3,0.8,-5,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
6,6,2021-01-01,25-237,BRK,,ATL,L (-18),1,20:39,1,7,.143,0,5,.000,0,0,,0,1,1,1,0,0,2,0,2,-3.5,-7,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
7,7,2021-01-03,25-239,BRK,,WAS,L (-1),1,23:49,5,7,.714,4,5,.800,0,0,,1,3,4,1,0,0,0,5,14,11.4,+8,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
8,8,2021-01-05,25-241,BRK,,UTA,W (+34),0,24:20,5,9,.556,1,5,.200,0,0,,0,3,3,1,0,0,1,2,11,6.5,+13,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
9,9,2021-01-07,25-243,BRK,,PHI,W (+13),0,26:26,3,8,.375,2,7,.286,1,1,1.000,1,3,4,1,3,1,0,2,9,9.8,-1,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
10,10,2021-01-08,25-244,BRK,@,MEM,L (-5),0,17:50,1,8,.125,0,3,.000,1,1,1.000,0,3,3,1,0,0,1,2,3,-2.4,-7,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
11,11,2021-01-10,25-246,BRK,,OKC,L (-13),0,20:43,4,6,.667,3,5,.600,1,2,.500,0,1,1,4,0,0,0,3,12,10.9,-10,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
12,12,2021-01-12,25-248,BRK,,DEN,W (+6),0,22:51,3,6,.500,3,5,.600,2,4,.500,1,1,2,0,1,0,0,2,11,8.4,+2,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
13,13,2021-01-13,25-249,BRK,@,NYK,W (+7),0,24:14,5,13,.385,2,8,.250,1,1,1.000,1,1,2,2,0,0,1,3,13,6.1,-7,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
14,14,2021-01-16,25-252,BRK,,ORL,W (+7),0,24:06,1,4,.250,1,2,.500,0,0,,0,2,2,0,0,0,1,1,3,-0.2,+7,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
15,15,2021-01-18,25-254,BRK,,MIL,W (+2),0,9:04,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-3,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
16,16,2021-01-20,25-256,BRK,@,CLE,L (-12),0,11:30,0,6,.000,0,3,.000,0,0,,2,0,2,3,2,0,0,0,0,1.3,-8,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
17,17,2021-01-22,25-258,BRK,@,CLE,L (-12),0,26:10,4,9,.444,3,7,.429,0,0,,1,0,1,1,0,0,0,3,11,6.5,-16,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
18,18,2021-01-23,25-259,BRK,,MIA,W (+4),0,15:43,1,4,.250,1,3,.333,0,0,,0,2,2,4,0,0,0,0,3,4.0,-3,2021,luwawti01,https://www.basketball-reference.com/players/l/luwawti01/gamelog/2021
