Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1996-11-01,26-159,HOU,,SAC,W (+11),0,5:24,0,2,.000,0,1,.000,0,0,,1,0,1,1,0,0,2,0,0,-2.0,-1,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
2,,1996-11-02,26-160,HOU,@,PHO,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
3,2,1996-11-04,26-162,HOU,@,UTA,W (+3),0,3:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
4,3,1996-11-05,26-163,HOU,@,SAC,W (+22),0,15:42,1,5,.200,1,4,.250,0,0,,0,0,0,1,2,0,0,2,3,1.8,+3,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
5,4,1996-11-07,26-165,HOU,@,DEN,W (+2),0,12:51,0,2,.000,0,0,,1,1,1.000,0,0,0,2,0,0,0,2,1,0.2,-4,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
6,,1996-11-09,26-167,HOU,,UTA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
7,5,1996-11-12,26-170,HOU,,LAL,L (-11),0,4:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,+2,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
8,6,1996-11-14,26-172,HOU,,IND,W (+2),0,20:23,3,7,.429,0,4,.000,1,2,.500,1,2,3,0,1,1,1,1,7,4.5,+10,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
9,7,1996-11-16,26-174,HOU,,GSW,W (+12),0,19:52,3,5,.600,2,3,.667,0,0,,0,1,1,2,1,0,1,1,8,7.0,+6,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
10,8,1996-11-19,26-177,HOU,,MIN,W (+29),0,14:27,2,4,.500,0,2,.000,2,2,1.000,0,3,3,3,0,0,1,0,6,6.0,-5,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
11,9,1996-11-21,26-179,HOU,,PHO,W (+10),0,14:01,2,5,.400,1,4,.250,5,7,.714,1,1,2,0,0,0,0,0,10,7.5,-1,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
12,10,1996-11-23,26-181,HOU,@,GSW,W (+5),0,10:27,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,3,0,-3.6,-7,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
13,11,1996-11-24,26-182,HOU,@,LAL,W (+5),0,8:19,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,0,2,1,2,-1.8,-4,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
14,12,1996-11-26,26-184,HOU,,POR,W (+1),0,6:51,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,1,3,2.6,0,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
15,,1996-11-29,26-187,HOU,@,BOS,W (+26),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
16,,1996-11-30,26-188,HOU,@,WSB,W (+4),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
17,,1996-12-02,26-190,HOU,@,TOR,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
18,,1996-12-04,26-192,HOU,,BOS,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
19,,1996-12-07,26-195,HOU,,PHI,W (+15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
20,,1996-12-10,26-198,HOU,@,MIN,W (+2),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
21,13,1996-12-21,26-209,HOU,,MIA,L (-20),0,8:30,0,0,,0,0,,0,0,,2,2,4,0,0,0,0,0,0,2.0,-3,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
22,14,1996-12-23,26-211,HOU,,MIL,L (-5),0,13:53,0,2,.000,0,2,.000,0,0,,0,3,3,1,1,0,1,0,0,0.2,+4,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
23,15,1996-12-26,26-214,HOU,@,MIL,W (+11),0,18:00,3,5,.600,0,2,.000,0,0,,1,0,1,2,1,0,1,3,6,4.6,-2,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
24,16,1996-12-28,26-216,HOU,,GSW,W (+9),0,12:26,1,3,.333,1,3,.333,0,0,,1,0,1,1,0,0,0,1,3,2.3,+2,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
25,17,1996-12-30,26-218,HOU,,SEA,W (+8),0,3:06,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
26,18,1997-01-02,26-221,HOU,,POR,L (-16),0,12:00,1,3,.333,1,3,.333,2,2,1.000,1,2,3,1,1,0,2,2,5,3.5,0,1997,macksa01,https://www.basketball-reference.com/players/m/macksa01/gamelog/1997
