Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,1999-02-05,29-020,SEA,,DAL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
2,,1999-02-07,29-022,SEA,,POR,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
3,1,1999-02-09,29-024,SEA,,GSW,W (+19),0,10:00,2,5,.400,0,0,,0,2,.000,0,3,3,0,0,0,0,0,4,1.4,+2,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
4,,1999-02-10,29-025,SEA,@,GSW,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
5,,1999-02-13,29-028,SEA,,DEN,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
6,,1999-02-16,29-031,SEA,,UTA,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
7,,1999-02-17,29-032,SEA,,SAC,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
8,2,1999-02-20,29-035,SEA,@,UTA,L (-30),0,15:00,3,7,.429,1,1,1.000,0,0,,0,1,1,1,0,0,2,1,7,1.9,-14,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
9,,1999-02-21,29-036,SEA,,LAL,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
10,,1999-02-23,29-038,SEA,@,HOU,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,macledo01,https://www.basketball-reference.com/players/m/macledo01/gamelog/1999
