Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2021-10-19,22-149,MIL,,BRK,W (+23),0,7:02,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+9,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
2,2,2021-10-21,22-151,MIL,@,MIA,L (-42),0,27:20,4,9,.444,2,4,.500,2,2,1.000,2,2,4,1,0,0,0,2,12,9.2,-12,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
3,3,2021-10-23,22-153,MIL,@,SAS,W (+10),0,5:48,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
4,4,2021-10-25,22-155,MIL,@,IND,W (+10),0,9:53,1,2,.500,0,1,.000,0,0,,1,2,3,0,0,0,0,0,2,2.3,-8,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
5,,2021-10-27,22-157,MIL,,MIN,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
6,5,2021-10-30,22-160,MIL,,SAS,L (-9),0,0:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
7,6,2021-10-31,22-161,MIL,,UTA,L (-12),0,4:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
8,7,2021-11-02,22-163,MIL,@,DET,W (+28),0,5:35,2,2,1.000,1,1,1.000,0,1,.000,0,0,0,0,0,0,1,1,5,2.6,-6,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
9,,2021-11-05,22-166,MIL,,NYK,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
10,,2021-11-07,22-168,MIL,@,WAS,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
11,,2021-11-09,22-170,MIL,@,PHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
12,,2021-11-10,22-171,MIL,@,NYK,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
13,,2021-11-12,22-173,MIL,@,BOS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
14,,2021-11-14,22-175,MIL,@,ATL,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
15,,2021-11-17,22-178,MIL,,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
16,,2021-11-19,22-180,MIL,,OKC,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
17,,2021-11-20,22-181,MIL,,ORL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
18,,2021-11-22,22-183,MIL,,ORL,W (+31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
19,8,2021-11-24,22-185,MIL,,DET,W (+21),0,2:45,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-1,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
20,9,2021-11-26,22-187,MIL,@,DEN,W (+11),0,3:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-9,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
21,10,2021-11-28,22-189,MIL,@,IND,W (+18),0,3:24,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,+2,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
22,,2021-12-01,22-192,MIL,,CHO,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
23,11,2021-12-02,22-193,MIL,@,TOR,L (-4),0,22:39,4,8,.500,0,1,.000,0,0,,6,4,10,1,0,0,0,0,8,10.1,-12,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
24,12,2021-12-04,22-195,MIL,,MIA,W (+22),1,21:05,2,6,.333,1,3,.333,0,0,,4,3,7,3,0,0,1,1,5,6.0,+6,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
25,,2021-12-06,22-197,MIL,,CLE,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
26,,2021-12-08,22-199,MIL,@,MIA,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
27,,2021-12-10,22-201,MIL,@,HOU,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
28,13,2021-12-12,22-203,MIL,@,NYK,W (+15),0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
29,14,2021-12-13,22-204,MIL,@,BOS,L (-14),0,6:28,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,1.7,+8,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
30,15,2021-12-15,22-206,MIL,,IND,W (+15),0,15:50,1,4,.250,1,2,.500,0,0,,2,2,4,1,1,0,0,1,3,3.9,-9,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
31,16,2021-12-17,22-208,MIL,@,NOP,L (-4),0,18:02,2,4,.500,2,4,.500,0,0,,1,3,4,2,1,2,1,2,6,7.6,-9,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
32,17,2021-12-18,22-209,MIL,,CLE,L (-29),1,42:15,6,13,.462,4,9,.444,1,2,.500,1,1,2,1,1,1,3,3,17,9.1,-26,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
33,,2021-12-22,22-213,MIL,,HOU,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
34,,2021-12-23,22-214,MIL,@,DAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
35,,2021-12-25,22-216,MIL,,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
36,,2021-12-28,22-219,MIL,@,ORL,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
37,,2021-12-30,22-221,MIL,@,ORL,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
38,18,2022-01-01,22-223,MIL,,NOP,W (+23),0,2:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+4,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
39,,2022-01-03,22-225,MIL,,DET,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
40,19,2022-01-05,22-227,MIL,,TOR,L (-6),0,22:39,2,8,.250,1,4,.250,5,6,.833,2,3,5,0,2,1,1,0,10,8.8,+7,2022,mamuksa01,https://www.basketball-reference.com/players/m/mamuksa01/gamelog/2022
