Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1994-11-04,28-171,PHO,@,SAC,L (-18),1,30:00,5,16,.313,0,0,,4,8,.500,2,1,3,0,1,1,5,6,14,-0.8,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
2,2,1994-11-06,28-173,PHO,,MIA,W (+12),1,20:00,3,7,.429,0,0,,4,4,1.000,2,2,4,1,0,1,2,5,10,5.7,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
3,3,1994-11-09,28-176,PHO,,ATL,W (+4),1,41:00,15,22,.682,0,1,.000,0,0,,2,6,8,6,0,0,6,4,30,20.4,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
4,4,1994-11-11,28-178,PHO,@,SEA,L (-6),1,45:00,11,20,.550,2,3,.667,3,4,.750,3,7,10,5,2,1,2,5,27,23.4,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
5,5,1994-11-12,28-179,PHO,@,LAC,W (+7),1,34:00,5,13,.385,0,2,.000,5,8,.625,4,3,7,0,0,1,2,1,15,8.7,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
6,6,1994-11-15,28-182,PHO,@,POR,W (+3),1,37:00,7,15,.467,0,0,,2,6,.333,3,5,8,2,0,0,5,5,16,4.7,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
7,7,1994-11-16,28-183,PHO,,MIN,W (+15),1,31:00,10,16,.625,0,0,,2,3,.667,3,7,10,4,0,0,4,5,22,15.4,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
8,8,1994-11-18,28-185,PHO,,POR,W (+13),1,36:00,10,17,.588,0,1,.000,6,7,.857,0,3,3,2,1,0,2,4,26,17.4,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
9,9,1994-11-21,28-188,PHO,@,UTA,L (-15),1,43:00,7,17,.412,0,1,.000,1,2,.500,0,4,4,11,2,2,2,5,15,13.8,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
10,10,1994-11-23,28-190,PHO,,LAC,W (+31),1,21:00,6,8,.750,0,0,,3,5,.600,0,6,6,2,0,1,3,4,15,10.3,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
11,11,1994-11-26,28-193,PHO,,SAS,W (+3),1,41:00,14,23,.609,1,2,.500,3,3,1.000,1,6,7,1,2,1,4,3,32,22.2,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
12,12,1994-11-27,28-194,PHO,,NJN,W (+5),1,36:00,6,12,.500,0,0,,6,8,.750,0,5,5,5,1,1,4,4,18,12.3,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
13,13,1994-11-29,28-196,PHO,@,MIL,W (+17),1,22:00,5,6,.833,0,0,,2,3,.667,1,4,5,4,4,2,3,3,12,15.3,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
14,14,1994-11-30,28-197,PHO,@,CHI,L (-13),1,32:00,6,12,.500,0,0,,2,5,.400,5,1,6,3,1,1,2,5,14,10.4,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
15,15,1994-12-02,28-199,PHO,@,BOS,W (+5),0,28:00,9,15,.600,0,0,,1,1,1.000,2,3,5,2,0,1,3,3,19,12.3,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
16,16,1994-12-03,28-200,PHO,@,DET,L (-10),1,22:00,6,12,.500,0,0,,0,1,.000,1,3,4,1,1,0,3,3,12,4.7,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
17,17,1994-12-08,28-205,PHO,@,NJN,W (+27),0,28:00,6,12,.500,0,0,,0,0,,1,1,2,2,1,1,1,3,12,7.9,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
18,18,1994-12-10,28-207,PHO,@,MIN,W (+14),0,30:00,4,8,.500,0,0,,3,7,.429,3,4,7,3,0,3,4,5,11,6.9,1995,mannida01,https://www.basketball-reference.com/players/m/mannida01/gamelog/1995
