Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1966-10-19,22-007,BAL,,NYK,L (-22),,,3,,,1,1,1.000,,,,7,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
2,2,1966-10-21,22-009,BAL,@,BOS,L (-20),,4:00,0,2,.000,1,3,.333,0,0,1,1,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
3,3,1966-10-22,22-010,BAL,,PHI,L (-29),,,4,10,.400,1,3,.333,6,1,3,9,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
4,4,1966-10-25,22-013,BAL,@,PHI,L (-20),,5:00,2,4,.500,1,1,1.000,0,1,1,5,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
5,5,1966-10-26,22-014,BAL,,CIN,W (+6),,,1,2,.500,0,0,,0,,1,2,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
6,6,1966-10-28,22-016,BAL,,SFW,L (-1),,3:00,2,3,.667,0,1,.000,2,1,1,4,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
7,7,1966-10-29,22-017,BAL,@,DET,L (-6),,,0,,,1,1,1.000,,,,1,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
8,8,1966-11-04,22-023,BAL,@,LAL,L (-33),,,3,6,.500,0,0,,3,0,1,6,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
9,9,1966-11-08,22-027,BAL,@,LAL,W (+2),,,3,8,.375,0,1,.000,3,2,2,6,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
10,10,1966-11-09,22-028,BAL,@,SFW,L (-6),,19:00,6,10,.600,2,2,1.000,4,1,3,14,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
11,11,1966-11-11,22-030,BAL,,CIN,L (-15),,,1,5,.200,0,0,,1,,3,2,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
12,12,1966-11-12,22-031,BAL,@,NYK,L (-10),,,5,,,0,0,,,,,10,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
13,13,1966-11-17,22-036,BAL,,CHI,W (+18),,7:00,0,3,.000,0,2,.000,1,0,0,0,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
14,14,1966-11-18,22-037,BAL,@,BOS,L (-24),,11:00,2,5,.400,2,4,.500,4,0,1,6,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
15,15,1966-11-19,22-038,BAL,,BOS,L (-22),,,4,,,3,4,.750,,,,11,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
16,16,1966-11-20,22-039,BAL,@,CIN,L (-2),,,0,0,,1,2,.500,0,0,1,1,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
17,17,1966-11-23,22-042,BAL,,SFW,L (-10),,10:00,1,4,.250,0,0,,1,2,0,2,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
18,18,1966-11-25,22-044,BAL,,PHI,L (-14),,,3,6,.500,0,0,,1,0,2,6,1967,marinja01,https://www.basketball-reference.com/players/m/marinja01/gamelog/1967
