Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2005-01-05,33-305,LAC,,POR,W (+4),0,7:54,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,1,0,1,2,0,0.2,-1,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
2,2,2005-01-08,33-308,LAC,,PHO,L (-17),0,24:00,3,9,0.333,1,3,0.333,0,0,,0,1,1,2,1,0,0,1,7,4.2,0,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
3,3,2005-01-11,33-311,LAC,@,SEA,L (-5),0,10:12,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,3,0,0.5,1,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
4,4,2005-01-12,33-312,LAC,,SEA,W (+11),0,26:49,4,5,0.8,1,1,1.0,1,2,0.5,0,1,1,3,0,0,0,2,10,9.3,16,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
5,5,2005-01-14,33-314,LAC,,MIA,W (+2),0,33:24,5,12,0.417,2,4,0.5,0,0,,0,0,0,7,0,0,0,2,12,9.7,19,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
6,6,2005-01-15,33-315,LAC,@,SAC,L (-4),0,17:00,1,4,0.25,0,2,0.0,0,0,,0,0,0,3,2,0,0,1,2,3.3,7,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
7,7,2005-01-17,33-317,LAC,,SAC,L (-6),0,26:49,0,4,0.0,0,1,0.0,3,4,0.75,1,2,3,3,1,0,0,4,3,2.6,-1,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
8,8,2005-01-19,33-319,LAC,@,SAS,L (-1),0,18:19,1,5,0.2,0,1,0.0,0,0,,0,0,0,2,1,0,2,1,2,-1.1,-6,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
9,9,2005-01-20,33-320,LAC,@,DAL,L (-22),0,12:28,0,3,0.0,0,1,0.0,1,2,0.5,1,0,1,1,0,0,3,2,1,-3.9,-19,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
10,10,2005-01-22,33-322,LAC,@,NOH,L (-3),0,12:38,2,7,0.286,1,4,0.25,0,0,,1,1,2,3,0,0,0,1,5,3.6,-2,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
11,11,2005-01-24,33-324,LAC,,DAL,W (+10),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2005,martida01,https://www.basketball-reference.com/players/m/martida01/gamelog/2005
