Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2006-11-01,23-273,SAC,@,MIN,L (-9),1,38:27,9,15,.600,1,3,.333,4,6,.667,3,2,5,0,2,0,5,2,23,14.2,-16,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
2,2,2006-11-03,23-275,SAC,@,CHI,W (+1),1,44:59,10,15,.667,1,2,.500,9,10,.900,3,2,5,0,3,0,1,1,30,27.4,+5,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
3,3,2006-11-04,23-276,SAC,@,MIL,L (-13),1,32:30,5,14,.357,1,4,.250,4,4,1.000,2,1,3,2,1,0,1,1,15,9.9,-25,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
4,4,2006-11-06,23-278,SAC,,MIN,W (+12),1,39:34,5,12,.417,1,5,.200,8,8,1.000,0,4,4,5,1,0,2,2,19,15.5,+8,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
5,5,2006-11-08,23-280,SAC,,DET,W (+13),1,36:41,10,16,.625,2,4,.500,8,8,1.000,2,4,6,2,2,0,3,2,30,25.0,+15,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
6,6,2006-11-12,23-284,SAC,,TOR,W (+15),1,37:42,8,14,.571,2,5,.400,8,8,1.000,1,5,6,3,2,0,2,1,26,23.3,+17,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
7,7,2006-11-15,23-287,SAC,,MEM,W (+4),1,37:56,7,14,.500,5,9,.556,5,6,.833,0,3,3,6,1,0,1,2,24,20.9,+10,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
8,8,2006-11-16,23-288,SAC,@,GSW,L (-12),1,48:00,7,16,.438,1,2,.500,11,11,1.000,2,7,9,2,4,1,4,4,26,21.6,-12,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
9,9,2006-11-19,23-291,SAC,,SAS,L (-9),1,31:02,6,11,.545,2,3,.667,6,6,1.000,0,5,5,0,1,0,3,4,20,12.6,-14,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
10,10,2006-11-22,23-294,SAC,,UTA,L (-9),1,37:32,9,17,.529,1,1,1.000,5,7,.714,3,5,8,2,0,0,1,2,24,18.1,-15,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
11,11,2006-11-24,23-296,SAC,@,SEA,W (+9),1,39:00,12,19,.632,4,7,.571,7,9,.778,0,4,4,3,2,0,0,3,35,29.8,+15,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
12,12,2006-11-25,23-297,SAC,,POR,W (+20),1,31:56,8,13,.615,4,6,.667,7,7,1.000,0,3,3,1,0,0,1,1,27,21.3,+17,2007,martike02,https://www.basketball-reference.com/players/m/martike02/gamelog/2007
