Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1972-10-13,22-197,POR,,SEA,L (-8),0,6:00,1,1,1.000,0,0,,2,0,1,2,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
2,2,1972-10-14,22-198,POR,,PHO,L (-4),0,5:00,1,2,.500,0,0,,1,0,2,2,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
3,3,1972-10-17,22-201,POR,,MIL,W (+3),0,12:00,3,9,.333,0,0,,7,0,5,6,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
4,4,1972-10-20,22-204,POR,@,LAL,L (-22),0,21:00,6,14,.429,2,2,1.000,6,0,0,14,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
5,5,1972-10-21,22-205,POR,,GSW,L (-7),0,7:00,0,1,.000,0,0,,2,0,3,0,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
6,6,1972-10-22,22-206,POR,@,SEA,L (-1),0,13:00,1,4,.250,0,0,,1,0,4,2,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
7,7,1972-10-24,22-208,POR,,ATL,L (-8),0,9:00,2,5,.400,0,0,,4,1,1,4,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
8,8,1972-10-27,22-211,POR,,CHI,L (-23),0,17:00,2,11,.182,0,0,,11,1,5,4,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
9,9,1972-10-29,22-213,POR,,DET,L (-8),0,5:00,0,2,.000,0,0,,0,0,2,0,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
10,10,1972-11-02,22-217,POR,@,GSW,L (-14),0,5:00,0,2,.000,0,0,,0,0,0,0,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
11,11,1972-11-04,22-219,POR,,LAL,L (-14),0,2:00,1,2,.500,0,0,,1,0,0,2,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
12,12,1972-11-06,22-221,POR,,NYK,L (-16),0,3:00,0,0,,0,0,,0,0,0,0,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
13,13,1972-11-14,22-229,POR,,CLE,W (+9),0,1:00,0,0,,0,0,,1,0,0,0,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
14,14,1972-11-17,22-232,POR,,GSW,W (+8),0,10:00,2,3,.667,0,0,,5,0,3,4,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
15,15,1972-11-21,22-236,POR,@,NYK,L (-28),0,15:00,2,6,.333,1,4,.250,6,0,2,5,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
16,16,1972-11-25,22-240,POR,@,PHI,W (+11),0,9:00,1,3,.333,1,3,.333,4,1,2,3,1973,martila01,https://www.basketball-reference.com/players/m/martila01/gamelog/1973
