Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1993-11-05,26-326,NYK,@,BOS,W (+3),0,35:00,8,10,.800,0,0,,2,5,.400,0,5,5,2,1,0,3,2,18,13.1,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
2,2,1993-11-07,26-328,NYK,@,CLE,W (+8),0,38:00,4,10,.400,0,0,,0,0,,3,1,4,6,1,0,2,2,8,7.4,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
3,3,1993-11-09,26-330,NYK,,PHI,W (+9),1,22:00,3,9,.333,0,0,,0,0,,3,4,7,3,0,0,0,4,6,4.7,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
4,4,1993-11-10,26-331,NYK,@,WSB,W (+8),1,31:00,5,9,.556,0,0,,3,5,.600,0,2,2,4,0,0,2,4,13,7.7,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
5,5,1993-11-12,26-333,NYK,@,IND,W (+19),1,30:00,4,8,.500,0,0,,2,4,.500,2,0,2,1,0,0,3,2,10,3.5,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
6,6,1993-11-13,26-334,NYK,,MIL,W (+13),1,33:00,3,6,.500,0,0,,0,0,,1,4,5,4,2,0,2,4,6,6.1,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
7,7,1993-11-16,26-337,NYK,@,DAL,W (+13),1,21:00,3,6,.500,0,0,,0,0,,3,3,6,1,0,0,4,2,6,1.9,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
8,8,1993-11-17,26-338,NYK,@,SAS,L (-5),1,32:00,3,6,.500,0,0,,1,2,.500,4,4,8,1,0,0,2,3,7,5.1,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
9,9,1993-11-20,26-341,NYK,,UTA,L (-14),1,43:00,5,13,.385,0,0,,4,5,.800,3,4,7,0,1,0,2,3,14,7.6,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
10,10,1993-11-22,26-343,NYK,,MIA,W (+32),1,32:00,4,8,.500,0,0,,4,4,1.000,2,4,6,7,0,0,4,6,12,9.1,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
11,11,1993-11-27,26-348,NYK,,DET,W (+27),1,36:00,9,12,.750,0,0,,2,2,1.000,6,6,12,5,3,0,2,2,20,24.9,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
12,12,1993-12-02,26-353,NYK,,HOU,L (-9),1,25:00,2,3,.667,0,0,,2,2,1.000,2,5,7,1,0,0,1,1,6,6.9,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
13,13,1993-12-04,26-355,NYK,,SAC,W (+22),1,29:00,5,10,.500,0,0,,2,3,.667,4,4,8,1,0,0,1,3,12,9.1,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
14,14,1993-12-06,26-357,NYK,@,UTA,L (-7),1,38:00,5,8,.625,0,0,,2,2,1.000,1,3,4,2,0,0,1,5,12,8.4,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
15,15,1993-12-07,26-358,NYK,@,LAL,W (+14),0,35:00,2,8,.250,0,0,,0,0,,2,7,9,4,0,0,5,4,4,-1.1,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
16,16,1993-12-09,26-360,NYK,@,GSW,W (+13),0,27:00,4,8,.500,0,0,,2,2,1.000,3,3,6,3,1,1,0,2,10,12.0,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
17,17,1993-12-11,26-362,NYK,,IND,W (+7),0,28:00,5,7,.714,0,0,,3,4,.750,2,2,4,3,0,0,0,3,13,12.6,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
18,18,1993-12-14,27-000,NYK,,DEN,W (+9),0,28:00,4,6,.667,0,0,,1,2,.500,0,4,4,2,1,0,2,3,9,6.4,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
19,19,1993-12-16,27-002,NYK,,LAL,W (+23),0,26:00,7,11,.636,0,0,,0,0,,2,4,6,4,1,1,1,0,14,15.2,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
20,20,1993-12-17,27-003,NYK,@,CHI,L (-12),0,26:00,2,5,.400,0,0,,0,0,,0,3,3,2,1,0,1,3,4,2.4,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
21,21,1993-12-20,27-006,NYK,,DAL,W (+9),0,8:00,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-1.4,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
22,22,1993-12-21,27-007,NYK,@,NJN,L (-4),0,31:00,2,9,.222,0,0,,1,1,1.000,9,4,13,3,2,1,1,1,5,10.4,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
23,23,1993-12-23,27-009,NYK,,ATL,W (+9),0,33:00,3,5,.600,0,0,,2,2,1.000,4,4,8,3,2,0,0,3,8,12.6,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
24,24,1993-12-28,27-014,NYK,,NJN,L (-2),0,29:00,1,6,.167,0,0,,1,4,.250,3,5,8,4,0,0,1,4,3,1.8,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
25,25,1993-12-30,27-016,NYK,,WSB,W (+18),0,8:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.0,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
26,26,1994-01-11,27-028,NYK,,LAC,W (+21),0,18:00,2,4,.500,0,0,,1,1,1.000,1,8,9,1,0,0,0,3,5,5.6,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
27,27,1994-01-13,27-030,NYK,@,DET,W (+14),0,22:00,0,2,.000,0,0,,1,2,.500,2,8,10,2,0,0,3,2,1,0.6,1994,masonan01,https://www.basketball-reference.com/players/m/masonan01/gamelog/1994
