Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1992-11-06,22-147,MIL,@,DET,W (+5),0,15:00,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,1,2,0.5,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
2,2,1992-11-07,22-148,MIL,,BOS,W (+36),0,14:00,3,4,.750,1,1,1.000,0,0,,0,1,1,4,2,0,1,2,7,8.7,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
3,3,1992-11-10,22-151,MIL,@,SAS,L (-6),0,20:00,3,5,.600,1,1,1.000,0,0,,0,2,2,3,0,0,1,5,7,4.4,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
4,4,1992-11-11,22-152,MIL,@,DAL,W (+8),0,15:00,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,2,5,2,-3.0,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
5,5,1992-11-13,22-154,MIL,,CHI,L (-5),0,8:00,0,4,.000,0,2,.000,0,0,,1,1,2,1,2,0,0,3,0,-0.3,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
6,6,1992-11-15,22-156,MIL,,DEN,W (+17),0,8:00,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,2,1,0,-2.1,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
7,7,1992-11-17,22-158,MIL,@,ATL,W (+8),0,15:00,1,2,.500,1,1,1.000,0,0,,0,1,1,5,1,0,0,1,3,6.4,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
8,8,1992-11-21,22-162,MIL,,IND,W (+10),0,11:00,1,2,.500,1,2,.500,0,0,,1,0,1,1,0,0,1,0,3,2.4,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
9,9,1992-11-24,22-165,MIL,@,CLE,L (-4),0,14:00,4,4,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,9,9.2,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
10,10,1992-11-25,22-166,MIL,,CLE,W (+9),0,21:00,1,6,.167,1,3,.333,0,0,,0,1,1,5,0,0,0,1,3,2.6,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
11,11,1992-11-27,22-168,MIL,@,PHI,W (+4),0,20:00,3,4,.750,2,3,.667,1,2,.500,0,2,2,2,3,1,0,1,9,12.3,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
12,12,1992-11-28,22-169,MIL,,WSB,W (+2),0,15:00,1,5,.200,0,1,.000,1,1,1.000,0,1,1,2,1,0,0,5,3,0.6,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
13,13,1992-12-02,22-173,MIL,,MIA,W (+3),0,18:00,1,3,.333,0,0,,0,3,.000,0,1,1,2,2,0,3,1,2,-0.6,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
14,14,1992-12-03,22-174,MIL,@,WSB,L (-18),0,18:00,1,4,.250,1,2,.500,1,4,.250,0,1,1,4,1,0,3,4,4,-0.1,1993,maybele01,https://www.basketball-reference.com/players/m/maybele01/gamelog/1993
