Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-10-30,25-359,MIL,@,NYK,L (-7),1,35:57,6,12,.500,0,3,.000,1,1,1.000,0,5,5,3,1,0,2,1,13,9.2,-10,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
2,2,2013-11-01,25-361,MIL,@,BOS,W (+7),1,22:46,2,9,.222,0,1,.000,4,4,1.000,2,2,4,2,2,0,3,4,8,3.3,-16,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
3,3,2013-11-02,25-362,MIL,,TOR,L (-7),0,32:35,6,13,.462,3,5,.600,1,2,.500,1,5,6,8,1,1,4,2,16,13.6,-6,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
4,4,2013-11-06,26-001,MIL,,CLE,W (+5),1,33:03,9,19,.474,6,7,.857,4,4,1.000,0,2,2,3,0,0,4,3,28,15.8,-5,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
5,5,2013-11-09,26-004,MIL,,DAL,L (-8),1,36:32,11,20,.550,4,7,.571,2,2,1.000,2,4,6,2,0,0,6,5,28,14.4,-3,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
6,6,2013-11-12,26-007,MIL,@,MIA,L (-23),1,25:18,2,6,.333,2,3,.667,0,0,,0,2,2,3,2,0,2,2,6,4.5,-23,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
7,7,2013-11-13,26-008,MIL,@,ORL,L (-3),1,43:39,10,22,.455,1,3,.333,4,4,1.000,1,6,7,2,0,0,6,4,25,9.9,-4,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
8,8,2013-11-15,26-010,MIL,@,IND,L (-27),1,30:06,7,17,.412,3,5,.600,3,3,1.000,1,2,3,1,0,0,0,3,20,11.7,-11,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
9,9,2013-11-16,26-011,MIL,,OKC,L (-13),1,35:19,7,19,.368,5,11,.455,3,3,1.000,1,3,4,1,3,0,3,2,22,13.0,+2,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
10,10,2013-11-20,26-015,MIL,,POR,L (-9),1,24:35,3,8,.375,1,2,.500,2,2,1.000,1,2,3,1,0,0,4,1,9,2.2,-10,2014,mayooj01,https://www.basketball-reference.com/players/m/mayooj01/gamelog/2014
