Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2005-11-02,21-038,MIN,,POR,W (+4),0,21:32,3,12,.250,0,2,.000,0,1,.000,0,1,1,1,1,1,1,0,6,0.1,+3,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
2,2,2005-11-04,21-040,MIN,@,SEA,L (-5),0,4:20,1,4,.250,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,0.3,-3,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
3,3,2005-11-05,21-041,MIN,@,LAC,L (-1),0,3:28,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-7,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
4,4,2005-11-07,21-043,MIN,,LAC,W (+15),0,8:08,3,3,1.000,0,0,,0,2,.000,0,0,0,0,1,1,1,2,6,4.2,-1,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
5,5,2005-11-09,21-045,MIN,,LAL,W (+14),0,16:39,3,7,.429,0,2,.000,0,0,,0,0,0,1,1,0,1,2,6,2.2,+7,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
6,6,2005-11-13,21-049,MIN,@,DEN,L (-11),0,18:43,5,9,.556,0,1,.000,4,4,1.000,2,0,2,1,1,1,0,0,14,13.5,0,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
7,7,2005-11-15,21-051,MIN,,HOU,L (-5),0,15:27,3,9,.333,0,4,.000,2,2,1.000,0,2,2,0,1,0,1,1,8,3.1,-10,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
8,8,2005-11-17,21-053,MIN,,WAS,W (+11),0,10:59,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,2.4,+8,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
9,9,2005-11-19,21-055,MIN,,CHA,W (+13),0,24:52,4,8,.500,1,1,1.000,2,2,1.000,0,4,4,1,2,1,3,2,11,7.8,-1,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
10,10,2005-11-23,21-059,MIN,@,NOK,L (-4),0,9:02,1,2,.500,0,0,,3,4,.750,0,0,0,1,0,0,1,2,5,2.5,+3,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
11,11,2005-11-25,21-061,MIN,,MIL,W (+8),0,4:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,-6,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
12,12,2005-11-26,21-062,MIN,@,CLE,W (+4),0,6:14,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,3,2,-1.2,+2,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
13,13,2005-11-29,21-065,MIN,,LAC,L (-9),0,16:27,2,7,.286,1,2,.500,0,0,,0,0,0,0,0,0,1,4,5,-1.7,+9,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
14,14,2005-12-02,21-068,MIN,@,LAL,W (+5),0,7:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-8,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
15,,2005-12-04,21-070,MIN,@,SAC,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
16,15,2005-12-05,21-071,MIN,@,UTA,W (+14),0,13:19,3,6,.500,1,2,.500,0,0,,0,2,2,1,0,0,0,3,7,4.1,-1,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
17,16,2005-12-07,21-073,MIN,@,POR,W (+10),0,8:32,2,4,.500,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,5,2.6,+4,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
18,17,2005-12-10,21-076,MIN,,LAL,W (+13),0,7:27,3,6,.500,1,2,.500,1,2,.500,0,0,0,0,1,0,0,3,8,4.4,-2,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
19,18,2005-12-12,21-078,MIN,@,PHI,L (-1),0,8:22,3,6,.500,1,3,.333,0,0,,0,0,0,0,0,0,1,0,7,3.0,-3,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
20,19,2005-12-13,21-079,MIN,,SAC,L (-2),0,6:00,0,6,.000,0,4,.000,0,0,,1,0,1,0,0,0,2,1,0,-5.9,-10,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
21,20,2005-12-15,21-081,MIN,,SAS,L (-2),0,8:56,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-12,2006,mccanra01,https://www.basketball-reference.com/players/m/mccanra01/gamelog/2006
