Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1.0,2007-11-29,29-358,DEN,@,LAL,L (-28),0,5:04,0,0,,0,0,,0,0,,0,2,2,0,0,2,0,1,0,1.6,-5,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
2,2.0,2007-11-30,29-359,DEN,,LAC,W (+16),0,1:22,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-0.4,-2,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
3,3.0,2007-12-02,29-361,DEN,,MIA,W (+26),0,5:06,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,3,0,-1.2,-5,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
4,,2007-12-05,29-364,DEN,,LAL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
5,,2007-12-06,30-000,DEN,@,DAL,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
6,,2007-12-08,30-002,DEN,,SAC,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
7,,2007-12-12,30-006,DEN,,NOH,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
8,4.0,2007-12-15,30-009,DEN,@,SAS,L (-11),0,2:03,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-4,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
9,5.0,2007-12-16,30-010,DEN,,POR,L (-11),0,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
10,6.0,2007-12-21,30-015,DEN,@,POR,L (-3),1,18:23,1,1,1.000,0,0,,0,0,,1,3,4,0,0,1,2,3,2,0.8,-1,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
11,,2007-12-23,30-017,DEN,@,SAC,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
12,,2007-12-26,30-020,DEN,,MIL,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
13,,2007-12-28,30-022,DEN,@,GSW,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,mccoyje01,https://www.basketball-reference.com/players/m/mccoyje01/gamelog/2008
