Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,23-260,HOU,@,LAL,L (-6),0,12:15,5,5,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,11,9.8,+1,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
2,2,2016-10-28,23-262,HOU,@,DAL,W (+8),0,22:14,4,7,.571,1,4,.250,0,0,,1,1,2,0,2,0,2,1,9,6.3,+2,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
3,3,2016-10-30,23-264,HOU,,DAL,W (+1),0,16:08,1,4,.250,0,1,.000,0,0,,1,1,2,1,0,1,0,2,2,1.2,+6,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
4,4,2016-11-01,23-266,HOU,@,CLE,L (-8),0,19:42,2,7,.286,0,3,.000,0,0,,0,1,1,0,1,0,0,2,4,0.4,-5,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
5,5,2016-11-02,23-267,HOU,@,NYK,W (+19),0,18:48,1,3,.333,1,2,.500,2,2,1.000,0,3,3,0,1,4,1,1,5,6.6,0,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
6,6,2016-11-05,23-270,HOU,@,ATL,L (-15),0,19:07,5,6,.833,1,2,.500,2,2,1.000,0,2,2,0,0,1,1,2,13,10.3,+3,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
7,7,2016-11-07,23-272,HOU,@,WAS,W (+8),0,13:47,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,1,5,3.6,-5,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
8,8,2016-11-09,23-274,HOU,@,SAS,W (+2),0,4:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
9,9,2016-11-12,23-277,HOU,,SAS,L (-6),0,10:01,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,1,0,-1.9,-5,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
10,10,2016-11-14,23-279,HOU,,PHI,W (+27),0,6:15,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,1,1,3,1.2,+1,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
11,,2016-11-16,23-281,HOU,@,OKC,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
12,11,2016-11-17,23-282,HOU,,POR,W (+17),0,4:56,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-6,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
13,,2016-11-19,23-284,HOU,,UTA,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
14,,2016-11-21,23-286,HOU,@,DET,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
15,,2016-11-23,23-288,HOU,,TOR,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
16,,2016-11-25,23-290,HOU,@,SAC,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
17,,2016-11-27,23-292,HOU,@,POR,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
18,12,2016-11-29,23-294,HOU,@,UTA,L (-19),0,3:21,1,2,.500,1,1,1.000,1,2,.500,0,1,1,0,0,2,0,0,4,4.3,+2,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
19,,2016-12-01,23-296,HOU,@,GSW,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
20,13,2016-12-02,23-297,HOU,@,DEN,W (+18),0,4:25,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0.3,-4,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
21,,2016-12-05,23-300,HOU,,BOS,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
22,14,2016-12-07,23-302,HOU,,LAL,W (+39),0,7:11,0,4,.000,0,1,.000,0,0,,0,2,2,0,2,0,0,1,0,-0.6,+1,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
23,,2016-12-09,23-304,HOU,@,OKC,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
24,15,2016-12-10,23-305,HOU,,DAL,W (+22),0,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
25,,2016-12-12,23-307,HOU,,BRK,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
26,16,2016-12-14,23-309,HOU,,SAC,W (+34),0,5:36,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,3,1,2,-2.1,-1,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
27,,2016-12-16,23-311,HOU,,NOP,W (+22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,mcdankj01,https://www.basketball-reference.com/players/m/mcdankj01/gamelog/2017
