Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1996-11-01,33-150,NJN,,CLE,L (-13),0,19:32,1,4,.250,1,2,.500,0,0,,3,1,4,1,1,0,3,2,3,0.9,+1,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
2,2,1996-11-07,33-156,NJN,,ORL,L (-13),0,30:43,4,10,.400,0,0,,0,0,,4,4,8,2,1,0,2,3,8,5.8,-15,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
3,3,1996-11-08,33-157,NJN,@,ORL,L (-4),0,29:11,3,11,.273,2,3,.667,1,2,.500,6,7,13,2,0,0,0,1,9,9.4,+6,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
4,4,1996-11-13,33-162,NJN,,WSB,L (-15),0,5:08,1,4,.250,0,0,,0,0,,2,0,2,0,0,0,2,0,2,-1.0,-6,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
5,5,1996-11-15,33-164,NJN,,POR,L (-8),0,10:29,2,3,.667,0,0,,0,2,.000,1,2,3,0,1,0,1,2,4,2.4,0,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
6,6,1996-11-16,33-165,NJN,,DEN,W (+7),0,16:22,2,6,.333,0,0,,1,2,.500,1,2,3,0,0,0,1,2,5,0.7,+6,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
7,,1996-11-21,33-170,NJN,@,DET,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
8,,1996-11-25,33-174,NJN,@,UTA,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
9,,1996-12-11,33-190,NJN,,SEA,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
10,7,1996-12-13,33-192,NJN,,CHI,L (-21),0,4:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,+4,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
11,8,1996-12-14,33-193,NJN,@,MIL,L (-10),0,5:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,2,1,2,-1.4,-3,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
12,,1996-12-17,33-196,NJN,,TOR,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
13,9,1996-12-18,33-197,NJN,@,CLE,L (-18),0,13:31,1,6,.167,1,1,1.000,2,2,1.000,1,3,4,0,0,1,1,4,5,0.9,-6,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
14,10,1996-12-20,33-199,NJN,@,ATL,L (-14),0,24:27,5,8,.625,0,2,.000,0,0,,3,2,5,1,2,0,1,2,10,10.0,+4,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
15,11,1996-12-21,33-200,NJN,,BOS,W (+1),0,28:42,4,8,.500,0,0,,2,3,.667,2,2,4,2,1,1,1,3,10,8.5,-4,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
16,12,1996-12-23,33-202,NJN,@,CHI,L (-32),0,13:59,1,4,.250,0,0,,0,0,,0,4,4,0,0,1,1,4,2,-1.1,-24,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
17,13,1996-12-26,33-205,NJN,@,TOR,L (-2),0,37:17,4,11,.364,0,1,.000,0,1,.000,4,2,6,3,0,1,0,5,8,5.7,+2,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
18,14,1996-12-27,33-206,NJN,,IND,W (+11),0,22:16,2,6,.333,0,0,,2,2,1.000,1,3,4,2,1,1,0,3,6,6.1,+3,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
19,15,1996-12-29,33-208,NJN,@,IND,W (+8),0,29:09,2,10,.200,0,1,.000,3,5,.600,3,3,6,2,2,0,0,2,7,5.6,+3,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
20,16,1996-12-30,33-209,NJN,@,NYK,L (-12),0,20:14,3,9,.333,0,2,.000,2,3,.667,2,2,4,1,2,0,3,2,8,3.4,-4,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
21,17,1997-01-02,33-212,NJN,@,MIA,L (-10),0,11:26,1,4,.250,0,0,,0,0,,2,3,5,0,0,0,1,0,2,0.9,+1,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
22,18,1997-01-20,33-230,NJN,@,DEN,L (-9),0,3:03,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-3,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
23,,1997-01-22,33-232,NJN,@,SAS,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
24,19,1997-01-23,33-233,NJN,@,HOU,L (-7),0,6:06,2,4,.500,0,1,.000,0,0,,0,1,1,0,0,0,2,2,4,-0.5,-4,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
25,20,1997-01-25,33-235,NJN,@,DAL,L (-11),0,2:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
26,21,1997-01-28,33-238,NJN,,CLE,L (-22),0,10:36,1,4,.250,0,1,.000,0,0,,0,0,0,0,1,0,1,3,2,-1.6,-2,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
27,22,1997-01-30,33-240,NJN,,PHO,W (+12),0,22:04,0,6,.000,0,1,.000,4,4,1.000,2,4,6,2,1,0,0,1,4,4.4,+4,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
28,23,1997-02-01,33-242,NJN,,DET,L (-15),0,12:46,1,4,.250,0,1,.000,0,0,,0,5,5,0,0,0,0,3,2,-0.1,-5,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
29,24,1997-02-02,33-243,NJN,@,IND,L (-2),0,23:34,2,6,.333,0,0,,2,2,1.000,3,5,8,1,0,0,0,2,6,6.1,+11,1997,mcdanxa01,https://www.basketball-reference.com/players/m/mcdanxa01/gamelog/1997
