Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1987-11-06,25-109,GSW,@,SAC,L (-28),0,19:00,5,8,.625,0,0,,0,0,,4,3,7,1,0,0,1,6,10,7.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
2,2,1987-11-07,25-110,GSW,,DEN,L (-4),1,36:00,5,8,.625,0,0,,2,2,1.000,3,4,7,1,0,0,0,5,12,10.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
3,3,1987-11-10,25-113,GSW,@,PHO,L (-14),1,31:00,7,10,.700,1,1,1.000,4,4,1.000,2,2,4,1,1,0,1,5,19,15.5,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
4,4,1987-11-11,25-114,GSW,,PHO,W (+15),1,43:00,6,9,.667,0,0,,1,1,1.000,9,5,14,4,0,0,2,4,13,16.1,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
5,5,1987-11-13,25-116,GSW,@,LAC,L (-3),1,32:00,6,12,.500,1,2,.500,3,3,1.000,2,3,5,0,0,0,1,5,16,9.3,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
6,6,1987-11-14,25-117,GSW,,LAL,L (-8),1,26:00,5,11,.455,0,1,.000,0,0,,2,0,2,0,1,0,2,5,10,2.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
7,7,1987-11-17,25-120,GSW,@,MIL,L (-12),0,28:00,2,11,.182,0,1,.000,0,0,,4,4,8,4,1,0,0,3,4,3.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
8,8,1987-11-18,25-121,GSW,@,ATL,L (-3),1,18:00,4,8,.500,1,1,1.000,1,2,.500,2,5,7,1,0,0,4,5,10,3.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
9,9,1987-11-20,25-123,GSW,@,DET,L (-23),1,32:00,4,9,.444,0,1,.000,0,0,,1,4,5,2,0,0,2,5,8,2.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
10,10,1987-11-21,25-124,GSW,@,NYK,L (-8),1,28:00,4,9,.444,0,0,,0,0,,4,0,4,2,2,0,2,4,8,5.9,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
11,11,1987-11-24,25-127,GSW,,LAC,L (-3),1,50:00,2,11,.182,0,3,.000,0,2,.000,3,1,4,2,1,0,0,5,4,-0.9,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
12,12,1987-11-27,25-130,GSW,,PHI,W (+6),1,23:00,1,3,.333,0,0,,5,6,.833,3,3,6,1,1,0,0,4,7,8.0,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
13,13,1987-12-01,25-134,GSW,,CHI,L (-1),1,42:00,6,11,.545,0,0,,1,2,.500,1,2,3,1,0,0,2,2,13,6.5,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
14,14,1987-12-04,25-137,GSW,@,DAL,L (-21),1,33:00,3,5,.600,0,0,,0,2,.000,0,1,1,0,1,0,0,2,6,3.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
15,15,1987-12-05,25-138,GSW,@,HOU,L (-25),1,26:00,3,5,.600,0,0,,0,0,,2,1,3,1,0,0,0,1,6,5.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
16,16,1987-12-09,25-142,GSW,,CLE,W (+1),0,18:00,6,8,.750,0,0,,2,2,1.000,1,1,2,1,1,0,2,4,14,9.9,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
17,17,1987-12-11,25-144,GSW,,ATL,L (-16),0,26:00,2,3,.667,0,0,,3,3,1.000,0,3,3,3,1,0,0,4,7,8.1,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
18,18,1987-12-12,25-145,GSW,@,UTA,L (-34),0,29:00,6,12,.500,0,0,,4,4,1.000,1,2,3,3,1,0,0,2,16,13.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
19,19,1987-12-17,25-150,GSW,,LAL,L (-7),0,24:00,3,9,.333,0,2,.000,3,3,1.000,0,2,2,1,0,0,0,5,9,3.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
20,20,1987-12-19,25-152,GSW,,SEA,L (-27),0,24:00,3,8,.375,0,0,,0,0,,3,3,6,3,1,0,0,0,6,7.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
21,21,1987-12-22,25-155,GSW,@,POR,L (-45),0,31:00,2,8,.250,0,0,,0,0,,1,2,3,1,1,0,0,3,4,1.0,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
22,22,1987-12-23,25-156,GSW,,DEN,W (+12),0,26:00,5,6,.833,0,0,,1,2,.500,3,4,7,2,0,0,1,4,11,10.5,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
23,23,1987-12-26,25-159,GSW,@,SAS,L (-9),0,32:00,7,10,.700,0,0,,0,0,,1,3,4,1,0,0,1,1,14,10.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
24,24,1987-12-30,25-163,GSW,@,UTA,L (-1),0,19:00,2,4,.500,0,0,,0,0,,0,3,3,1,0,0,1,6,4,0.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
25,25,1988-01-02,25-166,GSW,,BOS,L (-5),0,14:00,0,3,.000,0,1,.000,1,2,.500,1,3,4,0,0,0,0,1,1,-0.3,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
26,26,1988-01-05,25-169,GSW,,SAS,W (+10),0,18:00,1,4,.250,0,0,,0,0,,0,3,3,1,1,0,1,1,2,0.8,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
27,27,1988-01-07,25-171,GSW,,HOU,L (-7),0,13:00,1,5,.200,1,2,.500,0,0,,1,3,4,0,0,0,1,3,3,-0.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
28,28,1988-01-09,25-173,GSW,,DAL,L (-16),0,16:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,2,5,2,-3.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
29,29,1988-01-12,25-176,GSW,@,LAL,L (-4),0,20:00,3,7,.429,1,1,1.000,0,0,,0,4,4,3,0,0,0,4,7,5.0,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
30,30,1988-01-13,25-177,GSW,@,SEA,L (-29),0,23:00,2,7,.286,0,0,,5,6,.833,1,1,2,2,0,1,1,1,9,6.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
31,31,1988-01-15,25-179,GSW,,LAC,W (+7),0,25:00,7,9,.778,0,1,.000,0,0,,0,1,1,2,1,1,2,4,14,10.3,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
32,32,1988-01-16,25-180,GSW,@,DEN,L (-21),0,32:00,4,13,.308,1,2,.500,5,6,.833,7,3,10,0,1,0,4,1,14,8.5,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
33,33,1988-01-18,25-182,GSW,@,BOS,L (-20),0,31:00,3,9,.333,0,1,.000,1,3,.333,1,2,3,4,1,0,1,2,7,4.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
34,34,1988-01-22,25-186,GSW,@,WSB,L (-24),0,10:00,2,5,.400,0,0,,1,2,.500,3,1,4,2,1,0,1,2,5,4.9,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
35,35,1988-01-23,25-187,GSW,@,CHI,L (-27),0,22:00,1,5,.200,0,0,,0,0,,0,0,0,3,2,0,1,3,2,0.8,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
36,36,1988-01-25,25-189,GSW,,MIL,L (-3),1,40:00,4,8,.500,0,0,,0,0,,3,2,5,2,0,0,2,6,8,3.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
37,37,1988-01-27,25-191,GSW,,POR,W (+5),1,43:00,4,9,.444,0,0,,2,2,1.000,1,5,6,3,2,0,2,3,10,8.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
38,38,1988-01-29,25-193,GSW,,UTA,W (+2),1,23:00,5,7,.714,0,0,,0,0,,0,2,2,0,0,0,2,4,10,4.1,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
39,39,1988-02-01,25-196,GSW,@,IND,L (-2),1,24:00,0,5,.000,0,1,.000,0,0,,0,5,5,1,0,0,0,2,0,-2.1,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
40,40,1988-02-03,25-198,GSW,@,PHI,L (-12),1,30:00,2,6,.333,0,0,,0,0,,0,1,1,1,1,0,2,3,4,-0.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
41,41,1988-02-04,25-199,GSW,@,CLE,W (+6),0,30:00,3,4,.750,0,0,,0,0,,1,6,7,3,0,1,0,3,6,8.5,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
42,42,1988-02-09,25-204,GSW,,SAC,W (+18),0,17:00,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,1,1,0,-0.1,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
43,43,1988-02-11,25-206,GSW,,IND,L (-1),0,22:00,2,3,.667,0,0,,0,0,,0,2,2,1,1,0,2,3,4,1.8,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
44,44,1988-02-13,25-208,GSW,,SEA,W (+14),1,29:00,6,10,.600,0,0,,0,1,.000,0,1,1,2,2,0,2,0,12,8.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
45,45,1988-02-15,25-210,GSW,@,SAS,W (+4),1,29:00,2,6,.333,0,0,,2,2,1.000,3,3,6,1,1,0,1,3,6,5.1,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
46,46,1988-02-16,25-211,GSW,@,HOU,L (-5),1,18:00,0,2,.000,0,0,,0,0,,0,2,2,2,0,0,0,3,0,-0.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
47,47,1988-02-19,25-214,GSW,@,DAL,L (-13),0,11:00,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,3,0,-0.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
48,48,1988-02-22,25-217,GSW,,SAS,W (+12),0,15:00,0,3,.000,0,0,,2,2,1.000,2,7,9,4,1,0,3,2,2,3.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
49,49,1988-02-24,25-219,GSW,,DET,L (-14),0,14:00,1,4,.250,0,0,,0,0,,1,2,3,1,0,0,0,2,2,0.8,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
50,50,1988-02-26,25-221,GSW,,NYK,L (-6),0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
51,51,1988-02-27,25-222,GSW,@,SEA,L (-3),0,22:00,4,6,.667,0,0,,0,0,,2,2,4,2,2,0,1,2,8,9.0,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
52,52,1988-02-29,25-224,GSW,,WSB,L (-5),0,28:00,2,7,.286,0,0,,0,0,,5,6,11,2,0,0,1,5,4,3.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
53,53,1988-03-02,25-226,GSW,,HOU,L (-7),0,21:00,1,5,.200,0,1,.000,0,0,,2,3,5,1,3,0,2,5,2,0.9,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
54,54,1988-03-04,25-228,GSW,@,LAL,L (-13),1,32:00,3,8,.375,0,1,.000,3,3,1.000,2,3,5,1,0,0,2,3,9,4.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
55,55,1988-03-05,25-229,GSW,@,POR,L (-6),1,33:00,2,7,.286,0,1,.000,2,2,1.000,1,7,8,3,0,0,1,3,6,4.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
56,56,1988-03-08,25-232,GSW,,SEA,L (-5),1,39:00,7,9,.778,0,0,,0,0,,2,3,5,3,0,0,1,4,14,12.3,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
57,57,1988-03-10,25-234,GSW,,NJN,W (+16),1,29:00,6,12,.500,0,0,,3,4,.750,1,2,3,2,0,0,0,4,15,9.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
58,58,1988-03-11,25-235,GSW,@,LAC,W (+5),1,36:00,7,10,.700,0,0,,0,0,,1,3,4,2,0,0,2,3,14,9.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
59,59,1988-03-13,25-237,GSW,@,HOU,L (-13),1,18:00,2,6,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,4,1.3,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
60,60,1988-03-14,25-238,GSW,@,DAL,L (-20),0,23:00,5,8,.625,0,1,.000,4,6,.667,1,1,2,2,0,0,2,3,14,8.8,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
61,61,1988-03-16,25-240,GSW,,PHO,L (-6),0,19:00,0,4,.000,0,2,.000,1,2,.500,1,4,5,1,1,0,0,3,1,0.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
62,62,1988-03-18,25-242,GSW,,POR,L (-5),1,31:00,3,9,.333,0,0,,2,2,1.000,2,3,5,2,0,0,0,2,8,5.8,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
63,63,1988-03-20,25-244,GSW,,LAL,L (-3),1,36:00,8,12,.667,0,0,,6,6,1.000,3,3,6,0,1,0,2,4,22,17.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
64,64,1988-03-23,25-247,GSW,,SAC,W (+8),1,18:00,3,5,.600,0,0,,3,3,1.000,1,1,2,1,0,0,3,5,9,3.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
65,65,1988-03-25,25-249,GSW,@,LAC,L (-15),1,21:00,2,4,.500,0,1,.000,3,3,1.000,0,3,3,2,0,0,1,3,7,5.1,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
66,66,1988-03-26,25-250,GSW,,DEN,L (-23),0,15:00,2,5,.400,0,1,.000,0,0,,0,0,0,1,0,0,2,4,4,-1.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
67,67,1988-03-30,25-254,GSW,@,PHO,L (-18),0,23:00,3,5,.600,1,1,1.000,0,0,,1,5,6,2,0,1,3,2,7,5.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
68,68,1988-03-31,25-255,GSW,@,UTA,L (-23),0,9:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,6,2,-0.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
69,69,1988-04-02,25-257,GSW,@,DEN,L (-16),0,29:00,6,13,.462,1,3,.333,3,4,.750,4,3,7,3,0,0,2,1,16,12.3,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
70,70,1988-04-05,25-260,GSW,,SAS,L (-13),0,21:00,4,10,.400,0,0,,0,0,,3,0,3,2,0,1,0,1,8,6.4,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
71,71,1988-04-06,25-261,GSW,@,SEA,L (-12),1,28:00,5,9,.556,1,1,1.000,1,2,.500,3,2,5,3,0,0,2,2,12,9.3,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
72,72,1988-04-08,25-263,GSW,,PHO,W (+1),1,18:00,1,2,.500,0,0,,0,0,,2,1,3,2,0,0,2,1,2,1.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
73,73,1988-04-10,25-265,GSW,@,SAC,L (-6),1,19:00,1,5,.200,0,1,.000,0,0,,0,4,4,1,0,0,1,2,2,-1.0,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
74,74,1988-04-11,25-266,GSW,,UTA,L (-11),1,17:00,2,4,.500,0,0,,0,0,,1,5,6,4,0,0,0,1,4,6.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
75,75,1988-04-13,25-268,GSW,,DAL,W (+2),1,24:00,4,8,.500,0,0,,0,0,,4,2,6,3,0,1,2,4,8,6.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
76,76,1988-04-15,25-270,GSW,@,POR,L (-34),1,20:00,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,0,3,2,-0.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
77,77,1988-04-16,25-271,GSW,,LAC,W (+3),1,27:00,5,7,.714,0,0,,0,0,,0,2,2,1,1,0,0,2,10,8.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
78,78,1988-04-19,25-274,GSW,@,PHO,L (-15),1,24:00,2,5,.400,0,0,,0,0,,0,2,2,1,0,0,3,2,4,-1.2,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
79,79,1988-04-20,25-275,GSW,,POR,L (-14),0,26:00,1,6,.167,0,0,,2,4,.500,4,2,6,2,1,1,3,3,4,1.7,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
80,80,1988-04-22,25-277,GSW,,SAC,L (-8),1,29:00,3,6,.500,0,0,,0,0,,1,1,2,2,1,0,1,2,6,4.6,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
81,81,1988-04-24,25-279,GSW,@,LAL,L (-36),1,34:00,8,11,.727,0,0,,5,6,.833,8,4,12,6,1,0,0,5,21,26.1,1988,mcdonbe01,https://www.basketball-reference.com/players/m/mcdonbe01/gamelog/1988
