Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2020-12-23,22-209,MEM,,SAS,L (-12),0,24:32,1,6,.167,1,3,.333,0,0,,0,2,2,1,0,2,0,1,3,1.5,-7,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
2,,2020-12-26,22-212,MEM,,ATL,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
3,,2020-12-28,22-214,MEM,@,BRK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
4,,2020-12-30,22-216,MEM,@,BOS,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
5,,2021-01-01,22-218,MEM,@,CHO,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
6,,2021-01-03,22-220,MEM,,LAL,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
7,2,2021-01-05,22-222,MEM,,LAL,L (-2),0,15:44,2,6,.333,1,3,.333,0,0,,0,2,2,5,1,1,2,3,5,4.2,+12,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
8,3,2021-01-07,22-224,MEM,,CLE,L (-4),0,21:12,4,7,.571,0,1,.000,0,0,,0,3,3,3,3,1,3,2,8,7.6,+7,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
9,4,2021-01-08,22-225,MEM,,BRK,W (+5),0,22:00,6,10,.600,2,2,1.000,0,0,,1,4,5,1,1,1,2,0,14,11.7,-6,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
10,5,2021-01-11,22-228,MEM,@,CLE,W (+10),0,18:12,3,7,.429,1,2,.500,1,2,.500,0,2,2,2,1,0,1,4,8,4.3,+7,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
11,6,2021-01-13,22-230,MEM,@,MIN,W (+11),0,24:46,7,12,.583,1,4,.250,0,0,,0,1,1,4,2,1,1,1,15,13.8,+7,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
12,7,2021-01-16,22-233,MEM,,PHI,W (+2),0,12:03,2,6,.333,0,2,.000,0,0,,0,1,1,1,1,0,1,1,4,1.2,+5,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
13,,2021-01-18,22-235,MEM,,PHO,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
14,8,2021-01-30,22-247,MEM,@,SAS,W (+17),0,32:18,8,13,.615,4,7,.571,0,0,,2,3,5,2,0,2,0,5,20,17.2,+11,2021,meltode01,https://www.basketball-reference.com/players/m/meltode01/gamelog/2021
