Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1970-10-14,30-101,BAL,,SDR,W (+18),,19:00,7,10,.700,6,7,.857,2,0,5,20,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
2,2,1970-10-17,30-104,BAL,,LAL,W (+2),,,6,,,2,4,.500,,,2,14,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
3,3,1970-10-20,30-107,BAL,,SFW,L (-20),1,31:00,3,7,.429,2,2,1.000,2,0,3,8,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
4,4,1970-10-21,30-108,BAL,@,CIN,W (+12),,,1,3,.333,1,2,.500,3,,0,3,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
5,5,1970-10-23,30-110,BAL,,NYK,W (+6),,9:00,1,3,.333,0,0,,0,0,1,2,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
6,6,1970-10-24,30-111,BAL,@,MIL,L (-2),,,1,,,2,2,1.000,,,0,4,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
7,7,1970-10-28,30-115,BAL,,DET,L (-6),,,3,,,0,0,,,,1,6,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
8,8,1970-10-30,30-117,BAL,@,PHI,W (+13),,5:00,1,1,1.000,0,0,,2,0,1,2,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
9,9,1970-10-31,30-118,BAL,,PHO,W (+3),0,2:00,0,0,,0,0,,0,0,0,0,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
10,10,1970-11-05,30-123,BAL,@,POR,L (-4),0,18:00,0,2,.000,0,0,,2,2,4,0,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
11,11,1970-11-06,30-124,BAL,@,SDR,W (+7),,6:00,0,0,,1,2,.500,0,0,0,1,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
12,12,1970-11-08,30-126,BAL,@,LAL,L (-19),0,18:00,3,11,.273,0,0,,3,3,0,6,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
13,13,1970-11-11,30-129,BAL,,PHI,L (-12),,26:00,4,8,.500,7,9,.778,5,1,1,15,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
14,14,1970-11-12,30-130,BAL,@,NYK,W (+2),,30:00,10,20,.500,5,5,1.000,6,0,5,25,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
15,15,1970-11-14,30-132,BAL,,BOS,W (+21),,,10,,,2,2,1.000,,,,22,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
16,16,1970-11-15,30-133,BAL,@,MIL,L (-15),,42:00,6,9,.667,1,1,1.000,5,3,3,13,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
17,17,1970-11-16,30-134,BAL,,CLE,W (+12),1,15:00,1,8,.125,2,3,.667,0,1,2,4,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
18,18,1970-11-18,30-136,BAL,@,CLE,W (+13),,35:00,7,13,.538,3,3,1.000,2,10,2,17,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
19,19,1970-11-20,30-138,BAL,,PHO,W (+11),1,26:00,5,12,.417,1,2,.500,4,2,2,11,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
20,20,1970-11-21,30-139,BAL,@,ATL,L (-27),1,34:00,7,17,.412,2,3,.667,2,3,3,16,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
21,21,1970-11-24,30-142,BAL,,POR,W (+52),1,21:00,4,10,.400,5,7,.714,4,3,1,13,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
22,22,1970-11-27,30-145,BAL,@,BOS,L (-46),,33:00,5,12,.417,5,7,.714,2,1,1,15,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
23,23,1970-11-28,30-146,BAL,,CHI,W (+8),1,31:00,4,9,.444,0,0,,4,3,3,8,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
24,24,1970-11-30,30-148,BAL,@,PHI,L (-6),,21:00,4,7,.571,2,3,.667,2,2,3,10,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
25,25,1970-12-01,30-149,BAL,,LAL,L (-4),,10:00,0,2,.000,0,0,,0,0,2,0,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
26,26,1970-12-04,30-152,BAL,,SEA,W (+15),,36:00,6,14,.429,5,6,.833,7,4,4,17,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
27,27,1970-12-06,30-154,BAL,,CIN,W (+8),,23:00,4,12,.333,3,3,1.000,0,2,1,11,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
28,28,1970-12-09,30-157,BAL,,MIL,W (+30),1,29:00,7,17,.412,2,2,1.000,5,1,4,16,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
29,29,1970-12-12,30-160,BAL,,SFW,W (+23),1,39:00,6,18,.333,5,6,.833,6,4,2,17,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
30,30,1970-12-15,30-163,BAL,@,CHI,L (-18),1,38:00,6,9,.667,2,2,1.000,3,3,2,14,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
31,31,1970-12-18,30-166,BAL,,ATL,L (-4),,39:00,5,11,.455,0,0,,4,3,2,10,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
32,32,1970-12-19,30-167,BAL,,BOS,W (+6),,,10,,,6,8,.750,,,,26,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
33,33,1970-12-23,30-171,BAL,@,CIN,L (-5),,14:00,0,4,.000,1,1,1.000,1,0,3,1,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
34,34,1970-12-25,30-173,BAL,,CHI,W (+16),1,37:00,9,14,.643,5,6,.833,3,4,1,23,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
35,35,1970-12-27,30-175,BAL,@,NYK,L (-5),,44:00,9,18,.500,2,2,1.000,3,3,2,20,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
36,36,1970-12-30,30-178,BAL,,BUF,W (+16),,31:00,3,14,.214,3,3,1.000,1,2,2,9,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
37,37,1971-01-01,30-180,BAL,@,CLE,W (+23),,33:00,9,12,.750,2,2,1.000,1,3,2,20,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
38,38,1971-01-02,30-181,BAL,@,DET,W (+9),,,10,,,2,3,.667,,,4,22,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
39,39,1971-01-05,30-184,BAL,,SEA,W (+8),,28:00,5,12,.417,0,0,,5,3,5,10,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
40,40,1971-01-07,30-186,BAL,@,ATL,W (+8),,31:00,6,15,.400,3,4,.750,4,3,3,15,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
41,41,1971-01-08,30-187,BAL,,ATL,W (+11),,37:00,6,19,.316,3,3,1.000,5,2,3,15,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
42,42,1971-01-10,30-189,BAL,@,MIL,L (-52),,21:00,1,6,.167,1,1,1.000,1,1,0,3,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
43,43,1971-01-14,30-193,BAL,@,SEA,L (-4),,26:00,5,12,.417,0,0,,4,2,2,10,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
44,44,1971-01-15,30-194,BAL,@,SDR,W (+7),,25:00,2,7,.286,3,5,.600,6,4,4,7,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
45,45,1971-01-16,30-195,BAL,@,PHO,L (-17),1,23:00,1,9,.111,0,0,,5,1,2,2,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
46,46,1971-01-17,30-196,BAL,@,SEA,W (+15),,22:00,4,9,.444,0,0,,3,1,2,8,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
47,47,1971-01-20,30-199,BAL,,MIL,L (-4),1,44:00,6,14,.429,4,6,.667,3,4,3,16,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
48,48,1971-01-22,30-201,BAL,@,BOS,W (+19),,19:00,6,8,.750,1,2,.500,2,1,0,13,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
49,49,1971-01-23,30-202,BAL,,SDR,W (+7),,15:00,2,5,.400,1,2,.500,2,0,0,5,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
50,50,1971-01-26,30-205,BAL,,SFW,W (+5),0,13:00,0,2,.000,0,0,,0,1,1,0,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
51,51,1971-01-27,30-206,BAL,@,CIN,L (-2),,17:00,0,7,.000,0,0,,0,0,1,0,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
52,52,1971-02-02,30-212,BAL,@,DET,L (-3),,,9,,,0,1,.000,,,2,18,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
53,53,1971-02-03,30-213,BAL,,CHI,L (-22),0,16:00,1,5,.200,4,4,1.000,3,2,2,6,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
54,54,1971-02-05,30-215,BAL,@,BUF,W (+8),,2:00,0,0,,0,0,,0,0,0,0,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
55,55,1971-02-07,30-217,BAL,,DET,W (+3),,,2,,,3,3,1.000,,,,7,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
56,56,1971-02-12,30-222,BAL,,BOS,L (-4),,15:00,2,7,.286,0,0,,0,2,3,4,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
57,57,1971-02-14,30-224,BAL,,PHI,W (+9),,9:00,1,2,.500,0,0,,0,0,0,2,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
58,58,1971-02-16,30-226,BAL,@,DET,L (-15),,26:00,2,10,.200,2,2,1.000,1,1,3,6,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
59,59,1971-02-17,30-227,BAL,,BUF,L (-4),,30:00,7,14,.500,2,2,1.000,2,0,1,16,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
60,60,1971-02-19,30-229,BAL,@,BUF,W (+7),,28:00,3,11,.273,2,2,1.000,2,1,1,8,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
61,61,1971-02-20,30-230,BAL,,ATL,L (-7),,18:00,3,6,.500,2,2,1.000,3,0,3,8,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
62,62,1971-02-21,30-231,BAL,@,ATL,W (+2),,15:00,1,6,.167,0,0,,6,0,0,2,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
63,63,1971-02-23,30-233,BAL,,LAL,L (-7),,4:00,0,1,.000,0,0,,0,0,1,0,1971,milesed01,https://www.basketball-reference.com/players/m/milesed01/gamelog/1971
