Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1991-11-01,26-069,IND,,WSB,L (-6),1,38:00,6,16,.375,0,4,.000,9,9,1.000,0,7,7,6,0,0,2,4,21,14.9,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
2,2,1991-11-02,26-070,IND,,UTA,W (+15),1,32:00,5,9,.556,1,1,1.000,4,6,.667,0,3,3,2,0,0,0,1,15,11.8,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
3,3,1991-11-05,26-073,IND,@,PHO,W (+6),1,38:00,11,18,.611,4,6,.667,8,10,.800,2,3,5,1,1,0,1,3,34,26.8,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
4,4,1991-11-06,26-074,IND,@,SAC,L (-10),1,35:00,5,14,.357,0,4,.000,7,7,1.000,0,3,3,3,3,0,1,3,17,13.0,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
5,5,1991-11-08,26-076,IND,@,POR,L (-25),1,39:00,3,9,.333,1,3,.333,3,3,1.000,0,4,4,5,2,0,5,1,10,6.2,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
6,6,1991-11-09,26-077,IND,@,SEA,L (-7),1,44:00,7,15,.467,3,5,.600,11,12,.917,0,2,2,1,0,1,0,4,28,20.3,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
7,7,1991-11-11,26-079,IND,@,LAC,L (-9),1,45:00,6,15,.400,0,7,.000,6,7,.857,2,7,9,2,2,0,4,3,18,11.2,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
8,8,1991-11-13,26-081,IND,,NYK,W (+3),1,40:00,12,19,.632,1,3,.333,6,8,.750,0,3,3,4,1,0,3,2,31,22.6,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
9,9,1991-11-15,26-083,IND,,SEA,L (-16),1,41:00,8,16,.500,1,3,.333,7,8,.875,1,2,3,5,0,1,2,3,24,17.9,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
10,10,1991-11-16,26-084,IND,@,CLE,L (-10),1,43:00,11,21,.524,3,7,.429,7,7,1.000,3,4,7,1,4,0,3,3,32,25.5,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
11,11,1991-11-18,26-086,IND,,DET,W (+17),1,33:00,5,8,.625,0,1,.000,6,7,.857,0,6,6,5,1,0,2,2,16,15.5,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
12,12,1991-11-20,26-088,IND,@,BOS,L (-15),1,45:00,9,22,.409,4,9,.444,4,4,1.000,1,1,2,1,3,0,2,3,26,15.7,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
13,13,1991-11-22,26-090,IND,@,CHH,L (-2),1,43:00,9,27,.333,3,9,.333,4,4,1.000,3,5,8,6,3,0,2,1,25,18.1,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
14,14,1991-11-23,26-091,IND,,MIA,W (+36),1,24:00,3,10,.300,0,2,.000,0,0,,0,6,6,3,1,0,0,1,6,4.7,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
15,15,1991-11-27,26-095,IND,@,DAL,L (-7),1,39:00,5,13,.385,0,1,.000,4,6,.667,1,4,5,5,0,1,1,3,14,10.0,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
16,16,1991-11-29,26-097,IND,,HOU,W (+20),1,37:00,12,14,.857,5,5,1.000,2,4,.500,1,2,3,6,1,0,2,4,31,28.1,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
17,17,1991-11-30,26-098,IND,@,MIL,L (-18),1,41:00,8,14,.571,0,1,.000,3,4,.750,2,2,4,2,2,0,3,3,19,13.2,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
18,18,1991-12-03,26-101,IND,@,DET,W (+9),1,33:00,3,7,.429,0,1,.000,2,2,1.000,0,2,2,4,1,1,3,3,8,5.2,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
19,19,1991-12-04,26-102,IND,,PHO,L (-6),1,41:00,10,15,.667,0,2,.000,1,2,.500,2,1,3,2,1,0,0,3,21,17.0,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
20,20,1991-12-06,26-104,IND,,MIL,W (+20),1,26:00,7,11,.636,3,4,.750,2,2,1.000,0,2,2,6,1,0,1,0,19,18.9,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
21,21,1991-12-07,26-105,IND,,POR,L (-3),1,38:00,6,13,.462,2,6,.333,10,13,.769,1,2,3,1,0,0,2,2,24,15.3,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
22,22,1991-12-10,26-108,IND,,SAS,W (+7),1,40:00,5,15,.333,2,5,.400,13,13,1.000,0,6,6,1,1,0,1,3,25,17.8,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
23,23,1991-12-13,26-111,IND,,DAL,W (+16),1,33:00,9,13,.692,3,4,.750,9,9,1.000,0,2,2,4,0,0,1,2,30,26.1,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
24,24,1991-12-14,26-112,IND,,DEN,W (+21),1,36:00,10,14,.714,5,7,.714,12,14,.857,0,4,4,1,3,1,3,1,37,32.6,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
25,25,1991-12-17,26-115,IND,@,ATL,L (-4),1,40:00,9,17,.529,1,5,.200,9,10,.900,0,3,3,3,2,1,2,2,28,22.2,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
26,26,1991-12-18,26-116,IND,@,MIA,L (-6),1,43:00,8,13,.615,0,3,.000,8,8,1.000,1,2,3,3,2,0,6,3,24,16.3,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
27,27,1991-12-21,26-119,IND,,NJN,W (+9),1,49:00,6,15,.400,2,6,.333,9,10,.900,1,3,4,7,2,1,1,2,23,21.9,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
28,28,1991-12-26,26-124,IND,,PHI,L (-3),1,36:00,6,14,.429,2,7,.286,10,10,1.000,0,2,2,2,2,1,2,1,24,18.9,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
29,29,1991-12-28,26-126,IND,@,NYK,L (-9),1,45:00,5,18,.278,0,8,.000,8,9,.889,1,3,4,3,3,0,4,5,18,7.7,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
30,30,1991-12-30,26-128,IND,,CHI,L (-5),1,46:00,7,19,.368,0,4,.000,10,12,.833,4,6,10,4,3,1,3,3,24,19.6,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
31,31,1992-01-03,26-132,IND,@,LAL,W (+27),1,37:00,11,14,.786,0,2,.000,7,8,.875,0,3,3,4,0,1,2,0,29,25.6,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
32,32,1992-01-04,26-133,IND,@,GSW,L (-19),1,33:00,2,12,.167,1,4,.250,2,2,1.000,2,1,3,3,2,2,2,5,7,2.6,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
33,33,1992-01-06,26-135,IND,@,UTA,L (-16),1,40:00,7,14,.500,0,3,.000,6,7,.857,1,3,4,3,1,0,3,3,20,13.1,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
34,34,1992-01-08,26-137,IND,,LAC,L (-2),1,39:00,7,12,.583,1,3,.333,4,6,.667,0,3,3,4,0,0,0,0,19,16.3,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
35,35,1992-01-11,26-140,IND,,ATL,W (+23),1,33:00,11,16,.688,4,6,.667,4,4,1.000,1,1,2,5,2,0,1,1,30,28.3,1992,millere01,https://www.basketball-reference.com/players/m/millere01/gamelog/1992
