Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2011-12-26,25-163,DEN,@,DAL,W (+22),1,13:56,0,1,.000,0,0,,1,2,.500,0,3,3,0,0,0,0,1,1,0.4,+2,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
2,2,2011-12-28,25-165,DEN,,UTA,W (+17),1,17:39,2,4,.500,0,0,,0,0,,1,1,2,1,0,0,1,2,4,1.9,+5,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
3,3,2011-12-29,25-166,DEN,@,POR,L (-9),1,10:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-1.9,-7,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
4,4,2011-12-31,25-168,DEN,@,LAL,L (-3),1,26:05,4,7,.571,0,0,,0,0,,3,7,10,2,0,4,3,4,8,8.5,+3,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
5,5,2012-01-01,25-169,DEN,,LAL,W (+9),1,13:29,0,0,,0,0,,3,4,.750,0,3,3,0,0,0,0,5,3,1.5,-14,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
6,6,2012-01-02,25-170,DEN,,MIL,W (+5),1,14:44,2,9,.222,0,0,,0,0,,2,4,6,1,1,0,1,3,4,0.6,+1,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
7,7,2012-01-04,25-172,DEN,,SAC,W (+27),1,20:22,4,6,.667,0,0,,3,5,.600,0,3,3,3,0,1,3,3,11,7.1,+6,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
8,8,2012-01-06,25-174,DEN,@,NOH,W (+8),1,13:03,0,2,.000,0,0,,0,0,,1,4,5,0,0,1,0,1,0,0.8,-3,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
9,9,2012-01-07,25-175,DEN,@,SAS,L (-4),1,18:18,2,2,1.000,0,0,,0,0,,0,2,2,0,1,1,1,3,4,3.5,-10,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
10,10,2012-01-09,25-177,DEN,,NOH,L (-13),1,11:22,1,3,.333,0,0,,2,2,1.000,0,1,1,1,0,0,1,3,4,1.1,+2,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
11,11,2012-01-11,25-179,DEN,,NJN,W (+8),1,12:53,2,2,1.000,0,0,,1,2,.500,1,2,3,2,0,0,0,0,5,6.7,-3,2012,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01/gamelog/2012
