Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1969-10-18,27-214,SFW,,SDR,L (-1),,37:00,10,21,.476,2,4,.500,7,4,6,22,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
2,2,1969-10-22,27-218,SFW,@,ATL,W (+1),,40:00,11,21,.524,2,4,.500,5,3,1,24,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
3,3,1969-10-23,27-219,SFW,@,NYK,W (+3),,40:00,10,22,.455,7,8,.875,8,5,1,27,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
4,4,1969-10-25,27-221,SFW,,MIL,W (+14),,37:00,11,27,.407,8,11,.727,6,6,1,30,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
5,5,1969-10-29,27-225,SFW,,CHI,L (-14),,45:00,13,25,.520,3,3,1.000,7,3,4,29,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
6,6,1969-11-01,27-228,SFW,,CIN,W (+23),,40:00,12,24,.500,14,14,1.000,5,6,3,38,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
7,7,1969-11-04,27-231,SFW,@,BAL,L (-19),,35:00,10,19,.526,8,8,1.000,3,5,2,28,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
8,8,1969-11-06,27-233,SFW,@,CIN,W (+21),,23:00,12,21,.571,2,2,1.000,7,4,4,26,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
9,9,1969-11-07,27-234,SFW,@,BOS,W (+1),,41:00,11,23,.478,4,6,.667,4,1,2,26,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
10,10,1969-11-08,27-235,SFW,@,ATL,L (-13),,41:00,2,14,.143,6,9,.667,4,3,2,10,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
11,11,1969-11-10,27-237,SFW,,SDR,L (-1),,39:00,7,17,.412,11,12,.917,6,4,5,25,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
12,12,1969-11-11,27-238,SFW,,NYK,L (-13),,47:00,12,22,.545,6,7,.857,9,5,2,30,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
13,13,1969-11-14,27-241,SFW,,ATL,L (-11),,36:00,6,16,.375,3,4,.750,4,4,3,15,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
14,14,1969-11-15,27-242,SFW,@,CHI,L (-19),,43:00,9,18,.500,10,10,1.000,4,6,2,28,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
15,15,1969-11-16,27-243,SFW,@,MIL,L (-6),,49:00,9,24,.375,6,6,1.000,8,8,4,24,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
16,16,1969-11-18,27-245,SFW,,MIL,W (+17),,43:00,10,21,.476,5,5,1.000,7,5,2,25,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
17,17,1969-11-21,27-248,SFW,,BOS,W (+3),,40:00,7,15,.467,6,7,.857,2,4,6,20,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
18,18,1969-11-22,27-249,SFW,,LAL,L (-8),,38:00,11,22,.500,4,4,1.000,4,5,6,26,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
19,19,1969-11-25,27-252,SFW,@,SEA,W (+8),,48:00,10,27,.370,5,5,1.000,3,5,4,25,1970,mullije01,https://www.basketball-reference.com/players/m/mullije01/gamelog/1970
