Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1994-11-04,23-263,WSB,,ORL,W (+2),0,17:00,5,7,.714,0,0,,1,1,1.000,4,2,6,1,0,0,2,6,11,7.8,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
2,2,1994-11-05,23-264,WSB,@,CHI,W (+1),0,25:00,5,8,.625,0,0,,1,3,.333,5,3,8,0,0,2,0,3,11,11.2,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
3,3,1994-11-09,23-268,WSB,@,PHI,L (-1),0,19:00,3,4,.750,0,0,,4,4,1.000,1,3,4,0,0,1,2,4,10,7.1,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
4,4,1994-11-11,23-270,WSB,,NJN,W (+13),0,17:00,2,5,.400,0,0,,2,2,1.000,0,6,6,0,2,2,0,4,6,6.9,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
5,5,1994-11-12,23-271,WSB,@,MIA,W (+10),0,20:00,2,3,.667,0,0,,1,2,.500,0,2,2,0,0,1,4,5,5,-1.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
6,6,1994-11-15,23-274,WSB,@,ORL,L (-20),0,7:00,2,5,.400,0,0,,0,0,,1,1,2,0,1,1,0,4,4,2.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
7,7,1994-12-12,23-301,WSB,@,SAS,L (-21),0,5:00,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,2,0,2,0.0,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
8,8,1994-12-13,23-302,WSB,@,HOU,L (-8),0,17:00,2,6,.333,0,0,,1,1,1.000,2,5,7,0,0,3,1,3,5,4.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
9,9,1994-12-15,23-304,WSB,,UTA,L (-10),0,11:00,2,3,.667,0,0,,0,0,,1,3,4,0,0,0,0,4,4,2.7,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
10,10,1994-12-17,23-306,WSB,,MIN,L (-9),0,17:00,3,7,.429,0,0,,0,0,,3,3,6,0,0,1,1,4,6,3.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
11,11,1994-12-19,23-308,WSB,@,PHO,L (-11),1,12:00,3,4,.750,0,0,,0,0,,0,4,4,2,0,1,0,4,6,6.1,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
12,12,1994-12-20,23-309,WSB,@,SAC,L (-3),0,6:00,3,4,.750,0,0,,0,0,,0,2,2,0,0,0,0,3,6,3.8,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
13,13,1994-12-22,23-311,WSB,@,GSW,L (-20),0,19:00,2,6,.333,0,0,,3,4,.750,2,5,7,0,0,1,0,3,7,5.6,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
14,14,1994-12-23,23-312,WSB,@,LAC,W (+3),0,22:00,6,11,.545,0,0,,0,0,,3,7,10,0,0,3,3,2,12,9.2,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
15,15,1994-12-26,23-315,WSB,,ORL,L (-7),1,27:00,8,14,.571,0,0,,0,0,,4,7,11,0,0,2,6,5,16,7.7,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
16,16,1994-12-28,23-317,WSB,@,CLE,L (-16),0,23:00,2,5,.400,0,0,,0,2,.000,3,6,9,0,0,3,2,1,4,4.1,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
17,17,1994-12-30,23-319,WSB,,SAS,L (-14),1,22:00,3,7,.429,0,0,,4,6,.667,5,1,6,0,1,2,2,3,10,8.5,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
18,18,1995-01-03,23-323,WSB,,SEA,L (-14),1,16:00,1,4,.250,0,0,,0,0,,2,0,2,1,0,0,3,3,2,-2.5,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
19,19,1995-01-04,23-324,WSB,@,IND,L (-4),1,23:00,4,11,.364,0,0,,0,0,,1,5,6,0,0,2,2,5,8,1.5,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
20,20,1995-01-06,23-326,WSB,@,ATL,L (-22),1,24:00,2,6,.333,0,0,,1,2,.500,2,4,6,1,0,2,1,3,5,3.7,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
21,21,1995-01-07,23-327,WSB,,POR,L (-9),1,31:00,5,12,.417,0,0,,2,3,.667,8,6,14,0,0,2,1,2,12,12.2,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
22,22,1995-01-09,23-329,WSB,@,BOS,L (-13),1,29:00,8,9,.889,0,0,,3,3,1.000,3,4,7,1,2,5,1,5,19,22.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
23,23,1995-01-10,23-330,WSB,,ATL,L (-3),1,34:00,7,13,.538,0,0,,5,6,.833,7,5,12,0,0,2,1,2,19,18.3,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
24,24,1995-01-13,23-333,WSB,,IND,L (-14),1,28:00,4,8,.500,0,0,,0,0,,1,4,5,0,1,3,1,5,8,6.0,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
25,25,1995-01-16,23-336,WSB,,CHI,W (+8),1,34:00,3,7,.429,0,0,,1,2,.500,0,8,8,0,1,1,2,5,7,3.0,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
26,26,1995-01-19,23-339,WSB,@,MIL,L (-5),1,15:00,3,5,.600,0,0,,0,0,,3,2,5,2,0,3,0,2,6,9.1,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
27,27,1995-01-20,23-340,WSB,,PHI,W (+4),1,30:00,2,9,.222,0,0,,0,0,,4,5,9,0,2,4,1,3,4,5.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
28,28,1995-01-22,23-342,WSB,@,NJN,W (+6),1,21:00,3,3,1.000,0,0,,0,0,,0,3,3,1,1,2,0,5,6,7.1,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
29,29,1995-01-26,23-346,WSB,,GSW,L (-3),1,12:00,2,3,.667,0,0,,0,0,,0,1,1,0,1,0,1,4,4,1.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
30,30,1995-01-28,23-348,WSB,,LAC,W (+6),1,7:00,1,3,.333,0,0,,2,2,1.000,0,2,2,0,0,0,0,1,4,2.5,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
31,31,1995-01-31,23-351,WSB,,CHH,L (-9),1,30:00,1,5,.200,0,0,,0,0,,3,9,12,0,3,1,3,3,2,3.2,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
32,32,1995-02-01,23-352,WSB,@,PHI,L (-9),1,36:00,6,11,.545,0,0,,3,5,.600,3,8,11,0,0,3,1,5,15,12.5,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
33,33,1995-02-03,23-354,WSB,,MIA,L (-10),1,5:00,1,2,.500,0,0,,2,2,1.000,2,0,2,0,0,0,1,0,4,3.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
34,34,1995-02-05,23-356,WSB,@,CHH,L (-6),1,20:00,6,9,.667,0,0,,1,3,.333,0,4,4,1,0,1,2,5,13,6.9,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
35,35,1995-02-07,23-358,WSB,@,DET,L (-4),1,17:00,4,5,.800,0,0,,1,2,.500,1,5,6,0,0,0,0,2,9,8.1,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
36,36,1995-02-08,23-359,WSB,@,MIA,L (-4),1,13:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,4,2,-1.6,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
37,37,1995-02-14,24-000,WSB,@,MIN,W (+3),1,25:00,3,9,.333,0,0,,4,5,.800,4,6,10,2,1,4,1,5,10,11.3,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
38,38,1995-02-15,24-001,WSB,@,CHI,L (-15),1,16:00,3,5,.600,0,0,,0,0,,1,2,3,0,0,1,2,2,6,2.9,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
39,39,1995-02-17,24-003,WSB,,HOU,L (-17),1,19:00,5,7,.714,0,0,,0,1,.000,1,1,2,0,0,0,1,1,10,6.3,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
40,40,1995-02-19,24-005,WSB,,DEN,L (-2),1,28:00,7,9,.778,0,0,,0,0,,3,4,7,0,0,0,3,4,14,9.2,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
41,41,1995-02-21,24-007,WSB,,DAL,L (-5),0,22:00,5,9,.556,0,0,,0,0,,2,3,5,3,0,1,1,1,10,9.4,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
42,42,1995-02-22,24-008,WSB,@,MIL,L (-8),1,10:00,0,1,.000,0,0,,2,2,1.000,0,1,1,1,0,1,0,1,2,2.6,1995,muresgh01,https://www.basketball-reference.com/players/m/muresgh01/gamelog/1995
