Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2004-11-03,29-140,LAC,,SEA,W (+30),0,2:07,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-1,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
2,,2004-11-05,29-142,LAC,@,POR,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
3,,2004-11-06,29-143,LAC,@,GSW,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
4,,2004-11-08,29-145,LAC,,DET,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
5,2,2004-11-10,29-147,LAC,@,IND,W (+34),0,6:21,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,0,2,2.4,+1,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
6,,2004-11-12,29-149,LAC,@,NYK,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
7,,2004-11-13,29-150,LAC,@,CHI,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
8,3,2004-11-16,29-153,LAC,,TOR,W (+12),0,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
9,,2004-11-17,29-154,LAC,@,LAL,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
10,,2004-11-20,29-157,LAC,,HOU,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
11,,2004-11-21,29-158,LAC,,PHO,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
12,,2004-11-25,29-162,LAC,,NJN,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
13,,2004-11-26,29-163,LAC,@,GSW,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
14,,2004-11-28,29-165,LAC,,GSW,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
15,,2004-11-29,29-166,LAC,,CLE,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
16,,2005-01-05,29-203,LAC,,POR,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
17,,2005-01-08,29-206,LAC,,PHO,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
18,,2005-01-11,29-209,LAC,@,SEA,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
19,,2005-01-12,29-210,LAC,,SEA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
20,4,2005-01-14,29-212,LAC,,MIA,W (+2),0,8:53,0,1,.000,0,0,,0,0,,0,1,1,0,0,2,0,3,0,-0.2,-3,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
21,,2005-01-15,29-213,LAC,@,SAC,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
22,,2005-01-17,29-215,LAC,,SAC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
23,,2005-01-19,29-217,LAC,@,SAS,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2005,ndiayma02,https://www.basketball-reference.com/players/n/ndiayma02/gamelog/2005
