Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1953-10-31,23-163,SYR,@,PHW,L (-6),,28:00,4,13,.308,0,0,,7,0,4,8,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
2,2,1953-11-01,23-164,SYR,,PHW,W (+24),,14:00,3,3,1.000,1,2,.500,3,2,3,7,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
3,3,1953-11-05,23-168,SYR,,MNL,L (-12),,5:00,0,3,.000,0,0,,3,0,3,0,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
4,4,1953-11-07,23-170,SYR,,BLB,W (+11),,18:00,3,6,.500,1,1,1.000,4,0,4,7,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
5,5,1953-11-08,23-171,SYR,,ROC,W (+19),,24:00,3,13,.231,3,3,1.000,4,1,2,9,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
6,6,1953-11-10,23-173,SYR,@,MLH,W (+15),,15:00,1,2,.500,0,1,.000,0,1,0,2,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
7,7,1953-11-12,23-175,SYR,@,FTW,L (-4),,23:00,3,9,.333,2,2,1.000,3,0,4,8,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
8,8,1953-11-14,23-177,SYR,@,BOS,L (-11),,7:00,0,1,.000,0,0,,1,0,2,0,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
9,9,1953-11-15,23-178,SYR,,MLH,W (+8),,14:00,2,4,.500,1,1,1.000,2,0,4,5,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
10,10,1953-11-19,23-182,SYR,,FTW,W (+3),,21:00,4,10,.400,1,2,.500,9,0,1,9,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
11,11,1953-11-21,23-184,SYR,@,NYK,L (-1),,,4,14,.286,1,1,1.000,15,0,5,9,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
12,12,1953-11-22,23-185,SYR,,NYK,L (-4),,45:00,6,14,.429,5,7,.714,14,0,5,17,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
13,13,1953-11-24,23-187,SYR,@,ROC,W (+9),,,1,5,.200,1,3,.333,3,1,3,3,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
14,14,1953-11-25,23-188,SYR,,BLB,L (-8),,14:00,1,6,.167,2,3,.667,5,0,2,4,1954,nealji01,https://www.basketball-reference.com/players/n/nealji01/gamelog/1954
