Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2013-10-30,22-136,GSW,,LAL,W (+31),0,7:36,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
2,2,2013-10-31,22-137,GSW,@,LAC,L (-11),0,0:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
3,3,2013-11-02,22-139,GSW,,SAC,W (+11),0,3:33,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-1.4,-8,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
4,4,2013-11-04,22-141,GSW,@,PHI,W (+20),0,11:40,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,2,0,2,-1.4,-14,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
5,5,2013-11-06,22-143,GSW,@,MIN,W (+13),0,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
6,,2013-11-08,22-145,GSW,@,SAS,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
7,6,2013-11-09,22-146,GSW,@,MEM,L (-18),0,4:51,0,1,.000,0,1,.000,1,2,.500,1,0,1,1,0,0,0,0,1,1.3,+4,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
8,7,2013-11-12,22-149,GSW,,DET,W (+18),0,6:17,1,2,.500,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,0,4,2.0,0,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
9,,2013-11-14,22-151,GSW,,OKC,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
10,8,2013-11-16,22-153,GSW,,UTA,W (+14),0,2:59,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,-4,2014,nedovne01,https://www.basketball-reference.com/players/n/nedovne01/gamelog/2014
