Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1965-10-31,25-169,BOS,,BAL,W (+5),,5:00,1,2,.500,0,0,,1,0,0,2,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
2,2,1965-11-05,25-174,BOS,@,BAL,W (+11),,,4,,,2,2,1.000,,,,10,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
3,3,1965-11-06,25-175,BOS,,PHI,W (+10),,17:00,3,6,.500,2,6,.333,8,1,5,8,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
4,4,1965-11-09,25-178,BOS,,BAL,W (+14),,24:00,2,7,.286,6,8,.750,8,0,0,10,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
5,5,1965-11-11,25-180,BOS,,STL,W (+4),,28:00,2,5,.400,5,6,.833,5,0,3,9,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
6,6,1965-11-12,25-181,BOS,@,PHI,L (-9),,,3,8,.375,4,4,1.000,7,1,4,10,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
7,7,1965-11-13,25-182,BOS,,DET,W (+29),,26:00,7,10,.700,6,7,.857,5,0,2,20,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
8,8,1965-11-16,25-185,BOS,@,SFW,W (+3),,25:00,3,11,.273,0,0,,4,2,3,6,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
9,9,1965-11-17,25-186,BOS,@,LAL,L (-10),,,5,7,.714,6,6,1.000,14,3,5,16,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
10,10,1965-11-19,25-188,BOS,,CIN,W (+26),,31:00,8,12,.667,2,5,.400,8,2,3,18,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
11,11,1965-11-20,25-189,BOS,@,NYK,W (+14),,25:00,4,7,.571,2,4,.500,2,2,2,10,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
12,12,1965-11-24,25-193,BOS,,NYK,W (+15),,23:00,3,8,.375,2,2,1.000,4,1,0,8,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
13,13,1965-11-26,25-195,BOS,,DET,W (+20),,15:00,1,5,.200,2,6,.333,3,1,2,4,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
14,14,1965-11-27,25-196,BOS,,LAL,W (+6),,17:00,5,8,.625,0,1,.000,5,1,1,10,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
15,15,1965-12-03,25-202,BOS,,PHI,L (-16),,19:00,2,7,.286,4,6,.667,6,1,3,8,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
16,16,1965-12-04,25-203,BOS,@,STL,W (+6),,31:00,2,9,.222,3,5,.600,9,1,0,7,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
17,17,1965-12-05,25-204,BOS,@,CIN,L (-9),,23:00,2,7,.286,2,2,1.000,3,1,1,6,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
18,18,1965-12-07,25-206,BOS,,STL,W (+16),,34:00,2,8,.250,4,6,.667,9,2,2,8,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
19,19,1965-12-08,25-207,BOS,,LAL,W (+2),,30:00,5,12,.417,4,4,1.000,15,1,5,14,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
20,20,1965-12-11,25-210,BOS,,SFW,W (+37),,28:00,5,13,.385,3,3,1.000,9,4,3,13,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
21,21,1965-12-15,25-214,BOS,,CIN,L (-7),,13:00,0,0,,1,2,.500,5,1,3,1,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
22,22,1965-12-17,25-216,BOS,@,DET,W (+2),,,5,,,4,6,.667,,,,14,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
23,23,1965-12-22,25-221,BOS,,NYK,W (+3),,13:00,2,3,.667,1,5,.200,2,0,3,5,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
24,24,1965-12-25,25-224,BOS,@,BAL,W (+14),,,5,,,11,16,.688,,,,21,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
25,25,1965-12-26,25-225,BOS,,BAL,W (+21),,27:00,5,16,.313,6,7,.857,6,0,0,16,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
26,26,1965-12-28,25-227,BOS,@,PHI,L (-9),,14:00,4,9,.444,1,4,.250,5,1,2,9,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
27,27,1965-12-29,25-228,BOS,@,NYK,W (+3),,20:00,1,5,.200,1,1,1.000,1,0,5,3,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
28,28,1965-12-30,25-229,BOS,,SFW,W (+3),,30:00,8,16,.500,9,11,.818,4,0,3,25,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
29,29,1966-01-01,25-231,BOS,@,STL,L (-2),,32:00,4,11,.364,5,7,.714,6,1,5,13,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
30,30,1966-01-02,25-232,BOS,@,LAL,W (+11),,,3,7,.429,1,2,.500,8,4,2,7,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
31,31,1966-01-05,25-235,BOS,@,LAL,L (-7),,,3,5,.600,1,1,1.000,5,2,3,7,1966,nelsodo01,https://www.basketball-reference.com/players/n/nelsodo01/gamelog/1966
