Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2008-10-29,32-152,IND,@,DET,L (-6),1,24:19,4,7,.571,0,0,,0,0,,1,4,5,3,1,1,2,1,8,8.0,-1,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
2,2,2008-11-01,32-155,IND,,BOS,W (+16),1,20:13,4,7,.571,0,0,,0,0,,2,2,4,2,0,2,1,2,8,7.7,+10,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
3,,2008-11-05,32-159,IND,,PHO,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
4,,2008-11-07,32-161,IND,@,CLE,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
5,,2008-11-08,32-162,IND,,NJN,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
6,,2008-11-10,32-164,IND,,OKC,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
7,3,2008-11-12,32-166,IND,@,NJN,W (+11),1,25:17,5,9,.556,0,0,,0,0,,0,2,2,2,1,0,0,0,10,8.7,+14,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
8,4,2008-11-14,32-168,IND,,PHI,L (-2),1,27:15,5,6,.833,0,0,,0,0,,3,3,6,3,0,1,1,4,10,11.0,+19,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
9,5,2008-11-15,32-169,IND,@,CHI,L (-13),1,33:46,6,13,.462,0,0,,0,0,,5,7,12,2,0,2,2,2,12,10.9,+2,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
10,6,2008-11-18,32-172,IND,,ATL,W (+17),1,35:52,10,19,.526,0,0,,1,1,1.000,2,5,7,5,2,3,1,1,21,20.8,+19,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
11,7,2008-11-21,32-175,IND,,ORL,L (-2),1,30:58,3,14,.214,0,0,,0,0,,3,6,9,8,1,1,0,5,6,6.6,0,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
12,8,2008-11-22,32-176,IND,@,MIA,L (-9),1,37:55,5,10,.500,0,1,.000,3,4,.750,3,4,7,2,0,1,4,2,13,8.2,-9,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
13,9,2008-11-25,32-179,IND,@,DAL,L (-3),1,31:25,3,8,.375,0,0,,2,2,1.000,5,2,7,4,0,1,1,2,8,9.4,-14,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
14,10,2008-11-26,32-180,IND,@,HOU,W (+1),1,21:18,4,10,.400,0,0,,0,0,,1,2,3,3,1,0,2,4,8,3.4,-12,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
15,11,2008-11-28,32-182,IND,,CHA,L (-7),1,14:59,0,2,.000,0,0,,0,0,,0,3,3,4,0,0,0,2,0,1.5,+4,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
16,12,2008-11-29,32-183,IND,@,ORL,L (-14),1,14:49,3,6,.500,0,0,,1,2,.500,2,0,2,1,0,1,0,4,7,4.8,-14,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
17,13,2008-12-02,32-186,IND,,LAL,W (+1),1,28:57,8,13,.615,0,0,,0,0,,6,4,10,4,1,0,0,4,16,17.7,+2,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
18,14,2008-12-03,32-187,IND,@,BOS,L (-18),1,14:51,4,5,.800,0,0,,0,0,,1,1,2,1,1,0,1,4,8,6.2,-8,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
19,15,2008-12-05,32-189,IND,@,CLE,L (-24),1,18:06,4,9,.444,0,0,,0,0,,2,1,3,2,0,0,2,0,8,4.4,-12,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
20,16,2008-12-07,32-191,IND,,BOS,L (-5),1,26:04,6,9,.667,0,0,,2,3,.667,0,4,4,3,0,1,2,6,14,9.3,-2,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
21,17,2008-12-10,32-194,IND,@,TOR,L (-13),1,16:00,0,4,.000,0,0,,0,0,,2,1,3,3,1,0,3,4,0,-2.6,-11,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
22,18,2008-12-12,32-196,IND,@,DET,L (-4),1,26:15,8,12,.667,0,0,,0,0,,1,2,3,2,1,2,6,3,16,8.7,-6,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
23,19,2008-12-13,32-197,IND,@,MIL,L (-18),0,11:36,0,4,.000,0,0,,0,0,,2,1,3,2,0,0,1,3,0,-1.9,-13,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
24,20,2008-12-15,32-199,IND,@,WAS,W (+20),0,17:10,6,6,1.000,0,0,,0,0,,1,1,2,0,0,1,1,4,12,9.3,+5,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
25,21,2008-12-17,32-201,IND,,GSW,W (+7),0,19:27,6,9,.667,0,0,,0,0,,3,1,4,0,1,0,1,2,12,9.7,+3,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
26,22,2008-12-19,32-203,IND,,LAC,L (-8),0,35:04,7,14,.500,0,0,,2,2,1.000,2,6,8,1,1,1,1,3,16,12.4,-7,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
27,23,2008-12-20,32-204,IND,@,PHI,W (+1),0,12:59,2,4,.500,0,0,,0,0,,2,0,2,1,0,0,1,5,4,1.1,0,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
28,24,2008-12-23,32-207,IND,,NJN,L (-1),0,21:26,6,9,.667,0,0,,1,1,1.000,0,1,1,1,0,3,0,2,13,11.4,0,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
29,25,2008-12-26,32-210,IND,@,MEM,L (-3),0,27:59,6,9,.667,0,0,,2,2,1.000,4,5,9,1,0,1,2,5,14,11.8,-7,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
30,26,2008-12-28,32-212,IND,,NOH,L (-2),0,18:34,2,5,.400,0,0,,0,0,,1,2,3,2,0,0,1,1,4,2.6,-3,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
31,27,2008-12-30,32-214,IND,,ATL,L (-6),0,10:42,4,7,.571,0,0,,0,0,,0,0,0,0,0,0,0,2,8,3.9,-2,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
32,,2009-01-02,32-217,IND,@,NYK,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
33,28,2009-01-03,32-218,IND,,SAC,W (+5),0,6:32,4,5,.800,0,0,,0,0,,0,1,1,0,0,0,0,0,8,6.4,-1,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
34,29,2009-01-05,32-220,IND,@,DEN,L (-20),0,15:44,1,7,.143,0,0,,0,0,,0,3,3,4,2,0,1,3,2,1.0,-15,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
35,30,2009-01-07,32-222,IND,@,PHO,W (+3),0,16:50,5,6,.833,0,0,,0,0,,0,5,5,3,1,0,1,1,10,11.0,+2,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
36,31,2009-01-09,32-224,IND,@,LAL,L (-2),0,18:52,3,8,.375,0,0,,2,2,1.000,2,0,2,4,2,0,3,2,8,6.0,+9,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
37,32,2009-01-11,32-226,IND,@,GSW,L (-3),0,6:48,3,3,1.000,0,0,,0,0,,0,0,0,2,1,0,1,4,6,4.9,+3,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
38,33,2009-01-12,32-227,IND,@,UTA,L (-7),0,20:10,6,11,.545,0,0,,0,0,,1,1,2,4,0,2,1,3,12,9.7,-2,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
39,34,2009-01-14,32-229,IND,,DET,W (+4),0,20:22,4,9,.444,0,0,,0,0,,2,3,5,1,1,0,0,2,8,6.5,+2,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
40,35,2009-01-16,32-231,IND,,TOR,W (+7),0,15:22,0,3,.000,0,0,,0,0,,1,2,3,4,0,1,0,1,0,2.3,+7,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
41,36,2009-01-19,32-234,IND,@,NOH,L (-3),0,11:30,2,4,.500,0,0,,2,2,1.000,1,2,3,0,1,0,1,3,6,4.1,-7,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
42,37,2009-01-20,32-235,IND,@,SAS,L (-18),0,14:58,3,7,.429,0,0,,0,0,,0,3,3,4,0,0,0,3,6,4.8,-12,2009,nestera01,https://www.basketball-reference.com/players/n/nestera01/gamelog/2009
