Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2020-12-23,19-349,DEN,,SAC,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
2,,2020-12-25,19-351,DEN,,LAC,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
3,1,2020-12-28,19-354,DEN,,HOU,W (+13),0,3:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-12,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
4,2,2020-12-29,19-355,DEN,@,SAC,L (-10),0,0:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
5,,2021-01-01,19-358,DEN,,PHO,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
6,3,2021-01-03,19-360,DEN,@,MIN,W (+15),0,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
7,,2021-01-05,19-362,DEN,,MIN,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
8,,2021-01-07,19-364,DEN,,DAL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
9,4,2021-01-09,20-000,DEN,@,PHI,W (+12),0,2:06,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,1.0,-8,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
10,5,2021-01-10,20-001,DEN,@,NYK,W (+25),0,3:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
11,,2021-01-12,20-003,DEN,@,BRK,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
12,,2021-01-14,20-005,DEN,,GSW,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
13,,2021-01-17,20-008,DEN,,UTA,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
14,6,2021-01-19,20-010,DEN,,OKC,W (+18),0,5:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-11,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
15,,2021-01-22,20-013,DEN,@,PHO,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
16,,2021-01-23,20-014,DEN,@,PHO,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
17,,2021-01-25,20-016,DEN,@,DAL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
18,7,2021-01-27,20-018,DEN,@,MIA,W (+27),0,2:27,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,0,4,3.3,+4,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
19,8,2021-01-29,20-020,DEN,@,SAS,L (-10),0,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
20,9,2021-01-31,20-022,DEN,,UTA,W (+11),0,1:39,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-7,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
21,10,2021-02-04,20-026,DEN,@,LAL,L (-21),0,2:53,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,1,0,0,3,2.7,-4,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
22,,2021-02-06,20-028,DEN,@,SAC,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
23,,2021-02-08,20-030,DEN,,MIL,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
24,11,2021-02-10,20-032,DEN,,CLE,W (+38),0,18:46,5,7,.714,4,6,.667,0,0,,1,0,1,0,0,0,0,1,14,11.4,+10,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
25,12,2021-02-12,20-034,DEN,,OKC,W (+2),0,6:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-10,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
26,13,2021-02-14,20-036,DEN,,LAL,W (+17),0,23:50,5,7,.714,4,5,.800,2,4,.500,1,2,3,0,1,0,0,1,16,14.2,+9,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
27,14,2021-02-16,20-038,DEN,@,BOS,L (-13),0,26:28,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,1,2,0.5,-18,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
28,15,2021-02-17,20-039,DEN,@,WAS,L (-2),0,13:29,1,4,.250,1,3,.333,0,0,,1,1,2,0,0,0,0,1,3,1.2,-8,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
29,16,2021-02-19,20-041,DEN,@,CLE,W (+17),0,6:27,0,2,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,0,0,0.3,+2,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
30,17,2021-02-21,20-043,DEN,@,ATL,L (-8),1,29:55,3,5,.600,1,3,.333,0,0,,0,3,3,1,0,0,2,0,7,4.3,-6,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
31,18,2021-02-23,20-045,DEN,,POR,W (+5),0,23:35,4,8,.500,2,6,.333,0,0,,1,2,3,0,1,0,0,2,10,7.5,+10,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
32,19,2021-02-25,20-047,DEN,,WAS,L (-2),0,14:33,2,2,1.000,1,1,1.000,2,2,1.000,1,0,1,0,0,0,2,2,7,4.3,+6,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
33,20,2021-02-27,20-049,DEN,@,OKC,W (+30),0,15:29,1,3,.333,0,0,,1,1,1.000,0,5,5,0,0,0,0,3,3,1.6,+6,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
34,21,2021-03-01,20-051,DEN,@,CHI,W (+6),0,13:27,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0.9,-5,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
35,22,2021-03-02,20-052,DEN,@,MIL,W (+31),0,15:40,3,4,.750,0,1,.000,0,0,,2,2,4,0,1,0,1,0,6,6.4,+8,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
36,23,2021-03-04,20-054,DEN,@,IND,W (+10),0,16:30,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,1,0,1,3,2.6,+16,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
37,,2021-03-12,20-062,DEN,@,MEM,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
38,24,2021-03-13,20-063,DEN,,DAL,L (-13),0,4:43,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,0,0,2.0,-1,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
39,25,2021-03-15,20-065,DEN,,IND,W (+15),0,1:29,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
40,26,2021-03-17,20-067,DEN,,CHO,W (+25),0,19:23,2,5,.400,0,1,.000,0,0,,0,2,2,0,0,1,1,2,4,0.8,-2,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
41,27,2021-03-19,20-069,DEN,,CHI,W (+4),0,10:59,3,3,1.000,2,2,1.000,0,0,,0,0,0,1,1,0,0,2,8,8.0,0,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
42,,2021-03-21,20-071,DEN,,NOP,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
43,28,2021-03-23,20-073,DEN,@,ORL,W (+11),0,11:45,3,4,.750,0,1,.000,0,0,,1,4,5,0,0,0,0,2,6,5.5,0,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
44,29,2021-03-24,20-074,DEN,@,TOR,L (-24),0,19:01,1,6,.167,0,4,.000,5,6,.833,1,6,7,0,0,0,1,0,7,4.3,-14,2021,nnajize01,https://www.basketball-reference.com/players/n/nnajize01/gamelog/2021
