Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2011-12-25,26-303,CHI,@,LAL,W (+1),1,28:27,3,12,.250,0,0,,0,0,,5,4,9,2,3,0,2,5,6,3.9,+4,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
2,2,2011-12-26,26-304,CHI,@,GSW,L (-8),1,25:39,3,7,.429,0,0,,1,2,.500,3,7,10,0,1,0,2,1,7,5.7,-6,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
3,3,2011-12-29,26-307,CHI,@,SAC,W (+10),1,24:01,3,5,.600,0,0,,3,4,.750,1,3,4,2,0,2,2,5,9,6.7,+15,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
4,4,2011-12-30,26-308,CHI,@,LAC,W (+13),1,34:44,5,7,.714,0,0,,9,10,.900,5,3,8,4,1,1,1,5,19,21.6,+4,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
5,5,2012-01-01,26-310,CHI,,MEM,W (+40),1,22:03,3,6,.500,0,0,,2,4,.500,4,3,7,3,0,2,1,0,8,10.4,+35,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
6,6,2012-01-03,26-312,CHI,,ATL,W (+2),1,16:15,0,4,.000,0,0,,2,2,1.000,1,3,4,1,1,0,1,4,2,-0.1,-8,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
7,7,2012-01-04,26-313,CHI,@,DET,W (+16),1,34:56,5,9,.556,0,0,,3,4,.750,2,9,11,4,0,2,5,1,13,11.2,+18,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
8,8,2012-01-06,26-315,CHI,@,ORL,W (+14),1,32:43,2,9,.222,0,0,,0,0,,4,6,10,3,2,0,1,2,4,5.4,+6,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
9,9,2012-01-07,26-316,CHI,@,ATL,L (-15),1,17:21,0,4,.000,0,0,,1,2,.500,1,3,4,0,0,1,2,1,1,-2.3,-29,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
10,10,2012-01-09,26-318,CHI,,DET,W (+24),1,25:19,0,0,,0,0,,4,4,1.000,3,5,8,0,0,2,2,3,4,5.8,+13,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
11,11,2012-01-10,26-319,CHI,@,MIN,W (+11),1,29:17,3,5,.600,0,0,,2,2,1.000,4,7,11,1,0,1,4,3,8,6.8,-3,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
12,12,2012-01-11,26-320,CHI,,WAS,W (+14),1,18:58,2,5,.400,0,0,,0,0,,3,1,4,2,0,1,2,2,4,3.0,-4,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
13,13,2012-01-13,26-322,CHI,@,BOS,W (+9),1,38:41,4,11,.364,0,0,,2,4,.500,6,7,13,1,0,4,0,0,10,12.9,+13,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
14,14,2012-01-14,26-323,CHI,,TOR,W (+13),1,25:43,2,5,.400,0,0,,0,0,,2,10,12,1,0,1,0,0,4,7.1,+7,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
15,15,2012-01-16,26-325,CHI,@,MEM,L (-16),1,22:29,1,4,.250,0,0,,0,0,,1,4,5,0,0,1,3,2,2,-1.6,-15,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
16,16,2012-01-17,26-326,CHI,,PHO,W (+21),1,28:23,6,10,.600,0,1,.000,1,2,.500,6,6,12,3,1,0,1,3,13,14.9,+24,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
17,17,2012-01-20,26-329,CHI,@,CLE,W (+39),1,31:46,4,7,.571,0,0,,0,0,,4,6,10,0,1,2,1,1,8,10.3,+19,2012,noahjo01,https://www.basketball-reference.com/players/n/noahjo01/gamelog/2012
