Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2016-10-26,22-199,PHI,,OKC,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
2,,2016-10-29,22-202,PHI,,ATL,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
3,,2016-11-01,22-205,PHI,,ORL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
4,,2016-11-02,22-206,PHI,@,CHO,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
5,,2016-11-05,22-209,PHI,,CLE,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
6,,2016-11-07,22-211,PHI,,UTA,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
7,,2016-11-09,22-213,PHI,@,IND,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
8,,2016-11-11,22-215,PHI,,IND,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
9,,2016-11-12,22-216,PHI,@,ATL,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
10,,2016-11-14,22-218,PHI,@,HOU,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
11,,2016-11-16,22-220,PHI,,WAS,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
12,,2016-11-17,22-221,PHI,@,MIN,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
13,,2016-11-19,22-223,PHI,,PHO,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
14,,2016-11-21,22-225,PHI,,MIA,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
15,,2016-11-23,22-227,PHI,,MEM,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
16,,2016-11-25,22-229,PHI,,CHI,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
17,,2016-11-27,22-231,PHI,,CLE,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
18,,2016-11-28,22-232,PHI,@,TOR,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
19,,2016-12-02,22-236,PHI,,ORL,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
20,,2016-12-03,22-237,PHI,,BOS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
21,,2016-12-05,22-239,PHI,,DEN,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
22,,2016-12-06,22-240,PHI,@,MEM,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
23,,2016-12-08,22-242,PHI,@,NOP,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
24,1,2016-12-11,22-245,PHI,@,DET,W (+18),0,10:23,3,5,.600,0,0,,2,2,1.000,0,0,0,0,1,0,0,1,8,6.3,+11,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
25,,2016-12-14,22-248,PHI,,TOR,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
26,2,2016-12-16,22-250,PHI,,LAL,L (-11),0,8:02,1,4,.250,0,0,,0,0,,2,3,5,0,0,1,0,0,2,2.6,-5,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
27,,2016-12-18,22-252,PHI,,BRK,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
28,3,2016-12-20,22-254,PHI,,NOP,L (-15),0,6:49,2,2,1.000,0,0,,0,0,,2,1,3,0,0,0,0,0,4,5.1,-1,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
29,4,2016-12-23,22-257,PHI,@,PHO,L (-7),0,10:11,1,1,1.000,0,0,,2,4,.500,0,1,1,1,3,1,1,2,4,5.8,-1,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
30,5,2016-12-26,22-260,PHI,@,SAC,L (-2),0,3:21,1,2,.500,0,0,,1,1,1.000,0,1,1,0,0,1,0,0,3,3.0,-4,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
31,6,2016-12-29,22-263,PHI,@,UTA,L (-17),0,22:18,6,10,.600,0,0,,2,2,1.000,2,3,5,0,1,0,0,2,14,11.9,-8,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
32,7,2016-12-30,22-264,PHI,@,DEN,W (+2),0,19:27,4,7,.571,0,0,,1,4,.250,1,1,2,0,0,1,0,3,9,5.0,-5,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
33,8,2017-01-03,22-268,PHI,,MIN,W (+2),0,11:16,4,5,.800,0,0,,0,0,,1,0,1,0,1,0,0,1,8,7.4,+1,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
34,9,2017-01-06,22-271,PHI,@,BOS,L (-4),0,24:47,6,8,.750,0,0,,1,2,.500,2,6,8,2,2,3,0,5,13,16.1,-2,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
35,10,2017-01-08,22-273,PHI,@,BRK,W (+10),0,24:01,3,8,.375,0,0,,2,2,1.000,2,2,4,0,3,0,0,1,8,8.2,0,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
36,11,2017-01-11,22-276,PHI,,NYK,W (+1),0,21:06,5,8,.625,0,0,,3,4,.750,4,4,8,1,2,0,2,1,13,13.3,-8,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
37,12,2017-01-13,22-278,PHI,,CHO,W (+9),0,19:57,3,3,1.000,0,0,,0,0,,1,1,2,1,1,4,2,2,6,7.8,-14,2017,noelne01,https://www.basketball-reference.com/players/n/noelne01/gamelog/2017
