Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1972-10-11,25-064,DET,,BOS,L (-13),,15:00,0,6,.000,1,2,.500,3,1,3,1,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
2,2,1972-10-13,25-066,DET,,CHI,W (+9),0,30:00,5,9,.556,8,12,.667,8,0,5,18,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
3,3,1972-10-14,25-067,DET,@,KCO,L (-12),,,1,3,.333,0,0,,5,1,3,2,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
4,4,1972-10-20,25-073,DET,@,MIL,L (-23),0,18:00,3,10,.300,2,2,1.000,4,1,3,8,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
5,5,1972-10-21,25-074,DET,,CLE,W (+7),0,29:00,5,9,.556,3,5,.600,13,3,5,13,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
6,6,1972-10-25,25-078,DET,,BAL,L (-10),,21:00,5,8,.625,1,1,1.000,4,0,4,11,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
7,7,1972-10-27,25-080,DET,@,HOU,L (-12),,,2,2,1.000,0,0,,2,,1,4,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
8,8,1972-10-29,25-082,DET,@,POR,W (+8),0,13:00,2,5,.400,3,4,.750,2,2,5,7,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
9,9,1972-10-31,25-084,DET,@,GSW,L (-8),0,11:00,3,5,.600,4,4,1.000,3,0,3,10,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
10,10,1972-11-01,25-085,DET,@,SEA,W (+10),,23:00,3,5,.600,2,2,1.000,4,2,5,8,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
11,11,1972-11-03,25-087,DET,@,LAL,L (-9),,20:00,2,6,.333,2,2,1.000,10,0,3,6,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
12,12,1972-11-04,25-088,DET,,HOU,L (-10),,,3,6,.500,1,1,1.000,4,,2,7,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
13,13,1972-11-10,25-094,DET,,GSW,W (+25),0,11:00,1,5,.200,4,4,1.000,4,0,0,6,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
14,14,1972-11-11,25-095,DET,@,BOS,L (-3),,21:00,7,10,.700,4,7,.571,2,2,2,18,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
15,15,1972-11-15,25-099,DET,,LAL,L (-11),,11:00,1,2,.500,0,0,,2,0,,2,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
16,16,1972-11-17,25-101,DET,,CHI,W (+13),0,13:00,3,5,.600,3,4,.750,2,0,1,9,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
17,17,1972-11-21,25-105,DET,,ATL,W (+3),,13:00,1,4,.250,7,11,.636,3,1,2,9,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
18,18,1972-11-23,25-107,DET,@,PHO,L (-6),0,6:00,1,2,.500,0,0,,2,0,0,2,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
19,19,1972-11-24,25-108,DET,@,LAL,L (-17),,16:00,5,8,.625,2,2,1.000,0,3,3,12,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
20,20,1972-11-26,25-110,DET,@,SEA,L (-7),,5:00,1,2,.500,0,2,.000,3,0,1,2,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
21,21,1972-11-28,25-112,DET,,POR,W (+4),1,26:00,5,9,.556,0,0,,7,4,5,10,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
22,22,1972-11-30,25-114,DET,,BUF,W (+11),,13:00,2,2,1.000,2,3,.667,3,0,4,6,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
23,23,1972-12-01,25-115,DET,@,CLE,W (+1),1,15:00,2,6,.333,0,0,,5,0,3,4,1973,norwowi01,https://www.basketball-reference.com/players/n/norwowi01/gamelog/1973
