Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1946-11-02,26-054,PIT,@,STB,L (-5),,,0,0,,0,,,,,1,0,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
2,2,1946-11-04,26-056,PIT,,WSC,L (-15),,,0,,,0,,,,,,0,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
3,3,1946-11-07,26-059,PIT,@,PHW,L (-6),,,1,,,3,4,.750,,,2,5,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
4,4,1946-11-09,26-061,PIT,@,PRO,L (-10),,,0,,,0,,,,,,0,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
5,5,1946-11-11,26-063,PIT,,PRO,W (+13),,,0,,,0,0,,,,2,0,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
6,6,1946-11-16,26-068,PIT,@,NYK,L (-2),,,1,,,0,0,,,,,2,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
7,7,1946-11-18,26-070,PIT,,TRH,W (+6),,,2,,,1,2,.500,,,2,5,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
8,8,1946-11-20,26-072,PIT,@,DTF,W (+1),,,3,,,0,0,,,,0,6,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
9,9,1946-11-24,26-076,PIT,@,CLR,L (-2),,,3,,,0,0,,,,1,6,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
10,10,1946-11-25,26-077,PIT,,NYK,L (-16),,,4,,,2,3,.667,,,4,10,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
11,11,1946-11-27,26-079,PIT,,CLR,W (+2),,,4,,,0,3,.000,,,4,8,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
12,12,1946-11-28,26-080,PIT,@,BOS,L (-4),,,1,,,1,2,.500,,,1,3,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
13,13,1946-11-30,26-082,PIT,@,WSC,L (-9),,,0,,,0,0,,,,0,0,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
14,14,1946-12-09,26-091,PIT,,DTF,L (-8),,,1,,,0,,,,,,2,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
15,15,1946-12-13,26-095,PIT,@,TRH,W (+10),,,4,,,1,3,.333,,,1,9,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
16,16,1946-12-15,26-097,PIT,@,CHS,L (-9),,,2,,,3,6,.500,,,6,7,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
17,17,1946-12-16,26-098,PIT,,STB,L (-11),,,4,,,1,1,1.000,,,1,9,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
18,18,1946-12-22,26-104,PIT,@,CLR,W (+4),,,7,,,2,3,.667,,,3,16,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
19,19,1946-12-23,26-105,PIT,,BOS,W (+10),,,5,,,3,3,1.000,,,0,13,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
20,20,1946-12-26,26-108,PIT,@,PHW,L (-7),,,6,,,1,1,1.000,,,4,13,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
21,21,1946-12-30,26-112,PIT,,PHW,L (-2),,,2,,,0,0,,,,0,4,1947,noszkst01,https://www.basketball-reference.com/players/n/noszkst01/gamelog/1947
