Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2006-11-02,31-226,SAS,@,DAL,W (+6),1,15:39,2,3,.667,0,0,,0,0,,0,2,2,1,0,1,3,0,4,1.7,-2,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
2,2,2006-11-03,31-227,SAS,,CLE,L (-7),1,19:27,2,2,1.000,0,0,,0,0,,2,4,6,0,0,0,0,4,4,4.4,-9,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
3,3,2006-11-05,31-229,SAS,@,TOR,W (+9),1,24:29,5,6,.833,0,0,,2,4,.500,3,6,9,2,0,0,1,4,12,11.7,+14,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
4,4,2006-11-06,31-230,SAS,@,NYK,W (+12),1,19:14,2,3,.667,0,0,,0,0,,0,6,6,0,0,0,0,6,4,2.1,+6,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
5,5,2006-11-08,31-232,SAS,,PHO,W (+5),1,39:00,11,11,1.000,0,0,,0,0,,3,7,10,2,1,1,2,3,22,22.8,+2,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
6,6,2006-11-11,31-235,SAS,,NYK,W (+8),1,17:38,0,4,.000,0,0,,1,2,.500,2,6,8,3,0,0,0,4,1,1.5,+5,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
7,7,2006-11-14,31-238,SAS,@,HOU,W (+8),1,5:22,1,1,1.000,0,0,,1,2,.500,0,2,2,0,0,0,1,4,3,0.3,+2,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
8,8,2006-11-15,31-239,SAS,,CHA,L (-3),1,17:17,0,4,.000,0,0,,0,0,,5,5,10,3,0,1,2,2,0,2.2,-3,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
9,9,2006-11-17,31-241,SAS,,CHI,W (+17),1,12:26,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,1,3,2,-0.2,+6,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
10,10,2006-11-19,31-243,SAS,@,SAC,W (+9),1,28:06,6,9,.667,0,0,,1,1,1.000,3,1,4,2,0,1,0,4,13,12.0,+13,2007,obertfa01,https://www.basketball-reference.com/players/o/obertfa01/gamelog/2007
