Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2020-12-23,22-127,ORL,,MIA,W (+6),0,22:00,1,3,.333,0,1,.000,1,2,.500,2,3,5,2,1,0,1,0,3,4.6,-11,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
2,2,2020-12-26,22-130,ORL,@,WAS,W (+10),0,18:21,1,4,.250,0,1,.000,1,2,.500,1,2,3,2,0,0,0,1,3,2.5,-6,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
3,3,2020-12-27,22-131,ORL,@,WAS,W (+7),0,16:12,0,0,,0,0,,0,0,,1,0,1,2,0,0,1,0,0,1.1,-5,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
4,4,2020-12-29,22-133,ORL,@,OKC,W (+11),0,17:39,1,3,.333,0,1,.000,1,2,.500,1,2,3,1,2,1,0,0,3,5.6,+8,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
5,5,2020-12-31,22-135,ORL,,PHI,L (-24),0,17:14,2,4,.500,2,4,.500,0,0,,0,1,1,1,0,0,1,1,6,3.6,-1,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
6,,2021-01-02,22-137,ORL,,OKC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
7,,2021-01-04,22-139,ORL,,CLE,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
8,,2021-01-06,22-141,ORL,,CLE,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
9,,2021-01-08,22-143,ORL,@,HOU,L (-42),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
10,,2021-01-09,22-144,ORL,@,DAL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
11,,2021-01-11,22-146,ORL,,MIL,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2021,okekech01,https://www.basketball-reference.com/players/o/okekech01/gamelog/2021
