Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2007-10-30,28-157,UTA,@,GSW,W (+21),1,15:45,0,3,.000,0,1,.000,0,0,,1,2,3,1,0,0,3,3,0,-4.3,0,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
2,2,2007-11-01,28-159,UTA,,HOU,L (-11),1,37:07,5,10,.500,3,6,.500,3,4,.750,3,7,10,0,2,0,5,3,16,10.6,-4,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
3,3,2007-11-03,28-161,UTA,,GSW,W (+23),1,35:13,9,12,.750,3,3,1.000,7,9,.778,0,3,3,4,1,0,0,2,28,26.3,+18,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
4,4,2007-11-04,28-162,UTA,@,LAL,L (-10),1,35:36,3,14,.214,0,5,.000,7,9,.778,3,4,7,5,0,0,1,6,13,7.0,-6,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
5,5,2007-11-07,28-165,UTA,,CLE,W (+2),1,29:33,2,10,.200,0,1,.000,1,2,.500,1,9,10,4,0,0,1,2,5,2.8,+6,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
6,6,2007-11-09,28-167,UTA,@,SEA,W (+2),1,30:28,6,12,.500,1,2,.500,0,0,,0,3,3,0,1,2,0,4,13,8.7,+5,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
7,7,2007-11-10,28-168,UTA,,MEM,W (+24),1,23:13,3,9,.333,1,2,.500,2,2,1.000,0,4,4,1,1,0,0,5,9,4.8,+21,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
8,8,2007-11-12,28-170,UTA,,SAC,W (+24),1,23:39,4,14,.286,0,4,.000,4,4,1.000,3,1,4,4,0,1,2,2,12,6.9,-2,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
9,9,2007-11-14,28-172,UTA,@,TOR,W (+4),1,30:56,5,9,.556,3,4,.750,0,0,,1,5,6,1,1,0,0,3,13,11.4,-3,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
10,10,2007-11-16,28-174,UTA,@,CLE,L (-5),1,31:12,3,11,.273,2,6,.333,3,3,1.000,1,4,5,6,0,0,1,4,11,8.0,-8,2008,okurme01,https://www.basketball-reference.com/players/o/okurme01/gamelog/2008
