Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2001-10-30,26-210,LAC,@,SAS,L (-11),1,23:28,2,8,.250,0,0,,0,0,,1,6,7,0,1,0,1,5,4,-0.3,+1,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
2,2,2001-11-01,26-212,LAC,@,HOU,L (-6),1,28:27,3,6,.500,0,0,,1,2,.500,1,7,8,0,0,2,0,3,7,6.6,-5,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
3,3,2001-11-03,26-214,LAC,,GSW,L (-2),1,27:49,5,10,.500,0,0,,0,2,.000,1,6,7,2,0,2,3,4,10,4.9,-3,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
4,4,2001-11-05,26-216,LAC,,ATL,W (+23),1,30:24,2,8,.250,0,0,,3,4,.750,3,9,12,1,3,4,2,5,7,9.1,+9,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
5,5,2001-11-07,26-218,LAC,,MEM,W (+16),1,17:44,1,2,.500,0,0,,0,0,,2,3,5,1,0,5,2,5,2,3.5,+4,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
6,6,2001-11-08,26-219,LAC,@,POR,L (-18),1,20:27,0,2,.000,0,0,,0,0,,0,8,8,1,0,2,1,3,0,0.9,0,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
7,7,2001-11-10,26-221,LAC,,PHO,W (+9),1,26:52,5,7,.714,0,0,,1,4,.250,1,5,6,1,0,2,1,1,11,9.8,+3,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
8,8,2001-11-14,26-225,LAC,,CHI,W (+4),1,28:19,4,6,.667,0,0,,0,0,,1,4,5,1,1,1,2,3,8,6.5,+3,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
9,9,2001-11-16,26-227,LAC,,TOR,L (-9),1,34:38,2,4,.500,0,0,,1,2,.500,2,8,10,1,1,1,4,2,5,4.0,+10,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
10,10,2001-11-18,26-229,LAC,,NYK,W (+13),1,24:12,3,6,.500,0,0,,1,2,.500,1,5,6,2,0,3,1,4,7,6.7,+1,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
11,11,2001-11-20,26-231,LAC,,LAL,L (-5),1,21:46,2,7,.286,0,0,,0,2,.000,1,4,5,0,1,2,1,5,4,0.4,-9,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
12,12,2001-11-22,26-233,LAC,,NJN,L (-5),1,16:26,3,5,.600,0,0,,0,0,,1,2,3,1,0,3,0,0,6,7.8,-10,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
13,13,2001-11-23,26-234,LAC,@,UTA,L (-5),1,20:19,1,4,.250,0,0,,0,0,,1,1,2,2,3,0,1,5,2,2.0,+10,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
14,14,2001-11-25,26-236,LAC,,HOU,W (+7),1,28:47,4,7,.571,0,0,,1,2,.500,3,6,9,0,1,2,1,2,9,9.8,+10,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
15,15,2001-11-28,26-239,LAC,,MIN,W (+19),1,40:20,3,11,.273,0,0,,1,2,.500,3,9,12,1,1,2,1,1,7,6.6,+22,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
16,16,2001-11-30,26-241,LAC,@,DEN,L (-3),1,12:20,1,1,1.000,0,0,,2,2,1.000,0,6,6,0,0,1,1,2,4,4.4,-7,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
17,17,2001-12-02,26-243,LAC,,IND,W (+31),1,30:57,5,9,.556,0,0,,2,2,1.000,4,7,11,0,2,5,1,2,12,16.3,+31,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
18,18,2001-12-04,26-245,LAC,,MIA,W (+4),1,32:53,4,9,.444,0,0,,3,4,.750,4,5,9,2,0,6,1,6,11,12.4,+12,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
19,19,2001-12-07,26-248,LAC,,UTA,L (-16),1,26:19,1,3,.333,0,0,,0,0,,2,6,8,2,0,3,1,4,2,4.4,-1,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
20,20,2001-12-09,26-250,LAC,,CHH,W (+11),1,36:15,2,8,.250,0,0,,4,5,.800,3,6,9,1,2,1,0,4,8,8.5,+9,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
21,21,2001-12-10,26-251,LAC,,ORL,W (+8),1,14:59,1,5,.200,0,0,,0,0,,2,3,5,1,0,0,0,2,2,1.1,-7,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
22,22,2001-12-12,26-253,LAC,,SEA,W (+20),1,25:41,1,4,.250,0,0,,0,0,,1,6,7,0,1,2,1,1,2,3.1,+22,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
23,23,2001-12-14,26-255,LAC,@,LAL,L (-30),1,33:17,4,8,.500,0,0,,1,2,.500,2,9,11,2,0,1,2,3,9,7.6,-8,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
24,24,2001-12-16,26-257,LAC,,DET,W (+5),1,27:33,0,4,.000,0,0,,0,0,,3,10,13,0,1,2,2,1,0,2.3,+4,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
25,25,2001-12-18,26-259,LAC,@,PHO,W (+4),1,20:03,3,6,.500,0,0,,0,0,,1,7,8,0,0,0,1,2,6,4.0,+6,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
26,26,2001-12-22,26-263,LAC,,SAC,W (+16),1,27:25,5,9,.556,0,0,,3,4,.750,3,8,11,0,0,2,3,0,13,11.2,-2,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
27,27,2001-12-26,26-267,LAC,,PHI,L (-14),1,34:09,8,15,.533,0,0,,0,0,,1,8,9,1,0,1,2,2,16,10.4,-8,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
28,28,2001-12-27,26-268,LAC,@,SEA,L (-11),1,21:12,0,2,.000,0,0,,0,0,,2,6,8,0,0,0,1,4,0,-0.8,-11,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
29,29,2001-12-29,26-270,LAC,,BOS,L (-2),1,39:35,2,6,.333,0,0,,2,6,.333,5,15,20,1,0,2,2,4,6,7.5,+12,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
30,,2002-01-01,26-273,LAC,,POR,W (+15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2002,olowomi01,https://www.basketball-reference.com/players/o/olowomi01/gamelog/2002
