Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-02-05,29-186,ORL,,NYK,W (+8),0,1:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
2,2,1999-02-06,29-187,ORL,@,PHI,L (-20),0,8:14,3,3,1.000,0,0,,2,2,1.000,0,0,0,0,1,0,1,1,8,6.7,-2,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
3,3,1999-02-08,29-189,ORL,,BOS,W (+17),0,1:02,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,0,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
4,,1999-02-10,29-191,ORL,@,NJN,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
5,,1999-02-11,29-192,ORL,@,DET,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
6,,1999-02-14,29-195,ORL,,MIL,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
7,4,1999-02-16,29-197,ORL,@,CLE,L (-12),0,7:11,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,2,0,2,0.4,+6,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
8,,1999-02-17,29-198,ORL,,WAS,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
9,,1999-02-19,29-200,ORL,@,ATL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
10,5,1999-02-21,29-202,ORL,,HOU,W (+26),0,4:11,0,1,.000,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,2,2.3,+5,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
11,,1999-02-22,29-203,ORL,,SAC,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
12,6,1999-02-24,29-205,ORL,@,BOS,L (-32),0,12:18,2,5,.400,0,0,,0,0,,0,0,0,1,0,0,0,1,4,1.6,-3,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
13,7,1999-03-04,29-213,NJN,,CHH,L (-14),0,32:01,6,10,.600,1,1,1.000,0,0,,3,2,5,1,0,1,1,0,13,11.5,+13,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
14,8,1999-03-07,29-216,NJN,@,NYK,L (-11),0,30:16,8,16,.500,1,1,1.000,1,2,.500,2,2,4,3,0,0,3,5,18,8.7,-9,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
15,9,1999-03-09,29-218,NJN,@,CHI,L (-16),0,27:01,1,4,.250,0,1,.000,4,4,1.000,0,3,3,1,1,0,3,2,6,2.4,-18,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
16,10,1999-03-12,29-221,NJN,@,PHI,L (-7),1,49:45,4,12,.333,0,1,.000,6,7,.857,1,0,1,6,1,0,8,5,14,2.7,-15,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
17,11,1999-03-14,29-223,NJN,@,MIA,L (-26),0,5:03,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.0,+1,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
18,12,1999-03-16,29-225,NJN,@,TOR,L (-15),0,16:43,2,7,.286,0,0,,0,0,,0,2,2,2,1,0,0,2,4,2.1,+7,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
19,13,1999-03-17,29-226,NJN,,DAL,W (+1),0,6:23,1,2,.500,0,0,,1,1,1.000,0,1,1,1,0,0,0,0,3,3.0,+1,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
20,14,1999-03-18,29-227,NJN,@,CHI,L (-9),0,7:09,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,4,2.7,+5,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
21,,1999-03-21,29-230,NJN,@,CLE,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
22,15,1999-03-27,29-236,PHI,@,ATL,L (-4),0,2:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
23,16,1999-03-30,29-239,PHI,@,CHI,L (-10),0,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
24,17,1999-04-01,29-241,PHI,@,MIA,W (+4),0,0:52,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
25,18,1999-04-02,29-242,PHI,,CLE,L (-5),0,12:21,2,6,.333,0,0,,0,0,,0,0,0,4,0,0,0,2,4,2.6,+9,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
26,19,1999-04-04,29-244,PHI,@,TOR,L (-15),0,12:23,2,6,.333,0,1,.000,0,0,,0,0,0,0,1,0,0,0,4,1.6,-8,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
27,20,1999-04-06,29-246,PHI,,MIL,W (+8),0,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,1999,overtdo01,https://www.basketball-reference.com/players/o/overtdo01/gamelog/1999
