Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1997-12-07,22-171,PHI,,NYK,W (+15),0,2:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,-5,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
2,2,1997-12-08,22-172,PHI,@,ORL,L (-9),0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
3,3,1997-12-10,22-174,PHI,,TOR,L (-7),0,0:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
4,4,1997-12-12,22-176,PHI,,DEN,W (+15),0,1:29,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0,+1,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
5,5,1997-12-13,22-177,PHI,@,NYK,L (-12),0,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
6,6,1997-12-15,22-179,PHI,@,BOS,L (-17),0,11:15,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,1,3,0.9,0,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
7,,1997-12-17,22-181,PHI,,MIN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
8,7,1997-12-30,22-194,PHI,@,POR,L (-10),0,2:02,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+1,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
9,8,1998-01-01,22-196,PHI,@,VAN,W (+11),0,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
10,9,1998-01-02,22-197,PHI,@,SEA,L (-17),0,8:37,0,1,.000,0,0,,1,2,.500,0,0,0,0,1,0,1,0,1,-0.1,+8,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
11,10,1998-01-04,22-199,PHI,@,LAL,W (+6),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
12,,1998-01-06,22-201,PHI,@,UTA,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
13,11,1998-01-13,22-208,PHI,,VAN,W (+18),0,4:04,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,0.3,-4,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
14,12,1998-01-15,22-210,PHI,,CHI,W (+10),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
15,13,1998-01-17,22-212,PHI,,GSW,W (+28),0,7:59,1,3,.333,1,2,.500,2,2,1.000,0,0,0,1,1,0,0,0,5,5.0,0,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
16,14,1998-01-19,22-214,PHI,,SAC,W (+13),0,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
17,,1998-01-21,22-216,PHI,@,MIA,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
18,15,1998-01-23,22-218,PHI,,POR,W (+11),0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
19,16,1998-01-24,22-219,PHI,@,CLE,L (-19),0,3:14,2,2,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,0,6,5.0,+4,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
20,,1998-01-26,22-221,PHI,@,TOR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
21,,1998-01-28,22-223,PHI,,IND,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
22,,1998-01-29,22-224,PHI,@,ATL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
23,17,1998-01-31,22-226,PHI,,HOU,L (-16),0,3:11,1,3,.333,0,2,.000,0,0,,0,0,0,2,0,0,0,0,2,1.7,+2,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
24,,1998-02-02,22-228,PHI,,PHO,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
25,18,1998-02-04,22-230,PHI,,MIA,L (-14),0,3:24,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
26,,1998-02-11,22-237,PHI,,DAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
27,,1998-02-13,22-239,PHI,@,CHH,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
28,,1998-02-14,22-240,PHI,,NJN,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
29,,1998-02-17,22-243,PHI,,CLE,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
30,19,1998-02-27,22-253,PHI,@,DEN,W (+1),0,6:02,0,1,.000,0,1,.000,0,0,,1,2,3,0,0,0,0,0,0,0.6,+8,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
31,20,1998-02-28,22-254,PHI,@,SAS,L (-12),0,0:26,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-4,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
32,,1998-03-04,22-258,PHI,,MIL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
33,,1998-03-06,22-260,PHI,,NYK,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
34,,1998-03-08,22-262,PHI,@,WAS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
35,21,1998-03-09,22-263,PHI,,ORL,L (-10),0,6:03,1,2,.500,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,3,3.3,+4,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
36,22,1998-03-11,22-265,PHI,,WAS,W (+2),0,1:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
37,23,1998-03-13,22-267,PHI,,ATL,W (+21),0,3:11,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,0,4,4.4,-2,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
38,,1998-03-14,22-268,PHI,@,MIL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
39,,1998-03-17,22-271,PHI,@,NYK,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,parkean01,https://www.basketball-reference.com/players/p/parkean01/gamelog/1998
