Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2002-10-30,30-019,LAC,,CLE,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
2,,2002-11-01,30-021,LAC,,LAL,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
3,,2002-11-03,30-023,LAC,,DET,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
4,,2002-11-06,30-026,LAC,@,PHI,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
5,,2002-11-08,30-028,LAC,@,NJN,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
6,,2002-11-10,30-030,LAC,@,ORL,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
7,,2002-11-12,30-032,LAC,@,MIA,W (+19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
8,,2002-11-14,30-034,LAC,,ORL,L (-21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
9,,2002-11-15,30-035,LAC,@,POR,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
10,,2002-11-17,30-037,LAC,,SEA,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
11,,2002-11-18,30-038,LAC,@,GSW,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
12,,2002-11-20,30-040,LAC,,SAC,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
13,,2002-11-22,30-042,LAC,@,DEN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
14,,2002-11-24,30-044,LAC,,HOU,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
15,,2002-11-26,30-046,LAC,,UTA,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
16,1,2002-11-28,30-048,LAC,,NJN,W (+8),0,13:10,1,3,.333,0,0,,0,0,,1,2,3,1,0,0,1,3,2,0.1,-7,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
17,2,2002-11-29,30-049,LAC,@,SAC,L (-13),0,6:58,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-2,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
18,3,2002-12-01,30-051,LAC,,IND,L (-5),0,6:55,0,1,.000,0,0,,0,0,,0,1,1,1,0,1,1,1,0,-0.4,+1,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
19,4,2002-12-04,30-054,LAC,,MIA,W (+9),0,6:23,0,1,.000,0,0,,1,2,.500,0,0,0,1,0,1,0,1,1,0.9,-5,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
20,5,2002-12-07,30-057,LAC,,MIN,W (+16),0,5:16,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-2,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
21,6,2002-12-09,30-059,LAC,@,NOH,W (+4),0,13:42,2,4,.500,0,0,,1,2,.500,1,1,2,0,0,1,0,1,5,3.9,-7,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
22,7,2002-12-10,30-060,LAC,@,DAL,L (-27),0,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
23,8,2003-01-31,30-112,LAC,,PHO,L (-6),0,20:32,3,3,1.000,0,0,,2,4,.500,3,3,6,1,1,1,1,1,8,10.3,-7,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
24,9,2003-02-15,30-127,LAC,,BOS,L (-8),0,31:48,5,9,.556,0,0,,4,5,.800,0,5,5,0,2,2,1,4,14,11.6,-1,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
25,10,2003-02-19,30-131,LAC,,MIL,W (+6),0,17:43,4,5,.800,0,0,,0,0,,3,5,8,0,0,0,0,1,8,9.3,+2,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
26,11,2003-02-22,30-134,LAC,,ATL,L (-2),0,24:48,3,10,.300,0,0,,0,1,.000,2,4,6,0,0,2,0,1,6,3.4,-1,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
27,12,2003-02-25,30-137,LAC,@,LAL,L (-11),0,17:43,4,5,.800,0,0,,0,0,,0,2,2,0,0,0,0,2,8,5.9,+2,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
28,13,2003-02-26,30-138,LAC,,GSW,L (-14),1,15:47,2,5,.400,1,2,.500,0,0,,0,4,4,1,0,1,0,0,5,4.9,-11,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
29,14,2003-02-28,30-140,LAC,@,POR,L (-6),1,30:52,4,7,.571,0,0,,1,2,.500,4,5,9,1,1,1,1,1,9,10.6,+2,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
30,15,2003-03-01,30-141,LAC,,SEA,L (-8),1,29:12,6,12,.500,0,0,,0,0,,1,3,4,3,0,1,1,3,12,8.2,-11,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
31,16,2003-03-03,30-143,LAC,,NOH,L (-3),1,27:53,3,4,.750,0,0,,0,0,,5,5,10,4,1,1,1,4,6,11.3,-1,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
32,17,2003-03-05,30-145,LAC,@,WAS,L (-19),1,32:27,2,6,.333,0,0,,2,2,1.000,3,5,8,0,3,1,3,2,6,6.1,-6,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
33,18,2003-03-07,30-147,LAC,@,BOS,L (-11),1,25:31,4,7,.571,0,0,,0,0,,2,4,6,0,1,1,0,3,8,7.8,-14,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
34,19,2003-03-08,30-148,LAC,@,CHI,W (+6),1,27:22,3,9,.333,0,0,,0,0,,2,1,3,1,0,0,0,2,6,2.5,-14,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
35,20,2003-03-10,30-150,LAC,@,ATL,L (-9),1,16:52,1,5,.200,0,0,,2,2,1.000,1,2,3,0,1,0,0,3,4,2.0,-10,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
36,21,2003-03-12,30-152,LAC,@,HOU,L (-4),1,42:43,7,11,.636,0,0,,4,4,1.000,1,3,4,1,0,1,2,2,18,13.3,+4,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
37,22,2003-03-14,30-154,LAC,@,SAS,L (-11),1,24:20,4,6,.667,0,0,,0,0,,1,2,3,0,0,0,1,1,8,5.3,-24,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
38,23,2003-03-16,30-156,LAC,,TOR,W (+1),1,25:49,4,7,.571,0,0,,1,2,.500,4,4,8,1,0,1,0,0,9,10.7,-11,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
39,24,2003-03-17,30-157,LAC,,LAL,L (-17),1,36:49,6,10,.600,0,0,,1,6,.167,1,6,7,2,1,0,0,3,13,10.1,-18,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
40,25,2003-03-19,30-159,LAC,,DEN,W (+13),1,27:48,0,4,.000,0,0,,0,0,,4,3,7,0,1,1,2,1,0,0.2,+12,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
41,26,2003-03-22,30-162,LAC,@,UTA,L (-15),1,22:34,0,5,.000,0,0,,2,2,1.000,2,3,5,1,0,0,1,3,2,-0.7,-15,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
42,27,2003-03-24,30-164,LAC,,HOU,L (-18),1,29:33,3,5,.600,0,0,,0,0,,1,2,3,1,1,1,1,2,6,5.6,-12,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
43,28,2003-03-26,30-166,LAC,,DAL,L (-7),1,35:26,6,10,.600,0,0,,1,2,.500,1,3,4,1,2,1,0,3,13,11.8,-1,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
44,29,2003-03-27,30-167,LAC,@,SAC,L (-10),1,13:02,2,4,.500,0,0,,0,0,,2,2,4,0,0,0,0,0,4,4.0,-10,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
45,30,2003-03-30,30-170,LAC,,MEM,W (+2),1,16:57,3,5,.600,0,0,,1,2,.500,1,4,5,0,0,1,1,3,7,4.7,-10,2003,parksch02,https://www.basketball-reference.com/players/p/parksch02/gamelog/2003
