Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-22,30-222,LAC,,LAL,W (+10),1,17:29,1,3,.333,1,3,.333,1,2,.500,1,2,3,0,0,0,0,2,4,2.4,-2,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
2,2,2019-10-24,30-224,LAC,@,GSW,W (+19),1,28:10,7,13,.538,6,10,.600,0,0,,0,3,3,1,0,0,1,3,20,13.1,+30,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
3,3,2019-10-26,30-226,LAC,@,PHO,L (-8),1,30:53,2,8,.250,1,5,.200,0,0,,0,7,7,1,0,1,0,2,5,2.9,-12,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
4,4,2019-10-28,30-228,LAC,,CHO,W (+15),1,23:29,1,2,.500,1,1,1.000,0,0,,1,2,3,3,1,0,1,2,3,4.6,+18,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
5,5,2019-10-30,30-230,LAC,@,UTA,L (-14),1,28:58,1,4,.250,1,2,.500,0,0,,1,2,3,2,0,0,0,2,3,2.5,+5,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
6,6,2019-10-31,30-231,LAC,,SAS,W (+6),1,18:54,0,5,.000,0,5,.000,0,0,,4,5,9,2,1,0,1,0,0,2.2,+6,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
7,7,2019-11-03,30-234,LAC,,UTA,W (+11),1,12:22,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0,-1.1,-15,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
8,8,2019-11-06,30-237,LAC,,MIL,L (-5),1,13:22,1,2,.500,0,1,.000,0,0,,0,5,5,0,0,0,1,0,2,1.5,+3,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
9,9,2019-11-07,30-238,LAC,,POR,W (+6),1,20:15,2,7,.286,1,4,.250,1,2,.500,1,2,3,1,0,0,0,0,6,3.5,-3,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
10,10,2019-11-11,30-242,LAC,,TOR,W (+10),1,15:18,4,9,.444,4,8,.500,0,0,,2,0,2,1,0,0,0,1,12,9.0,-4,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
11,11,2019-11-13,30-244,LAC,@,HOU,L (-9),1,4:17,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-0.3,-12,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
12,12,2019-11-14,30-245,LAC,@,NOP,L (-5),0,3:18,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,-4,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
13,13,2019-11-16,30-247,LAC,,ATL,W (+49),0,7:31,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4,+11,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
14,14,2019-11-18,30-249,LAC,,OKC,W (+2),0,6:05,1,4,.250,1,4,.250,0,0,,0,4,4,0,0,1,0,0,3,2.5,+3,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
15,,2019-11-20,30-251,LAC,,BOS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
16,,2019-11-22,30-253,LAC,,HOU,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
17,15,2019-11-24,30-255,LAC,,NOP,W (+25),0,2:45,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,+4,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
18,16,2019-11-26,30-257,LAC,@,DAL,W (+15),0,3:00,0,1,.000,0,1,.000,0,2,.000,0,1,1,0,0,0,0,1,0,-1.6,-9,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
19,17,2019-11-27,30-258,LAC,@,MEM,W (+2),0,7:00,3,6,.500,2,5,.400,2,2,1.000,1,1,2,0,0,0,0,0,10,8.0,+5,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
20,18,2019-11-29,30-260,LAC,@,SAS,L (-10),0,2:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+6,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
21,19,2019-12-01,30-262,LAC,,WAS,W (+25),0,13:40,2,4,.500,2,4,.500,0,0,,0,2,2,1,0,0,1,1,6,3.9,+9,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
22,20,2019-12-03,30-264,LAC,,POR,W (+20),0,25:36,6,10,.600,5,7,.714,2,2,1.000,2,6,8,2,1,0,0,1,19,19.6,+17,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
23,21,2019-12-06,30-267,LAC,@,MIL,L (-28),0,7:23,0,3,.000,0,3,.000,0,0,,0,2,2,1,0,0,0,2,0,-1.6,-3,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
24,,2019-12-08,30-269,LAC,@,WAS,W (+16),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
25,22,2019-12-09,30-270,LAC,@,IND,W (+11),1,14:52,1,5,.200,1,4,.250,2,2,1.000,0,0,0,0,1,0,0,1,5,2.5,+5,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
26,23,2019-12-11,30-272,LAC,@,TOR,W (+20),0,24:09,3,8,.375,1,4,.250,4,4,1.000,2,5,7,2,0,0,0,0,11,10.9,+13,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
27,24,2019-12-13,30-274,LAC,@,MIN,W (+7),0,19:08,0,2,.000,0,2,.000,2,2,1.000,0,6,6,1,0,0,1,0,2,2.1,-10,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
28,25,2019-12-14,30-275,LAC,@,CHI,L (-3),0,21:39,3,4,.750,2,3,.667,3,6,.500,2,4,6,0,0,0,0,0,11,10.8,+23,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
29,26,2019-12-17,30-278,LAC,,PHO,W (+21),0,12:56,2,4,.500,2,4,.500,0,0,,0,4,4,0,0,0,1,0,6,4.2,+6,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
30,27,2019-12-19,30-280,LAC,,HOU,L (-5),0,12:51,2,4,.500,2,4,.500,0,0,,0,0,0,1,0,0,1,2,6,2.9,-7,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
31,28,2019-12-21,30-282,LAC,@,SAS,W (+25),0,18:47,1,5,.200,1,5,.200,0,0,,2,4,6,1,1,0,0,0,3,4.2,+3,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
32,29,2019-12-22,30-283,LAC,@,OKC,L (-6),1,17:33,5,7,.714,2,3,.667,0,0,,5,1,6,2,0,1,1,1,12,13.6,-10,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
33,30,2019-12-25,30-286,LAC,@,LAL,W (+5),1,13:36,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,1,4,2.6,-7,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
34,31,2019-12-28,30-289,LAC,,UTA,L (-13),0,7:32,2,5,.400,0,3,.000,0,0,,0,1,1,0,0,0,0,1,4,1.2,-2,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
35,,2019-12-31,30-292,LAC,@,SAC,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
36,,2020-01-02,30-294,LAC,,DET,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
37,32,2020-01-04,30-296,LAC,,MEM,L (-26),0,6:57,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-1.1,-3,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
38,33,2020-01-05,30-297,LAC,,NYK,W (+3),1,13:43,2,5,.400,2,5,.400,0,0,,0,2,2,1,0,0,0,2,6,3.8,0,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
39,34,2020-01-10,30-302,LAC,,GSW,W (+9),0,2:36,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,0.9,+1,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
40,35,2020-01-12,30-304,LAC,@,DEN,L (-10),1,12:56,0,4,.000,0,3,.000,0,0,,0,0,0,1,0,0,0,2,0,-2.9,-4,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
41,36,2020-01-14,30-306,LAC,,CLE,W (+25),0,3:46,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
42,37,2020-01-16,30-308,LAC,,ORL,W (+27),0,13:12,4,8,.500,2,4,.500,0,0,,0,4,4,1,0,0,0,1,10,7.5,+9,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
43,38,2020-01-18,30-310,LAC,@,NOP,W (+3),0,5:35,1,3,.333,0,1,.000,0,0,,1,3,4,0,0,0,0,0,2,1.9,+11,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
44,39,2020-01-21,30-313,LAC,@,DAL,W (+3),0,4:00,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-3,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
45,40,2020-01-22,30-314,LAC,@,ATL,L (-7),0,6:30,0,1,.000,0,1,.000,2,2,1.000,0,2,2,1,0,0,0,1,2,2.2,0,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
46,41,2020-01-24,30-316,LAC,@,MIA,W (+5),0,12:52,4,5,.800,2,3,.667,2,2,1.000,1,0,1,0,0,0,1,3,12,8.6,+9,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
47,42,2020-01-26,30-318,LAC,@,ORL,W (+15),1,21:58,2,4,.500,2,3,.667,4,4,1.000,1,3,4,1,0,0,2,3,10,7.1,+22,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
48,43,2020-01-30,30-322,LAC,,SAC,L (-21),0,8:19,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,1,2,1.2,-4,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
49,44,2020-02-01,30-324,LAC,,MIN,W (+12),0,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
50,,2020-02-03,30-326,LAC,,SAS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
51,,2020-02-05,30-328,LAC,,MIA,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
52,45,2020-02-08,30-331,LAC,@,MIN,L (-27),1,7:25,1,2,.500,1,2,.500,0,0,,1,1,2,0,0,0,1,1,3,1.6,-11,2020,pattepa01,https://www.basketball-reference.com/players/p/pattepa01/gamelog/2020
