Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1972-10-13,23-364,BAL,,ATL,W (+17),,5:00,1,2,.500,0,0,,1,0,1,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
2,2,1972-11-08,24-024,BAL,,BUF,W (+32),,9:00,3,6,.500,4,5,.800,5,0,1,10,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
3,3,1972-11-10,24-026,BAL,@,MIL,L (-38),,20:00,2,11,.182,0,0,,2,2,5,4,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
4,4,1972-11-28,24-044,BAL,,HOU,W (+18),,,0,1,.000,0,0,,0,,0,0,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
5,5,1972-12-01,24-047,BAL,,HOU,W (+7),,1:00,0,1,.000,0,0,,0,0,1,0,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
6,6,1972-12-08,24-054,BAL,@,ATL,L (-19),,1:00,0,0,,0,0,,0,0,0,0,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
7,7,1972-12-09,24-055,BAL,,KCO,W (+8),,,1,1,1.000,0,0,,1,0,1,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
8,8,1972-12-12,24-058,BAL,,PHI,W (+21),,3:00,1,1,1.000,3,5,.600,1,0,0,5,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
9,9,1972-12-26,24-072,BAL,@,BUF,W (+17),,5:00,1,1,1.000,0,0,,1,1,0,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
10,10,1972-12-29,24-075,BAL,,BUF,L (-9),,3:00,1,1,1.000,0,0,,1,0,1,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
11,11,1973-01-07,24-084,BAL,,BOS,L (-18),,5:00,2,3,.667,0,0,,1,0,1,4,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
12,12,1973-01-20,24-097,BAL,,SEA,W (+20),,2:00,0,1,.000,2,2,1.000,0,0,0,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
13,13,1973-01-21,24-098,BAL,,PHI,W (+11),,3:00,0,1,.000,0,0,,1,0,1,0,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
14,14,1973-01-26,24-103,BAL,@,CHI,L (-10),0,1:00,0,0,,0,0,,1,0,0,0,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
15,15,1973-01-30,24-107,BAL,,GSW,W (+18),0,2:00,1,3,.333,0,0,,0,0,0,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
16,16,1973-02-04,24-112,BAL,,LAL,L (-10),,3:00,0,1,.000,2,2,1.000,0,0,0,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
17,17,1973-02-07,24-115,BAL,,ATL,W (+29),,7:00,3,4,.750,1,1,1.000,2,0,2,7,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
18,18,1973-02-16,24-124,BAL,@,LAL,L (-18),,4:00,0,2,.000,0,0,,1,0,1,0,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
19,19,1973-02-24,24-132,BAL,,POR,W (+18),0,3:00,1,1,1.000,0,0,,1,0,3,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
20,20,1973-03-08,24-144,BAL,@,KCO,L (-12),,,0,4,.000,0,0,,0,0,0,0,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
21,21,1973-03-10,24-146,BAL,,CHI,L (-6),0,1:00,1,1,1.000,0,0,,0,0,0,2,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
22,22,1973-03-21,24-157,BAL,,HOU,L (-8),,,1,1,1.000,1,1,1.000,0,,0,3,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
23,23,1973-03-24,24-160,BAL,,CLE,W (+4),0,7:00,2,2,1.000,0,0,,1,0,0,4,1973,patteto01,https://www.basketball-reference.com/players/p/patteto01/gamelog/1973
