Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1990-11-08,23-348,PHI,@,MIL,L (-30),0,15:00,6,10,.600,1,1,1.000,0,0,,0,2,2,0,1,1,3,2,13,6.9,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
2,2,1990-11-10,23-350,PHI,@,CLE,L (-16),0,16:00,5,8,.625,0,0,,0,0,,2,0,2,1,1,0,1,3,10,7.3,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
3,3,1990-11-13,23-353,PHI,@,IND,W (+8),0,11:00,1,2,.500,0,0,,0,0,,0,3,3,1,0,0,0,4,2,1.0,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
4,4,1990-11-14,23-354,PHI,,ATL,W (+8),0,19:00,3,11,.273,0,1,.000,0,0,,2,3,5,0,0,0,0,1,6,1.4,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
5,5,1990-11-16,23-356,PHI,,WSB,W (+13),0,17:00,3,7,.429,0,0,,4,4,1.000,1,3,4,1,0,2,0,1,10,9.6,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
6,6,1990-11-17,23-357,PHI,@,NYK,L (-27),0,22:00,3,12,.250,0,1,.000,0,0,,1,3,4,1,1,0,3,1,6,-1.3,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
7,7,1990-11-19,23-359,PHI,,CHH,W (+8),0,9:00,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,4,3.0,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
8,8,1990-11-21,23-361,PHI,,SAC,W (+2),0,5:00,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,1,1,2,1.3,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
9,9,1990-11-23,23-363,PHI,,CLE,W (+6),0,12:00,1,3,.333,0,0,,0,0,,0,2,2,2,0,0,0,0,2,2.3,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
10,10,1990-11-24,23-364,PHI,@,ATL,W (+3),0,12:00,5,9,.556,1,1,1.000,1,1,1.000,0,1,1,1,1,0,0,2,12,8.9,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
11,11,1990-11-27,24-002,PHI,@,NJN,L (-6),0,15:00,2,11,.182,0,2,.000,1,1,1.000,0,0,0,0,0,0,0,1,5,-2.3,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
12,12,1990-11-28,24-003,PHI,,IND,W (+10),0,5:00,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
13,13,1990-11-30,24-005,PHI,@,DET,L (-2),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
14,14,1990-12-01,24-006,PHI,,BOS,W (+6),1,11:00,2,8,.250,0,0,,0,0,,1,1,2,0,0,0,0,2,4,-0.6,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
15,15,1990-12-04,24-009,PHI,,MIL,W (+1),0,6:00,0,3,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-1.7,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
16,16,1990-12-07,24-012,PHI,,DEN,W (+9),1,13:00,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,2,4,2.2,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
17,17,1990-12-11,24-016,PHI,@,ORL,W (+5),0,7:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
18,18,1990-12-14,24-019,PHI,,MIA,W (+3),0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,1,0,1,2,3.0,1991,payneke01,https://www.basketball-reference.com/players/p/payneke01/gamelog/1991
