Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2006-10-31,38-100,MIA,,CHI,L (-42),1,34:41,1,5,.200,1,4,.250,4,5,.800,0,3,3,4,1,0,4,4,7,2.6,-16,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
2,2,2006-11-03,38-103,MIA,,NJN,W (+6),1,40:44,4,9,.444,2,3,.667,4,5,.800,0,4,4,5,1,0,0,4,14,13.0,+4,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
3,3,2006-11-05,38-105,MIA,@,PHI,L (-9),1,31:14,3,7,.429,1,2,.500,4,5,.800,0,4,4,4,0,0,2,4,11,7.3,-1,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
4,4,2006-11-07,38-107,MIA,,SEA,W (+3),1,42:42,3,12,.250,2,6,.333,0,0,,1,2,3,2,0,0,2,4,8,-0.1,-2,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
5,5,2006-11-10,38-110,MIA,@,NJN,W (+7),1,38:33,5,9,.556,4,7,.571,2,2,1.000,0,2,2,5,1,0,1,3,16,14.6,+5,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
6,6,2006-11-12,38-112,MIA,,HOU,L (-22),1,36:02,2,5,.400,1,2,.500,0,0,,0,4,4,2,1,1,3,1,5,3.2,-22,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
7,7,2006-11-14,38-114,MIA,,DEN,L (-7),1,20:24,1,4,.250,1,3,.333,0,1,.000,0,0,0,2,1,0,1,4,3,0.0,-13,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
8,8,2006-11-17,38-117,MIA,,NYK,L (-24),1,23:50,5,7,.714,0,1,.000,2,2,1.000,0,5,5,0,0,0,1,1,12,9.2,-12,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
9,9,2006-11-18,38-118,MIA,@,ATL,W (+5),1,16:47,0,7,.000,0,2,.000,0,0,,0,1,1,1,2,0,1,2,0,-3.7,+1,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
10,10,2006-11-21,38-121,MIA,@,NOK,L (-15),1,23:43,2,9,.222,0,3,.000,0,0,,2,5,7,3,1,0,0,3,4,3.3,-15,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
11,11,2006-11-22,38-122,MIA,@,SAS,L (-20),1,27:17,2,7,.286,1,3,.333,0,0,,0,1,1,1,0,1,1,1,5,1.2,-21,2007,paytoga01,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2007
