Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2010-10-27,24-297,MIN,,SAC,L (-1),0,11:52,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,1,4,6,2.8,-2,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
2,2,2010-10-29,24-299,MIN,,MIL,W (+11),0,6:58,1,3,.333,0,0,,0,0,,1,0,1,0,0,1,0,4,2,0.1,+3,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
3,3,2010-10-30,24-300,MIN,@,MEM,L (-20),0,13:44,3,5,.600,0,0,,1,2,.500,3,2,5,1,0,0,3,4,7,3.1,-5,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
4,4,2010-11-02,24-303,MIN,@,MIA,L (-32),0,27:12,4,10,.400,0,0,,4,4,1.000,4,4,8,0,1,0,3,2,12,7.8,-13,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
5,5,2010-11-03,24-304,MIN,@,ORL,L (-42),0,13:51,1,3,.333,0,0,,2,4,.500,1,0,1,0,0,0,1,6,4,-1.2,-26,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
6,6,2010-11-05,24-306,MIN,,ATL,L (-10),0,13:21,2,6,.333,0,0,,0,0,,1,0,1,0,0,0,1,3,4,-0.9,0,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
7,7,2010-11-07,24-308,MIN,@,HOU,L (-26),0,21:49,3,9,.333,0,0,,6,7,.857,7,4,11,1,0,0,2,3,12,10.1,-12,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
8,8,2010-11-09,24-310,MIN,@,LAL,L (-5),0,1:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,0,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
9,9,2010-11-10,24-311,MIN,@,SAC,W (+9),0,16:26,2,4,.500,0,0,,0,0,,1,3,4,1,0,1,0,4,4,3.4,+14,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
10,10,2010-11-12,24-313,MIN,,NYK,W (+9),0,7:04,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,4,2.3,-1,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
11,,2010-11-14,24-315,MIN,@,ATL,L (-6),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
12,,2010-11-15,24-316,MIN,@,CHA,L (-3),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
13,,2010-11-17,24-318,MIN,,LAC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
14,,2010-11-19,24-320,MIN,,LAL,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
15,,2010-11-22,24-323,MIN,@,OKC,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
16,,2010-11-24,24-325,MIN,,SAS,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
17,,2010-11-27,24-328,MIN,,GSW,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
18,,2010-12-01,24-332,MIN,@,DAL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
19,,2010-12-03,24-334,MIN,@,SAS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
20,11,2010-12-04,24-335,MIN,,CLE,W (+34),0,11:47,3,5,.600,0,0,,1,2,.500,1,6,7,1,0,0,2,3,7,4.3,0,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
21,12,2010-12-06,24-337,MIN,@,NYK,L (-7),0,8:55,0,3,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-2.3,-13,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
22,13,2010-12-08,24-339,MIN,,OKC,L (-8),0,24:56,6,10,.600,0,0,,3,4,.750,3,0,3,1,1,3,1,4,15,13.3,-7,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
23,14,2010-12-10,24-341,MIN,,DET,W (+10),0,10:36,2,3,.667,0,0,,2,2,1.000,1,0,1,0,0,2,1,2,6,5.0,+8,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
24,15,2010-12-11,24-342,MIN,@,CHI,L (-31),0,23:59,2,5,.400,0,0,,1,2,.500,3,1,4,0,0,4,6,4,5,-0.5,-22,2011,pekovni01,https://www.basketball-reference.com/players/p/pekovni01/gamelog/2011
