Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2021-12-25,28-325,BOS,@,MIL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
2,,2021-12-27,28-327,BOS,@,MIN,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
3,,2021-12-29,28-329,BOS,,LAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
4,,2021-12-31,28-331,BOS,,PHO,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
5,,2022-01-02,28-333,BOS,,ORL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
6,1.0,2022-01-07,28-338,UTA,@,TOR,L (-14),0,2:01,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+1,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
7,2.0,2022-01-08,28-339,UTA,@,IND,L (-12),0,9:01,2,4,.500,0,0,,0,0,,2,2,4,0,0,1,1,0,4,3.7,-12,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
8,3.0,2022-01-10,28-341,UTA,@,DET,L (-10),0,7:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-8,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
9,,2022-01-12,28-343,UTA,,CLE,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
10,,2022-01-16,28-347,UTA,@,DEN,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,pelleno01,https://www.basketball-reference.com/players/p/pelleno01/gamelog/2022
