Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-02-05,33-160,SAS,,SAC,W (+18),0,17:32,3,3,1.000,0,0,,1,1,1.000,1,6,7,1,1,1,2,2,7,8.2,+16,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
2,2,1999-02-06,33-161,SAS,,MIN,W (+14),0,13:25,4,7,.571,0,0,,0,0,,4,7,11,1,0,0,0,2,8,9.5,+8,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
3,,1999-02-08,33-163,SAS,,LAL,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
4,,1999-02-09,33-164,SAS,@,MIN,L (-4),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
5,,1999-02-12,33-167,SAS,@,PHI,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
6,,1999-02-14,33-169,SAS,@,CHI,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
7,3,1999-03-02,33-185,SAS,@,HOU,W (+17),0,15:20,2,2,1.000,0,0,,1,1,1.000,1,1,2,1,0,0,1,2,5,4.3,+1,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
8,4,1999-03-04,33-187,SAS,@,DAL,W (+16),0,21:32,3,5,.600,0,0,,0,0,,1,3,4,0,0,0,3,3,6,1.1,0,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
9,5,1999-03-06,33-189,SAS,,LAC,W (+29),0,21:50,0,1,.000,0,0,,2,2,1.000,2,5,7,2,1,0,2,2,2,3.8,+8,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
10,6,1999-03-07,33-190,SAS,@,DEN,W (+10),0,15:00,3,4,.750,0,0,,2,2,1.000,2,4,6,1,0,0,0,2,8,8.9,-2,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
11,7,1999-03-10,33-193,SAS,,ORL,W (+2),0,12:25,4,4,1.000,0,0,,0,0,,0,1,1,0,1,1,1,1,8,7.4,+7,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
12,8,1999-03-12,33-195,SAS,@,PHO,W (+2),0,8:17,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-4,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
13,9,1999-03-13,33-196,SAS,,DEN,W (+31),0,19:46,1,1,1.000,0,0,,0,2,.000,0,8,8,0,1,1,3,2,2,1.2,+17,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
14,10,1999-03-16,33-199,SAS,@,SAC,W (+12),0,12:34,0,1,.000,0,0,,1,2,.500,1,2,3,0,0,0,0,2,1,0.4,-17,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
15,11,1999-03-17,33-200,SAS,@,GSW,W (+4),0,10:21,0,2,.000,0,0,,1,2,.500,2,3,5,0,0,0,0,0,1,1.5,+5,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
16,12,1999-03-19,33-202,SAS,@,POR,L (-5),0,5:19,0,2,.000,0,0,,0,0,,0,4,4,0,0,0,0,2,0,-1.0,-9,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
17,13,1999-03-20,33-203,SAS,@,VAN,W (+4),0,8:39,1,1,1.000,0,0,,0,0,,1,2,3,2,0,0,1,1,2,3.0,+5,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
18,14,1999-03-23,33-206,SAS,,DEN,W (+30),0,19:46,1,1,1.000,0,0,,3,4,.750,0,8,8,1,0,2,0,1,5,8.4,+19,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
19,15,1999-03-25,33-208,SAS,@,DEN,W (+21),0,18:50,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,2,0,-0.1,+16,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
20,16,1999-03-26,33-209,SAS,,TOR,L (-2),0,6:18,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,2.4,-10,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
21,17,1999-03-27,33-210,SAS,,DAL,W (+22),0,22:33,3,4,.750,0,0,,0,0,,2,9,11,2,2,0,1,2,6,10.1,+20,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
22,18,1999-03-30,33-213,SAS,,SEA,W (+8),0,10:52,2,3,.667,0,0,,0,0,,0,3,3,0,1,2,0,2,4,5.2,-5,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
23,19,1999-04-01,33-215,SAS,,VAN,W (+12),1,22:57,2,3,.667,0,0,,0,0,,2,5,7,2,0,0,0,2,4,6.2,-8,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
24,20,1999-04-03,33-217,SAS,,LAC,W (+21),0,17:32,2,2,1.000,0,0,,0,0,,1,3,4,0,1,1,1,2,4,4.9,+1,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
25,21,1999-04-05,33-219,SAS,,GSW,W (+7),0,9:24,1,1,1.000,0,0,,1,4,.250,2,0,2,0,0,1,1,2,3,1.8,-9,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
26,22,1999-04-08,33-222,SAS,@,HOU,W (+9),0,12:49,2,2,1.000,0,0,,0,0,,1,2,3,0,0,0,1,4,4,2.1,-7,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
27,,1999-04-10,33-224,SAS,@,PHO,L (-26),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
28,23,1999-04-12,33-226,SAS,,PHO,W (+17),0,3:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
29,24,1999-04-13,33-227,SAS,@,DAL,L (-6),0,9:29,0,0,,0,0,,0,0,,0,4,4,1,0,0,1,1,0,0.5,-1,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
30,25,1999-04-14,33-228,SAS,,MIN,W (+16),0,16:00,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,0,2,2,1.9,-5,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
31,26,1999-04-16,33-230,SAS,,POR,W (+1),0,11:34,0,1,.000,0,0,,0,2,.000,2,1,3,0,0,0,1,2,0,-1.6,-6,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
32,27,1999-04-18,33-232,SAS,,HOU,W (+3),0,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-8,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
33,28,1999-04-20,33-234,SAS,@,UTA,W (+14),0,1:31,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,-1,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
34,29,1999-04-22,33-236,SAS,,DAL,W (+27),0,13:57,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,3,0,0.8,+6,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
35,30,1999-04-24,33-238,SAS,,LAL,W (+27),0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
36,31,1999-04-26,33-240,SAS,@,LAC,W (+6),0,20:14,0,2,.000,0,0,,0,2,.000,3,2,5,0,0,0,0,3,0,-0.7,-6,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
37,32,1999-04-27,33-241,SAS,@,SAC,L (-4),0,2:47,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,0.6,+4,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
38,33,1999-04-29,33-243,SAS,@,VAN,W (+27),0,13:49,0,0,,0,0,,2,2,1.000,0,3,3,2,0,0,2,2,2,1.5,+2,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
39,34,1999-05-01,33-245,SAS,,POR,W (+8),0,8:03,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,4,0,-0.7,-4,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
40,35,1999-05-02,33-246,SAS,,UTA,W (+6),0,3:23,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
41,36,1999-05-04,33-248,SAS,@,POR,W (+6),0,7:21,1,1,1.000,0,0,,0,0,,0,6,6,0,0,0,0,1,2,3.1,+1,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
42,37,1999-05-05,33-249,SAS,@,GSW,W (+7),0,3:37,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,-5,1999,perduwi01,https://www.basketball-reference.com/players/p/perduwi01/gamelog/1999
