Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2002-10-30,25-065,TOR,,WAS,W (+6),1,39:18,6,15,.400,2,9,.222,6,7,.857,2,8,10,1,3,0,6,4,20,11.4,+9,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
2,2,2002-11-01,25-067,TOR,@,SAS,L (-19),1,22:14,2,6,.333,1,4,.250,0,0,,0,1,1,0,1,0,1,4,5,0.3,-8,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
3,3,2002-11-02,25-068,TOR,@,HOU,L (-12),1,32:08,6,16,.375,2,7,.286,2,3,.667,2,5,7,0,2,0,4,3,16,6.5,-22,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
4,4,2002-11-04,25-070,TOR,,CHI,W (+4),1,30:33,2,8,.250,0,3,.000,5,6,.833,2,3,5,2,1,0,2,4,9,4.9,+3,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
5,5,2002-11-06,25-072,TOR,,DAL,L (-14),1,39:30,7,17,.412,2,7,.286,0,0,,1,4,5,3,2,0,0,2,16,12.1,-10,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
6,6,2002-11-09,25-075,TOR,@,IND,L (-24),1,32:24,2,11,.182,0,2,.000,0,0,,0,3,3,2,1,0,3,2,4,-3.4,-14,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
7,7,2002-11-12,25-078,TOR,@,ORL,W (+6),1,36:34,11,19,.579,1,4,.250,0,1,.000,5,7,12,2,0,0,5,5,23,13.7,+14,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
8,8,2002-11-15,25-081,TOR,,DEN,W (+5),1,44:12,4,11,.364,1,2,.500,3,6,.500,2,6,8,2,1,0,0,3,12,9.1,+10,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
9,9,2002-11-17,25-083,TOR,,UTA,L (-4),1,31:40,5,12,.417,1,4,.250,1,2,.500,2,2,4,1,0,0,2,4,12,4.3,+3,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
10,10,2002-11-18,25-084,TOR,@,ATL,L (-25),1,39:48,7,14,.500,2,4,.500,1,2,.500,0,6,6,3,2,0,1,3,17,13.3,-14,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
11,11,2002-11-20,25-086,TOR,,IND,L (-2),1,45:05,5,17,.294,3,8,.375,5,5,1.000,1,4,5,4,0,0,3,4,18,8.2,-6,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
12,12,2002-11-22,25-088,TOR,@,PHI,L (-10),1,41:56,3,18,.167,3,9,.333,0,0,,1,4,5,5,1,1,4,3,9,-0.5,+1,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
13,13,2002-11-24,25-090,TOR,,PHI,L (-10),1,42:23,6,18,.333,2,9,.222,3,4,.750,2,5,7,2,1,0,1,3,17,9.5,-6,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
14,14,2002-11-27,25-093,TOR,,NYK,L (-6),1,26:14,3,11,.273,0,2,.000,2,3,.667,4,2,6,0,1,1,1,2,8,4.4,0,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
15,15,2002-11-29,25-095,TOR,@,BOS,W (+3),1,41:42,12,18,.667,4,6,.667,3,3,1.000,0,6,6,4,1,1,0,3,31,28.3,+11,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
16,16,2002-12-01,25-097,TOR,@,MEM,W (+5),1,40:44,4,12,.333,1,2,.500,1,1,1.000,0,4,4,3,4,0,0,2,10,9.7,+4,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
17,17,2002-12-02,25-098,TOR,@,DAL,L (-11),1,44:26,9,17,.529,4,8,.500,2,2,1.000,0,7,7,0,1,0,2,3,24,15.6,-13,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
18,18,2002-12-04,25-100,TOR,@,NOH,L (-15),1,43:10,3,8,.375,1,5,.200,2,2,1.000,0,5,5,2,1,2,2,3,9,6.7,-12,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
19,19,2002-12-06,25-102,TOR,,CHI,W (+14),1,34:32,3,10,.300,0,2,.000,2,2,1.000,0,1,1,3,0,0,1,3,8,2.4,+6,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
20,20,2002-12-08,25-104,TOR,,POR,L (-13),1,40:33,9,17,.529,2,6,.333,2,2,1.000,0,0,0,5,2,0,0,1,22,18.8,-9,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
21,21,2002-12-11,25-107,TOR,@,CLE,L (-13),1,37:56,6,18,.333,2,7,.286,1,2,.500,3,3,6,0,1,0,2,2,15,5.6,-6,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
22,22,2002-12-13,25-109,TOR,,SEA,L (-12),1,40:19,7,17,.412,2,4,.500,2,3,.667,3,4,7,4,0,0,1,2,18,12.8,-7,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
23,23,2002-12-15,25-111,TOR,,WAS,L (-13),1,37:29,3,13,.231,1,6,.167,2,2,1.000,1,2,3,2,0,3,1,3,9,3.7,-14,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
24,24,2002-12-17,25-113,TOR,@,MIL,W (+5),1,44:22,6,15,.400,2,4,.500,7,8,.875,3,4,7,3,0,0,2,5,21,13.9,-12,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
25,25,2002-12-18,25-114,TOR,@,CHI,L (-13),1,35:51,6,15,.400,2,3,.667,8,9,.889,0,3,3,1,0,0,1,2,22,13.3,-11,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
26,26,2002-12-20,25-116,TOR,,MIA,L (-20),1,31:46,1,10,.100,0,2,.000,3,4,.750,0,1,1,0,2,0,2,5,5,-3.7,-16,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
27,27,2002-12-22,25-118,TOR,,LAL,L (-2),0,47:02,9,21,.429,4,7,.571,5,5,1.000,2,0,2,3,2,0,2,2,27,18.6,-4,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
28,28,2002-12-26,25-122,TOR,@,SEA,L (-9),1,38:10,9,19,.474,3,10,.300,1,2,.500,2,5,7,3,0,1,1,4,22,15.0,-5,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
29,29,2002-12-27,25-123,TOR,@,GSW,L (-5),1,40:58,5,19,.263,2,5,.400,2,4,.500,1,1,2,2,0,0,1,5,14,1.3,-7,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
30,30,2002-12-29,25-125,TOR,@,LAL,L (-16),1,36:16,6,14,.429,1,4,.250,5,6,.833,0,5,5,2,1,0,2,3,18,10.9,-8,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
31,31,2002-12-30,25-126,TOR,@,UTA,L (-22),1,32:01,6,13,.462,1,4,.250,5,5,1.000,2,4,6,0,1,0,0,2,18,14.1,-6,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
32,32,2003-01-01,25-128,TOR,@,NYK,L (-20),1,35:17,3,11,.273,0,2,.000,3,4,.750,2,5,7,2,0,2,1,3,9,5.6,-7,2003,petermo01,https://www.basketball-reference.com/players/p/petermo01/gamelog/2003
