Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1981-10-30,25-014,CLE,@,PHI,L (-24),0,21:00,4,8,.500,0,0,,2,2,1.000,3,0,3,4,0,0,0,2,10,10.1,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
2,2,1981-11-03,25-018,CLE,@,DAL,W (+15),0,13:00,1,4,.250,0,1,.000,2,3,.667,1,1,2,1,2,0,2,2,4,2.1,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
3,3,1981-11-04,25-019,CLE,@,SAS,L (-26),0,21:00,4,8,.500,0,0,,2,3,.667,3,3,6,0,1,0,3,4,10,5.0,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
4,4,1981-11-07,25-022,CLE,@,HOU,W (+4),0,16:00,2,6,.333,0,0,,0,0,,1,3,4,1,3,0,1,1,4,4.5,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
5,5,1981-11-09,25-024,CLE,,CHI,W (+1),0,14:00,2,5,.400,0,0,,2,2,1.000,0,0,0,1,0,0,0,2,6,3.2,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
6,6,1981-11-10,25-025,CLE,@,IND,L (-7),0,22:00,8,11,.727,1,1,1.000,1,2,.500,1,4,5,5,1,0,1,3,18,17.3,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
7,7,1981-11-12,25-027,CLE,@,DET,L (-31),0,16:00,0,1,.000,0,0,,2,2,1.000,0,2,2,1,1,0,2,3,2,0.4,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
8,8,1981-11-14,25-029,CLE,,BOS,L (-1),0,9:00,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,2,2,1.2,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
9,9,1981-11-15,25-030,CLE,@,MIL,L (-2),0,24:00,2,5,.400,0,1,.000,1,3,.333,1,4,5,4,1,0,2,2,5,4.4,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
10,10,1981-11-18,25-033,CLE,,DET,W (+7),0,21:00,6,12,.500,0,0,,2,2,1.000,0,0,0,5,0,0,1,2,14,9.7,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
11,11,1981-11-20,25-035,CLE,,PHI,L (-5),0,18:00,2,4,.500,0,0,,0,0,,0,2,2,3,0,0,1,1,4,3.3,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
12,12,1981-11-24,25-039,CLE,@,ATL,L (-2),0,29:00,4,11,.364,0,1,.000,3,3,1.000,0,2,2,2,0,0,2,3,11,3.7,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
13,13,1981-11-25,25-040,CLE,,IND,L (-6),0,28:00,5,11,.455,0,1,.000,2,2,1.000,2,3,5,0,0,0,2,2,12,5.8,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
14,14,1981-11-27,25-042,CLE,,NYK,L (-21),0,20:00,5,9,.556,0,0,,1,2,.500,2,1,3,3,0,0,1,3,11,7.9,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
15,15,1981-11-28,25-043,CLE,@,NYK,L (-11),0,18:00,1,2,.500,0,1,.000,1,1,1.000,0,1,1,0,0,0,1,2,3,0.5,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
16,16,1981-12-01,25-046,CLE,,MIL,L (-16),0,14:00,1,4,.250,0,0,,0,1,.000,0,0,0,3,0,0,0,0,2,1.3,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
17,17,1981-12-02,25-047,CLE,@,NJN,L (-19),0,24:00,6,14,.429,0,1,.000,2,2,1.000,1,0,1,0,1,1,2,3,14,5.8,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
18,18,1981-12-05,25-050,CLE,@,WSB,L (-7),1,39:00,8,17,.471,0,0,,0,0,,2,3,5,3,1,1,4,3,16,8.2,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
19,19,1981-12-09,25-054,CLE,,ATL,W (+4),1,36:00,7,14,.500,1,1,1.000,2,2,1.000,0,3,3,6,1,0,0,2,17,15.3,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
20,20,1981-12-11,25-056,CLE,@,PHI,L (-18),1,29:00,7,12,.583,0,1,.000,3,4,.750,3,1,4,1,1,0,3,1,17,11.7,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
21,21,1981-12-12,25-057,CLE,,DEN,L (-5),1,22:00,6,9,.667,0,0,,0,0,,5,2,7,2,1,0,1,5,12,11.6,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
22,22,1981-12-15,25-060,CLE,@,CHI,L (-9),1,29:00,6,11,.545,2,3,.667,0,0,,1,3,4,4,0,0,0,3,14,11.9,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
23,23,1981-12-16,25-061,CLE,,WSB,L (-4),1,21:00,2,7,.286,0,1,.000,1,1,1.000,0,1,1,3,0,0,2,2,5,0.5,1982,pheglro01,https://www.basketball-reference.com/players/p/pheglro01/gamelog/1982
