Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,1997-10-31,27-315,CHH,,NYK,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
2,,1997-11-01,27-316,CHH,@,MIN,L (-16),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
3,,1997-11-03,27-318,CHH,@,MIA,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
4,,1997-11-05,27-320,CHH,,DAL,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
5,,1997-11-07,27-322,CHH,@,WAS,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
6,,1997-11-08,27-323,CHH,,IND,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
7,1,1997-11-14,27-329,CHH,@,CHI,L (-13),1,32:03,6,13,.462,0,1,.000,2,4,.500,0,4,4,4,0,0,0,1,14,10.1,-12,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
8,2,1997-11-15,27-330,CHH,,LAC,W (+34),1,24:19,2,9,.222,2,4,.500,4,4,1.000,1,1,2,3,0,0,2,3,10,4.4,+13,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
9,3,1997-11-19,27-334,CHH,,POR,W (+14),1,30:08,2,7,.286,1,2,.500,3,4,.750,0,3,3,3,1,0,2,2,8,4.7,+17,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
10,4,1997-11-21,27-336,CHH,,MIA,W (+17),1,31:36,6,10,.600,1,1,1.000,1,2,.500,0,1,1,9,1,0,1,3,14,14.4,+20,1998,phillbo01,https://www.basketball-reference.com/players/p/phillbo01/gamelog/1998
