Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2001-10-30,24-017,BOS,@,CLE,W (+19),1,28:19,12,20,.600,2,3,.667,3,4,.750,1,4,5,1,2,1,2,2,29,21.9,+24,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
2,2,2001-10-31,24-018,BOS,,NJN,L (-3),1,39:03,12,28,.429,7,9,.778,5,8,.625,3,7,10,0,1,0,5,5,36,18.2,-9,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
3,3,2001-11-02,24-020,BOS,,CHI,W (+14),1,38:38,5,12,.417,0,2,.000,6,10,.600,1,5,6,0,5,1,2,5,16,11.9,+11,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
4,4,2001-11-03,24-021,BOS,@,MIL,L (-6),1,43:48,11,30,.367,4,11,.364,7,8,.875,3,6,9,5,2,1,4,4,33,20.5,-2,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
5,5,2001-11-07,24-025,BOS,,WAS,W (+9),1,41:44,6,16,.375,2,3,.667,0,0,,0,5,5,2,2,3,4,2,14,7.4,+2,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
6,6,2001-11-09,24-027,BOS,,SEA,W (+10),1,40:53,13,26,.500,8,12,.667,1,3,.333,1,7,8,3,1,1,2,3,35,24.6,+18,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
7,7,2001-11-14,24-032,BOS,,IND,W (+8),1,45:44,9,19,.474,3,4,.750,10,11,.909,0,6,6,5,2,0,3,3,31,24.0,+12,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
8,8,2001-11-17,24-035,BOS,@,ATL,L (-9),1,47:02,10,21,.476,6,14,.429,7,8,.875,1,4,5,4,0,0,3,5,33,21.6,-8,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
9,9,2001-11-21,24-039,BOS,,ATL,L (-7),1,33:04,7,18,.389,1,8,.125,1,3,.333,4,7,11,4,1,0,4,5,16,8.1,0,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
10,10,2001-11-23,24-041,BOS,,TOR,L (-2),1,44:06,8,23,.348,2,7,.286,6,7,.857,0,8,8,2,1,0,2,2,24,12.7,-5,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
11,11,2001-11-24,24-042,BOS,@,WAS,L (-4),1,48:07,7,20,.350,2,7,.286,7,8,.875,2,5,7,5,1,2,2,2,23,17.4,-5,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
12,12,2001-11-27,24-045,BOS,@,MIA,W (+1),1,30:52,13,23,.565,2,4,.500,5,6,.833,1,3,4,1,3,2,7,4,33,19.8,-10,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
13,13,2001-11-29,24-047,BOS,@,ORL,W (+10),1,45:53,10,17,.588,2,5,.400,4,8,.500,0,12,12,1,1,1,2,3,26,19.3,+2,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
14,14,2001-12-01,24-049,BOS,@,NJN,W (+7),1,48:44,13,34,.382,5,8,.625,17,18,.944,2,10,12,1,3,2,4,2,48,33.7,+14,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
15,15,2001-12-02,24-050,BOS,@,TOR,W (+16),1,30:32,4,16,.250,0,5,.000,1,2,.500,0,4,4,3,1,3,1,2,9,3.6,+20,2002,piercpa01,https://www.basketball-reference.com/players/p/piercpa01/gamelog/2002
