Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1990-11-02,25-038,CHI,,PHI,L (-8),1,33:00,5,15,.333,0,1,.000,3,3,1.000,1,4,5,5,1,2,1,3,13,10.1,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
2,2,1990-11-03,25-039,CHI,@,WSB,L (-1),1,25:00,4,8,.500,0,0,,0,1,.000,0,5,5,2,2,2,7,6,8,0.5,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
3,3,1990-11-06,25-042,CHI,,BOS,L (-2),1,30:00,9,16,.563,0,0,,5,6,.833,1,4,5,4,3,0,2,4,23,19.1,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
4,4,1990-11-07,25-043,CHI,@,MIN,W (+5),1,35:00,6,15,.400,0,0,,2,6,.333,4,3,7,2,3,3,3,1,14,11.1,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
5,5,1990-11-09,25-045,CHI,@,BOS,W (+20),1,31:00,4,11,.364,0,0,,2,4,.500,4,4,8,10,6,1,1,3,10,18.6,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
6,6,1990-11-10,25-046,CHI,,CHH,W (+19),1,38:00,10,16,.625,0,0,,2,2,1.000,2,3,5,3,2,1,2,3,22,18.7,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
7,7,1990-11-13,25-049,CHI,@,UTA,W (+2),1,33:00,2,15,.133,0,0,,1,2,.500,3,4,7,6,1,0,0,3,5,2.2,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
8,8,1990-11-15,25-051,CHI,@,GSW,L (-10),1,40:00,6,18,.333,0,2,.000,0,0,,2,7,9,7,3,1,1,3,12,11.7,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
9,9,1990-11-17,25-053,CHI,@,SEA,W (+21),1,35:00,8,17,.471,0,0,,2,4,.500,3,7,10,6,5,1,3,2,18,18.8,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
10,10,1990-11-18,25-054,CHI,@,POR,L (-13),1,36:00,4,13,.308,0,1,.000,8,9,.889,4,3,7,6,4,0,4,5,16,14.0,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
11,11,1990-11-21,25-057,CHI,@,PHO,L (-2),1,40:00,9,16,.563,1,2,.500,0,0,,5,6,11,4,2,3,4,5,19,17.6,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
12,12,1990-11-23,25-059,CHI,@,LAC,W (+8),1,30:00,6,11,.545,0,0,,1,1,1.000,1,12,13,12,2,1,4,2,13,18.3,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
13,13,1990-11-24,25-060,CHI,@,DEN,W (+6),1,30:00,6,11,.545,0,1,.000,4,5,.800,0,5,5,4,0,4,3,5,16,12.4,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
14,14,1990-11-28,25-064,CHI,,WSB,W (+24),1,28:00,7,11,.636,0,0,,1,4,.250,0,5,5,5,3,2,2,4,15,14.7,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
15,15,1990-11-30,25-066,CHI,,IND,W (+29),1,33:00,7,10,.700,0,0,,5,6,.833,1,3,4,15,3,2,3,2,19,27.1,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
16,16,1990-12-01,25-067,CHI,@,CLE,W (+35),1,35:00,8,13,.615,0,0,,1,2,.500,1,5,6,13,1,2,4,2,17,19.6,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
17,17,1990-12-04,25-070,CHI,,PHO,W (+28),1,34:00,8,15,.533,0,1,.000,0,0,,2,5,7,11,1,0,9,2,16,10.5,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
18,18,1990-12-07,25-073,CHI,,NYK,W (+10),1,38:00,8,17,.471,1,1,1.000,1,2,.500,3,5,8,5,2,4,6,4,18,13.2,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
19,19,1990-12-08,25-074,CHI,,POR,L (-8),1,36:00,8,12,.667,1,1,1.000,3,4,.750,6,8,14,8,2,1,4,4,20,23.7,1991,pippesc01,https://www.basketball-reference.com/players/p/pippesc01/gamelog/1991
