Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2010-10-27,22-231,NOH,,MIL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
2,,2010-10-29,22-233,NOH,,DEN,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
3,,2010-10-30,22-234,NOH,@,SAS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
4,,2010-11-03,22-238,NOH,@,HOU,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
5,,2010-11-05,22-240,NOH,,MIA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
6,1,2010-11-06,22-241,NOH,@,MIL,W (+6),0,11:11,1,1,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,2,3,2.9,-14,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
7,2,2010-11-09,22-244,NOH,,LAC,W (+19),0,17:07,3,6,.500,1,1,1.000,0,0,,1,0,1,1,0,0,0,2,7,4.6,+9,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
8,3,2010-11-13,22-248,NOH,,POR,W (+20),0,6:53,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,1,0,-0.2,+13,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
9,,2010-11-15,22-250,NOH,@,DAL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
10,4,2010-11-17,22-252,NOH,,DAL,W (+2),0,2:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+3,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
11,5,2010-11-19,22-254,NOH,,CLE,W (+7),0,13:09,1,2,.500,0,1,.000,2,2,1.000,1,2,3,0,0,0,0,2,4,3.5,+6,2011,pondequ01,https://www.basketball-reference.com/players/p/pondequ01/gamelog/2011
