Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2010-10-27,33-287,IND,@,SAS,L (-13),0,23:56,1,5,.200,1,4,.250,0,0,,0,3,3,1,1,0,1,3,3,0.3,-9,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
2,2,2010-10-29,33-289,IND,@,CHA,W (+3),0,13:35,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,2,3,0.5,-10,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
3,3,2010-10-30,33-290,IND,,PHI,W (+13),0,6:13,0,2,.000,0,1,.000,0,0,,1,1,2,0,1,0,0,1,0,0.2,-13,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
4,4,2010-11-03,33-294,IND,@,PHI,L (-26),0,13:31,1,3,.333,1,3,.333,0,0,,0,3,3,1,1,0,0,0,3,3.9,-5,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
5,5,2010-11-05,33-296,IND,,MIL,L (-4),0,27:45,3,7,.429,3,7,.429,0,0,,0,4,4,1,0,0,0,3,9,6.0,+4,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
6,,2010-11-09,33-300,IND,,DEN,W (+31),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
7,6,2010-11-12,33-303,IND,,HOU,L (-3),0,26:16,7,12,.583,5,8,.625,0,0,,0,5,5,0,1,0,0,1,19,15.5,+16,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
8,7,2010-11-13,33-304,IND,@,CLE,W (+14),0,21:43,0,4,.000,0,4,.000,0,0,,0,5,5,1,0,0,1,4,0,-3.2,+9,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
9,8,2010-11-16,33-307,IND,,ATL,L (-10),0,25:05,3,7,.429,2,6,.333,0,0,,1,3,4,1,1,0,1,4,8,5.0,-2,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
10,9,2010-11-18,33-309,IND,,LAC,W (+27),0,18:16,4,7,.571,4,7,.571,0,0,,0,3,3,1,0,0,0,1,12,9.9,+23,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
11,10,2010-11-20,33-311,IND,,ORL,L (-4),0,21:22,1,6,.167,1,6,.167,2,2,1.000,0,2,2,0,2,0,3,4,5,-0.8,-1,2011,poseyja01,https://www.basketball-reference.com/players/p/poseyja01/gamelog/2011
