Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2010-10-27,27-275,ATL,@,MEM,W (+15),0,20:01,3,7,.429,0,0,,2,2,1.000,1,5,6,0,1,0,1,1,8,6.1,+4,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
2,2,2010-10-29,27-277,ATL,@,PHI,W (+3),0,22:15,2,5,.400,0,0,,2,2,1.000,2,2,4,1,0,0,1,2,6,4.2,-1,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
3,3,2010-10-30,27-278,ATL,,WAS,W (+4),0,14:06,0,2,.000,0,0,,0,0,,3,2,5,0,0,0,1,1,0,-0.1,+7,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
4,4,2010-11-02,27-281,ATL,@,CLE,W (+12),0,12:42,2,4,.500,0,0,,1,2,.500,0,4,4,2,0,0,0,1,5,4.8,+7,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
5,5,2010-11-03,27-282,ATL,,DET,W (+9),0,12:48,1,4,.250,0,1,.000,2,2,1.000,0,1,1,1,0,0,1,0,4,1.6,-10,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
6,6,2010-11-05,27-284,ATL,@,MIN,W (+10),0,13:20,5,6,.833,0,0,,0,0,,0,1,1,0,0,1,1,1,10,7.4,-6,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
7,7,2010-11-07,27-286,ATL,,PHO,L (-4),0,11:40,2,5,.400,0,0,,0,0,,1,2,3,0,0,0,0,1,4,2.2,-14,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
8,8,2010-11-08,27-287,ATL,@,ORL,L (-4),0,14:20,2,4,.500,0,0,,2,2,1.000,2,2,4,0,1,0,2,2,6,4.2,-12,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
9,9,2010-11-10,27-289,ATL,,MIL,L (-17),0,20:35,2,7,.286,0,0,,1,3,.333,1,2,3,0,0,0,1,1,5,0.0,-11,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
10,10,2010-11-12,27-291,ATL,,UTA,L (-4),0,11:25,2,2,1.000,0,0,,2,2,1.000,2,2,4,0,0,0,4,3,6,2.2,-10,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
11,11,2010-11-14,27-293,ATL,,MIN,W (+6),0,11:43,1,4,.250,0,0,,0,0,,0,3,3,1,0,0,2,2,2,-1.6,+1,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
12,12,2010-11-16,27-295,ATL,@,IND,W (+10),0,2:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,2011,poweljo01,https://www.basketball-reference.com/players/p/poweljo01/gamelog/2011
