Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1989-11-03,26-112,SAC,@,POR,L (-18),0,25:00,1,11,.091,0,4,.000,2,2,1.000,1,4,5,1,2,0,1,3,4,-0.9,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
2,2,1989-11-04,26-113,SAC,,SEA,W (+7),0,34:00,4,5,.800,1,1,1.000,0,0,,4,2,6,4,0,0,2,4,9,9.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
3,3,1989-11-07,26-116,SAC,,DAL,W (+2),0,27:00,1,6,.167,1,5,.200,0,0,,1,4,5,3,1,0,1,4,3,1.6,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
4,4,1989-11-08,26-117,SAC,@,DEN,L (-18),0,26:00,3,4,.750,0,0,,0,1,.000,2,0,2,0,0,3,1,2,6,5.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
5,5,1989-11-10,26-119,SAC,@,PHO,L (-21),0,20:00,3,10,.300,1,2,.500,2,2,1.000,3,4,7,3,1,0,3,4,9,5.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
6,6,1989-11-14,26-123,SAC,,CHI,L (-2),0,19:00,4,6,.667,0,0,,0,0,,0,3,3,2,3,0,1,1,8,9.3,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
7,7,1989-11-16,26-125,SAC,,NYK,L (-19),0,23:00,6,12,.500,1,4,.250,2,2,1.000,1,5,6,2,2,1,2,0,15,13.3,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
8,8,1989-11-18,26-127,SAC,,IND,W (+5),0,31:00,6,14,.429,2,6,.333,2,2,1.000,2,4,6,5,2,1,2,2,16,14.6,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
9,9,1989-11-21,26-130,SAC,,ORL,L (-2),0,27:00,4,10,.400,2,5,.400,0,0,,1,3,4,1,1,2,3,2,10,5.5,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
10,10,1989-11-22,26-131,SAC,@,GSW,L (-24),0,13:00,0,4,.000,0,1,.000,2,2,1.000,1,3,4,0,1,0,1,3,2,-0.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
11,11,1989-11-25,26-134,SAC,,NJN,W (+14),0,21:00,2,5,.400,0,1,.000,3,4,.750,1,2,3,3,2,1,1,1,7,8.6,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
12,12,1989-11-28,26-137,SAC,,DET,L (-12),0,23:00,2,9,.222,2,5,.400,1,2,.500,2,4,6,3,3,4,0,1,7,11.2,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
13,13,1989-11-30,26-139,SAC,,LAL,L (-16),0,30:00,3,4,.750,0,0,,5,6,.833,2,6,8,2,0,2,4,4,11,9.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
14,14,1989-12-02,26-141,SAC,@,LAC,L (-30),0,26:00,3,9,.333,0,0,,2,2,1.000,5,2,7,1,2,1,3,0,8,7.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
15,15,1989-12-05,26-144,SAC,,MIL,W (+15),0,29:00,8,13,.615,1,4,.250,6,8,.750,2,2,4,6,1,0,2,5,23,19.5,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
16,16,1989-12-08,26-147,SAC,@,GSW,W (+5),0,37:00,3,11,.273,1,2,.500,5,6,.833,2,9,11,3,0,1,0,2,12,11.2,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
17,17,1989-12-09,26-148,SAC,,CLE,L (-7),0,31:00,6,14,.429,1,6,.167,0,0,,2,5,7,2,0,0,1,2,13,8.1,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
18,18,1989-12-12,26-151,SAC,,GSW,L (-15),0,29:00,7,11,.636,1,2,.500,0,1,.000,0,4,4,3,1,1,2,3,15,11.5,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
19,19,1989-12-15,26-154,SAC,@,DEN,L (-9),0,35:00,4,10,.400,0,1,.000,0,0,,1,7,8,5,2,2,3,5,8,7.3,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
20,20,1989-12-17,26-156,SAC,,PHO,L (-12),0,32:00,7,16,.438,1,6,.167,3,3,1.000,1,4,5,3,2,0,0,5,18,13.6,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
21,21,1989-12-19,26-158,SAC,@,ATL,L (-3),0,34:00,4,12,.333,0,3,.000,2,4,.500,1,6,7,1,0,0,1,3,10,3.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
22,22,1989-12-20,26-159,SAC,@,SAS,L (-3),0,31:00,3,10,.300,0,0,,3,4,.750,1,7,8,4,0,0,1,3,9,6.2,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
23,23,1989-12-22,26-161,SAC,@,HOU,L (-11),0,19:00,1,4,.250,0,0,,1,3,.333,0,4,4,5,2,0,0,2,3,5.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
24,24,1989-12-23,26-162,SAC,@,DAL,L (-7),0,21:00,4,7,.571,1,2,.500,1,2,.500,1,1,2,1,0,1,0,3,10,7.5,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
25,25,1989-12-26,26-165,SAC,@,LAL,L (-2),0,33:00,4,10,.400,1,4,.250,0,0,,1,5,6,4,1,1,2,4,9,6.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
26,26,1989-12-27,26-166,SAC,,BOS,L (-3),0,13:00,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
27,27,1989-12-29,26-168,SAC,,PHI,W (+10),0,27:00,6,10,.600,1,1,1.000,2,2,1.000,0,1,1,0,1,0,2,4,15,8.1,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
28,28,1990-01-04,26-174,SAC,,DEN,L (-14),0,34:00,4,9,.444,2,4,.500,1,2,.500,1,8,9,3,2,3,1,3,11,13.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
29,29,1990-01-06,26-176,SAC,,POR,L (-3),0,17:00,3,11,.273,0,2,.000,3,4,.750,0,1,1,3,1,1,0,1,9,5.8,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
30,30,1990-01-08,26-178,SAC,@,POR,L (-12),0,11:00,0,1,.000,0,0,,0,0,,2,1,3,1,0,0,2,2,0,-1.1,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
31,31,1990-01-09,26-179,SAC,,MIN,W (+14),0,38:00,6,12,.500,0,1,.000,0,0,,3,6,9,2,1,1,3,3,12,8.8,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
32,32,1990-01-11,26-181,SAC,,HOU,L (-3),0,10:00,0,2,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,2,2,0.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
33,33,1990-01-12,26-182,SAC,@,PHO,L (-15),0,17:00,4,8,.500,1,2,.500,0,1,.000,1,0,1,3,0,0,1,0,9,6.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
34,34,1990-01-15,26-185,SAC,@,LAL,L (-20),0,23:00,3,6,.500,0,1,.000,2,2,1.000,2,1,3,6,1,0,1,2,8,10.1,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
35,35,1990-01-16,26-186,SAC,,ATL,W (+17),0,26:00,5,12,.417,3,6,.500,8,9,.889,2,3,5,1,0,1,2,3,21,14.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
36,36,1990-01-20,26-190,SAC,,UTA,L (-13),0,22:00,2,10,.200,0,1,.000,2,2,1.000,1,4,5,3,1,1,1,2,6,3.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
37,37,1990-01-22,26-192,SAC,,LAC,W (+32),0,25:00,6,9,.667,0,1,.000,7,8,.875,3,2,5,4,1,0,4,2,19,16.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
38,38,1990-01-24,26-194,SAC,,GSW,W (+30),0,19:00,3,5,.600,1,3,.333,0,0,,1,2,3,0,0,1,0,1,7,6.3,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
39,39,1990-01-26,26-196,SAC,@,DAL,L (-13),0,18:00,7,12,.583,1,2,.500,0,0,,1,3,4,3,1,1,0,2,15,14.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
40,40,1990-01-27,26-197,SAC,@,CHH,W (+7),0,13:00,0,3,.000,0,1,.000,1,2,.500,2,2,4,0,0,0,1,2,1,-1.3,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
41,41,1990-01-29,26-199,SAC,@,MIN,L (-18),1,23:00,1,8,.125,0,0,,1,2,.500,2,1,3,2,0,1,0,2,3,0.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
42,42,1990-01-30,26-200,SAC,@,MIL,L (-7),1,16:00,4,7,.571,0,1,.000,1,2,.500,0,2,2,0,0,1,0,2,9,5.8,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
43,43,1990-02-01,26-202,SAC,@,NYK,L (-7),0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
44,44,1990-02-02,26-203,SAC,@,WSB,L (-9),0,14:00,4,9,.444,1,4,.250,2,2,1.000,1,0,1,0,1,0,0,1,11,7.6,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
45,45,1990-02-04,26-205,SAC,@,BOS,L (-32),0,17:00,7,14,.500,0,1,.000,2,2,1.000,4,4,8,0,1,0,1,0,16,13.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
46,46,1990-02-06,26-207,SAC,,DAL,L (-10),0,27:00,6,10,.600,0,2,.000,1,2,.500,2,4,6,1,1,0,0,4,13,10.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
47,47,1990-02-13,26-214,SAC,,WSB,W (+8),0,26:00,5,10,.500,1,1,1.000,4,4,1.000,3,3,6,3,0,1,1,1,15,14.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
48,48,1990-02-15,26-216,SAC,,LAL,L (-9),0,19:00,4,11,.364,1,3,.333,0,0,,1,1,2,1,1,0,0,0,9,5.6,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
49,49,1990-02-17,26-218,SAC,@,UTA,L (-4),0,28:00,3,5,.600,0,1,.000,1,2,.500,1,2,3,2,0,0,2,0,7,5.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
50,50,1990-02-19,26-220,SAC,@,LAC,W (+2),1,33:00,4,12,.333,2,6,.333,1,1,1.000,2,1,3,4,1,0,2,4,11,6.1,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
51,51,1990-02-20,26-221,SAC,,LAC,W (+9),1,27:00,3,9,.333,0,0,,0,0,,1,5,6,4,1,1,2,4,6,4.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
52,52,1990-02-22,26-223,SAC,,PHO,L (-6),1,23:00,4,10,.400,0,0,,0,0,,1,5,6,1,0,0,1,1,8,4.1,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
53,53,1990-02-23,26-224,SAC,@,SEA,L (-12),1,19:00,1,6,.167,0,1,.000,0,0,,0,2,2,3,0,0,1,0,2,-0.1,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
54,54,1990-02-26,26-227,SAC,,SAS,L (-9),1,31:00,3,8,.375,1,2,.500,4,4,1.000,0,4,4,3,0,1,1,3,11,8.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
55,55,1990-02-28,26-229,SAC,@,MIA,L (-21),1,20:00,5,13,.385,0,1,.000,5,5,1.000,3,4,7,2,3,0,0,4,15,14.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
56,56,1990-03-01,26-230,SAC,@,ORL,W (+14),0,20:00,2,8,.250,2,5,.400,2,2,1.000,2,3,5,1,1,0,2,2,8,4.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
57,57,1990-03-03,26-232,SAC,@,CHH,W (+1),0,6:00,1,1,1.000,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,1,4,3.9,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
58,58,1990-03-08,26-237,SAC,,CHH,W (+9),1,38:00,4,12,.333,1,6,.167,1,2,.500,2,2,4,6,2,1,3,4,10,7.1,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
59,59,1990-03-11,26-240,SAC,@,GSW,L (-7),1,30:00,4,8,.500,1,3,.333,0,0,,2,4,6,1,2,0,3,4,9,5.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
60,60,1990-03-13,26-242,SAC,,MIA,W (+34),0,27:00,5,9,.556,1,2,.500,4,6,.667,1,7,8,2,3,0,5,1,15,11.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
61,61,1990-03-15,26-244,SAC,,HOU,L (-6),0,15:00,3,6,.500,1,3,.333,0,0,,1,2,3,2,0,0,2,0,7,4.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
62,62,1990-03-17,26-246,SAC,,UTA,W (+13),0,23:00,3,6,.500,2,3,.667,2,2,1.000,0,2,2,3,1,0,0,0,10,10.7,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
63,63,1990-03-19,26-248,SAC,@,UTA,L (-8),0,17:00,1,6,.167,0,3,.000,0,0,,1,3,4,1,0,0,1,0,2,-0.5,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
64,64,1990-03-21,26-250,SAC,,MIN,W (+6),0,26:00,2,7,.286,0,0,,1,1,1.000,1,4,5,2,0,0,1,2,5,2.4,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
65,65,1990-03-23,26-252,SAC,@,PHI,L (-16),0,16:00,4,5,.800,0,0,,1,2,.500,3,2,5,5,1,0,1,5,9,10.9,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
66,66,1990-03-24,26-253,SAC,@,CHI,W (+3),0,5:00,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,1,0,0,0,1,5,5.6,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
67,67,1990-03-26,26-255,SAC,@,CLE,L (-21),0,23:00,6,7,.857,2,3,.667,3,4,.750,1,3,4,1,1,0,0,1,17,17.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
68,68,1990-04-07,26-267,SAC,,SAS,L (-18),0,15:00,4,5,.800,1,2,.500,0,0,,0,3,3,1,0,0,0,2,9,7.9,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
69,69,1990-04-09,26-269,SAC,@,SEA,W (+1),0,7:00,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,1,2,2,-1.9,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
70,70,1990-04-10,26-270,SAC,,DEN,L (-8),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
71,71,1990-04-12,26-272,SAC,,PHO,L (-2),0,8:00,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,1,0,3,0.6,1990,pressha01,https://www.basketball-reference.com/players/p/pressha01/gamelog/1990
