Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1947-11-13,25-000,STB,@,CHS,L (-10),,,1,,,2,3,.667,,,6,4,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
2,2,1947-11-15,25-002,STB,@,NYK,L (-6),,,0,,,4,,,,,,4,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
3,3,1947-11-18,25-005,STB,@,BOS,W (+15),,,1,,,0,,,,,,2,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
4,4,1947-11-20,25-007,STB,,PRO,W (+6),,,4,10,.400,1,3,.333,,,3,9,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
5,5,1947-11-22,25-009,STB,,WSC,W (+8),,,2,,,1,,,,,,5,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
6,6,1947-11-26,25-013,STB,@,WSC,L (-19),,,1,,,0,0,,,,4,2,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
7,7,1947-11-29,25-016,STB,,BLB,L (-4),,,2,,,1,2,.500,,,,5,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
8,8,1947-12-02,25-019,STB,@,PRO,W (+20),,,8,,,2,3,.667,,,3,18,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
9,9,1947-12-04,25-021,STB,@,BLB,W (+14),,,6,,,0,0,,,,,12,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
10,10,1947-12-08,25-025,STB,@,NYK,L (-15),,,3,,,0,2,.000,,,1,6,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
11,11,1947-12-11,25-028,STB,@,PHW,W (+5),,,5,17,.294,0,0,,,1,4,10,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
12,12,1947-12-12,25-029,STB,@,CHS,W (+10),,,5,,,4,5,.800,,,3,14,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
13,13,1947-12-18,25-035,STB,@,BLB,L (-7),,,3,,,4,5,.800,,,,10,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
14,14,1947-12-19,25-036,STB,@,BOS,L (-8),,,4,,,0,,,,,,8,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
15,15,1947-12-20,25-037,STB,@,WSC,W (+3),,,0,,,0,0,,,,0,0,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
16,16,1947-12-25,25-042,STB,,WSC,L (-17),,,0,,,1,,,,,2,1,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
17,17,1947-12-28,25-045,STB,,BLB,W (+4),,,2,,,0,0,,,,,4,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
18,18,1948-01-01,25-049,STB,,BOS,W (+10),,,1,,,1,,,,,,3,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
19,19,1948-01-04,25-052,STB,,PHW,W (+14),,,1,9,.111,0,0,,,,4,2,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
20,20,1948-01-08,25-056,STB,,WSC,W (+3),,,8,,,1,4,.250,,,4,17,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
21,21,1948-01-11,25-059,STB,,BLB,W (+15),,,5,,,2,4,.500,,,,12,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
22,22,1948-01-15,25-063,STB,,NYK,L (-4),,,2,11,.182,1,1,1.000,,,3,5,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
23,23,1948-01-18,25-066,STB,,PRO,W (+9),,,3,17,.176,3,3,1.000,,,4,9,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
24,24,1948-01-20,25-068,STB,@,PHW,L (-23),,,4,13,.308,2,2,1.000,,0,1,10,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
25,25,1948-01-21,25-069,STB,@,WSC,L (-7),,,2,,,0,0,,,,0,4,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
26,26,1948-01-22,25-070,STB,@,BLB,W (+3),,,4,,,2,3,.667,,,,10,1948,putnado01,https://www.basketball-reference.com/players/p/putnado01/gamelog/1948
