Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1991-11-02,28-354,ATL,,DET,L (-2),1,25:00,4,8,.500,0,0,,0,0,,2,5,7,1,0,0,0,5,8,5.6,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
2,2,1991-11-05,28-357,ATL,,UTA,W (+4),1,26:00,3,9,.333,0,0,,2,2,1.000,4,4,8,2,0,1,0,2,8,8.2,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
3,3,1991-11-06,28-358,ATL,@,CHH,L (-10),1,19:00,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,1,2,2,-1.5,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
4,4,1991-11-08,28-360,ATL,@,BOS,W (+5),1,15:00,4,7,.571,0,0,,0,0,,0,1,1,1,0,0,1,3,8,3.5,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
5,5,1991-11-09,28-361,ATL,,MIA,W (+4),0,7:00,2,5,.400,0,0,,0,0,,0,1,1,0,0,0,4,2,4,-3.2,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
6,6,1991-11-12,28-364,ATL,,CHH,W (+18),0,27:00,6,13,.462,0,0,,0,0,,2,6,8,1,0,1,0,4,12,8.3,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
7,7,1991-11-14,29-001,ATL,@,SAC,L (-2),0,16:00,3,9,.333,0,0,,0,0,,1,1,2,0,0,0,2,0,6,-0.1,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
8,8,1991-11-15,29-002,ATL,@,PHO,W (+4),0,20:00,5,10,.500,0,0,,2,2,1.000,0,4,4,2,0,0,1,0,12,8.6,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
9,9,1991-11-17,29-004,ATL,@,LAL,L (-22),0,14:00,1,6,.167,0,0,,0,0,,1,2,3,0,0,0,0,0,2,-0.5,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
10,10,1991-11-20,29-007,ATL,,SAC,W (+12),0,10:00,2,5,.400,0,0,,0,0,,2,1,3,0,0,0,0,4,4,1.4,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
11,11,1991-11-22,29-009,ATL,@,PHI,W (+7),0,20:00,3,8,.375,0,0,,0,0,,1,2,3,0,0,0,1,3,6,0.7,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
12,12,1991-11-26,29-013,ATL,,DET,L (-10),0,21:00,4,8,.500,0,0,,0,1,.000,1,4,5,0,0,0,0,1,8,5.1,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
13,13,1991-11-27,29-014,ATL,@,DET,L (-9),0,19:00,2,7,.286,0,1,.000,0,0,,0,1,1,1,0,1,0,1,4,1.2,1992,rasmubl01,https://www.basketball-reference.com/players/r/rasmubl01/gamelog/1992
