Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1953-10-30,30-351,MLH,,MNL,W (+10),,,3,,,2,3,.667,,,5,8,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
2,2,1953-11-01,30-353,MLH,@,FTW,L (-10),,,0,,,0,0,,,,1,0,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
3,3,1953-11-04,30-356,MLH,,NYK,L (-6),,,2,,,0,0,,,,5,4,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
4,4,1953-11-06,30-358,MLH,,NYK,L (-12),,,0,,,0,2,.000,,,2,0,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
5,5,1953-11-10,30-362,MLH,,SYR,L (-15),,12:00,1,3,.333,0,0,,3,0,2,2,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
6,6,1953-11-13,31-000,MLH,,MNL,L (-8),,,2,,,16,18,.889,,,5,20,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
7,7,1953-11-15,31-002,MLH,@,SYR,L (-8),,30:00,1,9,.111,3,4,.750,8,1,3,5,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
8,8,1953-11-18,31-005,MLH,@,BLB,L (-30),,,3,,,4,4,1.000,,,3,10,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
9,9,1953-11-19,31-006,MLH,,ROC,L (-10),,,4,,,4,7,.571,,,1,12,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
10,10,1953-11-20,31-007,MLH,,ROC,L (-18),,,6,,,5,9,.556,,,3,17,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
11,11,1953-11-22,31-009,MLH,,MNL,L (-2),,,2,,,1,2,.500,,,5,5,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
12,12,1953-11-25,31-012,MLH,,FTW,W (+6),,,2,,,2,3,.667,,,5,6,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
13,13,1953-11-26,31-013,MLH,@,FTW,L (-14),,,3,,,1,4,.250,,,2,7,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
14,14,1953-11-27,31-014,MLH,,PHW,W (+4),,,3,,,4,7,.571,,,1,10,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
15,15,1953-11-28,31-015,MLH,,PHW,W (+3),,,1,,,0,0,,,,6,2,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
16,16,1953-12-01,31-018,MLH,,SYR,L (-7),,40:00,4,6,.667,5,6,.833,14,2,6,13,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
17,17,1953-12-05,31-022,MLH,@,BOS,L (-18),,36:00,2,12,.167,1,2,.500,,3,3,5,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
18,18,1953-12-09,31-026,MLH,,FTW,L (-24),,,5,9,.556,3,6,.500,10,5,3,13,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
19,19,1953-12-10,31-027,MLH,@,SYR,L (-20),,30:00,5,10,.500,1,2,.500,12,2,6,11,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
20,20,1953-12-11,31-028,MLH,,NYK,W (+12),,,6,,,3,4,.750,,,5,15,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
21,21,1953-12-13,31-030,MLH,@,BLB,W (+3),,,4,,,3,4,.750,,,5,11,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
22,22,1953-12-15,31-032,MLH,@,ROC,L (-12),,,4,,,1,1,1.000,,,3,9,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
23,23,1953-12-16,31-033,MLH,,MNL,L (-6),,,3,,,1,3,.333,,,6,7,1954,ratkoge01,https://www.basketball-reference.com/players/r/ratkoge01/gamelog/1954
