Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,session,player,gamelog_url
1,1,1968-10-15,26-112,NYK,,CHI,L (-4),,35:00,5,11,.455,0,0,,4,2,6,10,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
2,2,1968-10-19,26-116,NYK,,LAL,L (-22),,31:00,3,15,.200,1,3,.333,8,4,2,7,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
3,3,1968-10-22,26-119,NYK,,PHI,W (+3),,31:00,4,13,.308,7,8,.875,14,0,6,15,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
4,4,1968-10-23,26-120,NYK,@,MIL,W (+2),,30:00,9,15,.600,5,5,1.000,14,3,5,23,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
5,5,1968-10-24,26-121,NYK,@,PHO,L (-17),,40:00,12,18,.667,0,1,.000,9,1,3,24,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
6,6,1968-10-26,26-123,NYK,,CIN,W (+6),,22:00,1,6,.167,0,1,.000,8,2,1,2,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
7,7,1968-10-29,26-126,NYK,,SFW,W (+13),,35:00,4,10,.400,4,7,.571,12,3,5,12,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
8,8,1968-10-30,26-127,NYK,@,CIN,L (-4),,41:00,8,18,.444,5,8,.625,12,2,3,21,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
9,9,1968-11-01,26-129,NYK,,BAL,L (-16),,27:00,4,6,.667,1,1,1.000,10,1,5,9,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
10,10,1968-11-02,26-130,NYK,@,DET,L (-8),,43:00,16,22,.727,2,3,.667,26,3,2,34,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
11,11,1968-11-03,26-131,NYK,@,SEA,W (+14),,28:00,9,12,.750,2,2,1.000,14,1,6,20,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
12,12,1968-11-05,26-133,NYK,@,SDR,L (-4),,42:00,9,17,.529,2,3,.667,17,3,4,20,1969,reedwi01,https://www.basketball-reference.com/players/r/reedwi01/gamelog/1969
